lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
dec4149e42f16e4421856f89ed39df71,ad85f3098a02a429e0e0abd21f0671bb,08eec46ef94ae7af1c112722ffddd2e2,2018-03-19 21:23:15,2018-04-04 15:17:13,2018-03-21 21:24:00,2018-04-05 21:23:00,active,13,"[""=="",""$node_type"",""compute_haswell""]",12-13,compute_haswell
2edad8f31d01c21074525316a770716a,c3d8104ab30dae88b9bc52fee39e99e4,88afa6d94506398c87fb78389a97d6ee,2018-04-12 17:19:35,2018-04-12 18:51:55,2018-04-12 18:00:00,2018-04-15 18:00:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
b7d355006a392e3faa9c08f18d871fec,c3d8104ab30dae88b9bc52fee39e99e4,88afa6d94506398c87fb78389a97d6ee,2018-04-12 17:15:36,2018-04-13 00:32:59,2018-04-12 18:00:00,2018-04-13 18:00:00,active,75,"[""="", ""$node_type"", ""compute_haswell""]",75-75,compute_haswell
7471d102770b9ff91b4341f9aa599dde,c3d8104ab30dae88b9bc52fee39e99e4,88afa6d94506398c87fb78389a97d6ee,2018-04-14 02:08:38,2018-04-14 21:15:51,2018-04-14 13:00:00,2018-04-15 07:00:00,active,70,"[""="", ""$node_type"", ""compute_haswell""]",70-70,compute_haswell
46f8d522ae64a29b72e972e7b0e6e51c,1ab8ea2f6fd99e582c7f6f1967bc6f4d,0a64a2fe203163f1d080f803efd66d7e,2018-04-13 17:19:59,2018-04-22 10:09:18,2018-04-15 13:00:00,2018-04-21 03:00:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
92731b1309115b95857bb9e06dc54485,1ab8ea2f6fd99e582c7f6f1967bc6f4d,0a64a2fe203163f1d080f803efd66d7e,2018-04-13 17:18:46,2018-04-22 10:09:39,2018-04-15 13:00:00,2018-04-21 03:00:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
37418d5d9d483c04a03598bae687fa7a,1ab8ea2f6fd99e582c7f6f1967bc6f4d,0a64a2fe203163f1d080f803efd66d7e,2018-04-13 17:15:23,2018-04-22 10:09:34,2018-04-15 13:00:00,2018-04-21 03:00:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
85c206922a9d01bb0c4cb72c31ecc31b,c3d8104ab30dae88b9bc52fee39e99e4,88afa6d94506398c87fb78389a97d6ee,2018-05-03 17:00:29,2018-05-04 16:07:12,2018-05-04 14:00:00,2018-05-05 02:00:00,active,38,"[""=="",""$node_type"",""compute_haswell""]",38-38,compute_haswell
7bf0233bd862b2e26b093cfdc4310d6a,c3d8104ab30dae88b9bc52fee39e99e4,88afa6d94506398c87fb78389a97d6ee,2018-05-10 23:50:42,2018-05-12 00:24:42,2018-05-11 12:00:00,2018-05-12 05:00:00,active,41,"[""=="",""$node_type"",""compute_haswell""]",41-41,compute_haswell
9e32695c91c467d58aee3aa6ebb49ee7,c3d8104ab30dae88b9bc52fee39e99e4,88afa6d94506398c87fb78389a97d6ee,2018-05-11 13:53:35,2018-05-12 00:24:10,2018-05-11 20:00:00,2018-05-12 04:59:00,active,15,"[""=="",""$node_type"",""compute_haswell""]",15-15,compute_haswell
33bab542a8ac75c2b8d630104cb2d621,1ab8ea2f6fd99e582c7f6f1967bc6f4d,0a64a2fe203163f1d080f803efd66d7e,2018-05-12 00:21:17,2018-05-13 16:29:45,2018-05-13 13:00:00,2018-05-18 03:00:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
1540a21ca652369eb155b3b2452e028c,6a50a6d570d5cbde5cf475cf9c3a5ea5,b7ea8a44b5fe4e0b7a6e45954a945872,2018-05-03 19:03:22,2018-05-15 01:43:02,2018-05-14 17:00:00,2018-05-16 12:00:00,active,120,"[""=="",""$node_type"",""compute_haswell""]",120-120,compute_haswell
450ea8d048349ce8f4efaf5b54c0cd69,b2eaf4c6c3022e6d0ef350e23a02ba90,badcf471d9026cb61014e20f0552b0e8,2018-05-24 14:57:46,2018-05-26 15:39:51,2018-05-25 19:00:00,2018-05-31 19:00:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
8a2b9f40c9bd2abc0c0852158a809600,d79a64ad06b4569c01b79595b62207fb,f5952c248fffc8d3fb648d1e0f9ea9ec,2018-05-24 15:31:22,2018-06-06 18:19:46,2018-05-29 08:00:00,2019-02-28 15:31:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
c0a1f01bd4fc8039fdbf8a1347abaaec,c15f0aa33358bb10ccf12471a85f409a,746fd9ed48a1859cfbf57e1345c9dbb3,2018-07-02 02:46:42,2018-07-02 20:45:14,2018-07-02 08:00:00,2018-07-07 08:00:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
4952fe24b9017acf5c3e4e90c2d7dc87,62bb73292f771c07082bac478db7afd7,ad3db85149d5f12a33402134812774f6,2018-08-02 18:02:56,2018-08-03 16:53:52,2018-08-03 15:00:00,2018-08-03 23:30:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
4edd3cd1dc4731688b93670f16fa635b,92b2d72f5af2edaeced4ed60557b40f2,f384d7795654ff7268499c8240e44e67,2018-09-15 05:03:30,2018-09-22 03:55:31,2018-09-15 07:00:00,2018-09-22 07:00:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
e32f6bb163786e1b3a89952f3f513ad4,d06b684638cf83bdf6ae199d009ef21b,4d8b14e8585e17fb1fc9f0b4f88825d6,2018-09-23 06:30:31,2018-09-28 07:00:29,2018-09-27 06:31:00,2018-09-28 07:30:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
0d80722ffaf5e2eb31bd3f6793aef44b,dcc3ef97657712c6372947bf668cfd5b,edde5066dfebad7be918e72afbb38ec2,2018-10-18 00:29:36,2018-10-25 18:04:43,2018-10-19 00:30:00,2018-10-26 00:29:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
8568464f9507ec5ac08dd442d278534b,fb348a3cac4abf3feb12e141eb967416,496599f5a12135293f0d7405e8a23465,2018-10-03 06:26:41,2018-10-29 18:51:32,2018-10-23 10:00:00,2018-10-30 09:59:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
6e6412224cefb6a9432c218bef87cc48,293e09ee88e3cc3bd42054353749d3af,926ed0c60323fad7a808b8c49140cb9a,2018-10-24 14:36:09,2018-10-26 17:43:12,2018-10-25 11:00:00,2018-10-28 14:36:00,active,4,"[""=="",""$node_type"",""compute_haswell""]",4-4,compute_haswell
471f73b881f433f3c9c128042482eff2,a6207fc4e11d91820c6b19070a2c631a,3c143f35b0b6958f5986cf12e3222cbb,2018-11-04 17:43:53,2018-11-06 20:46:42,2018-11-04 18:00:00,2018-11-11 18:00:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
1252579a7d6a8a99bf4a8aba31adf39a,6a50a6d570d5cbde5cf475cf9c3a5ea5,b7ea8a44b5fe4e0b7a6e45954a945872,2018-11-05 15:27:38,2018-11-16 15:47:05,2018-11-11 15:28:00,2018-11-18 15:27:00,active,10,"[""=="",""$node_type"",""compute_haswell""]",10-10,compute_haswell
e66e51a9ea2580ef818d27e036e3df18,b2eaf4c6c3022e6d0ef350e23a02ba90,6b8fc80406b03ebf1e72b7afa8b6f0ef,2018-11-12 08:58:54,2018-11-13 03:25:28,2018-11-12 13:30:00,2018-11-13 04:30:00,active,3,"[""=="",""$node_type"",""compute_haswell""]",3-3,compute_haswell
