lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
5d37026f92ba7474b62266805531cac0,dcc3ef97657712c6372947bf668cfd5b,142fd7c940f2e1f36ae0abe6a0ffc450,2018-11-13 16:55:06,2018-11-15 00:14:05,2018-11-14 03:00:00,2018-11-21 03:00:00,active,5,"[""=="",""$node_type"",""compute_haswell_ib""]",5-5,compute_haswell_ib
a1c538527fbd38430e4ca9fed60ccdd4,068739bb3d7b05fe6dd580b1cc01084d,72aed17a1467c1ae77c96fe006bb3b82,2018-12-27 00:05:21,2019-01-04 17:30:15,2018-12-27 03:20:00,2019-01-08 03:10:00,active,17,"[""=="",""$node_type"",""compute_haswell_ib""]",17-17,compute_haswell_ib
19552e5c627f5c81eba3609be19c963a,068739bb3d7b05fe6dd580b1cc01084d,72aed17a1467c1ae77c96fe006bb3b82,2019-01-07 20:04:14,2019-01-13 00:30:41,2019-01-09 06:00:00,2019-01-16 06:00:00,active,9,"[""=="",""$node_type"",""compute_haswell_ib""]",9-9,compute_haswell_ib
06d010fb16ff54c62a8e2767edd821a5,f0ca552a89ac0346f3542e90900a21e0,38d1a211502bb987c140f8c93f5098b4,2019-06-01 14:26:41,2019-07-07 16:05:48,2019-06-03 18:44:00,2019-07-15 14:26:00,active,7,"[""=="",""$node_type"",""compute_haswell_ib""]",7-7,compute_haswell_ib
45926891ddd4d7267e64bb02c0b6347e,893fc49fcecc857d61451554e10ccaba,698180777c9dd979045e75e6a7d1ee58,2019-06-03 18:13:54,2019-06-16 20:08:16,2019-06-10 09:00:00,2019-06-17 09:00:00,active,2,"[""=="",""$node_type"",""compute_haswell_ib""]",2-2,compute_haswell_ib
8abf6887954235c6b07ecf59e12eb15d,f0ca552a89ac0346f3542e90900a21e0,38d1a211502bb987c140f8c93f5098b4,2019-06-03 15:52:10,2019-07-07 16:53:45,2019-06-12 05:00:00,2019-07-16 04:59:00,active,7,"[""=="",""$node_type"",""compute_haswell_ib""]",7-7,compute_haswell_ib
87e779a175c4fa6faf751d3f14d161bd,f0ca552a89ac0346f3542e90900a21e0,38d1a211502bb987c140f8c93f5098b4,2019-06-03 15:54:45,2019-07-12 22:33:15,2019-06-24 05:00:00,2019-07-16 04:59:00,active,7,"[""=="",""$node_type"",""compute_haswell_ib""]",7-7,compute_haswell_ib
374552798ad14da8a530d8c73a0068b1,f0ca552a89ac0346f3542e90900a21e0,38d1a211502bb987c140f8c93f5098b4,2019-06-03 16:01:55,2019-07-12 22:33:29,2019-07-01 05:00:00,2019-07-16 04:59:00,active,7,"[""=="",""$node_type"",""compute_haswell_ib""]",7-7,compute_haswell_ib
edd66eb742ab4a7a66f628c11a2ef973,f0ca552a89ac0346f3542e90900a21e0,38d1a211502bb987c140f8c93f5098b4,2019-06-03 16:03:16,2019-07-12 22:34:06,2019-07-01 05:00:00,2019-07-16 04:59:00,active,7,"[""=="",""$node_type"",""compute_haswell_ib""]",7-7,compute_haswell_ib
7f346c32acc5e15624431251be3d15a8,f0ca552a89ac0346f3542e90900a21e0,38d1a211502bb987c140f8c93f5098b4,2019-06-03 15:58:45,2019-07-12 22:33:01,2019-07-01 05:00:00,2019-07-16 04:59:00,active,7,"[""=="",""$node_type"",""compute_haswell_ib""]",7-7,compute_haswell_ib
2baf267ec32a3725b2664e2964255b29,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2019-07-07 22:11:38,2019-07-15 13:48:08,2019-07-14 16:27:00,2019-07-14 17:27:00,active,1,"[""="", ""$node_type"", ""compute_haswell_ib""]",1-1,compute_haswell_ib
22839d66dfd28610b8eb801ae6540f63,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2019-07-07 19:12:35,2019-07-15 13:48:10,2019-07-14 16:32:00,2019-07-14 17:32:00,active,1,"[""="", ""$node_type"", ""compute_haswell_ib""]",1-1,compute_haswell_ib
f3ebbb9510d6eb6dbf9a31d372ef9bf1,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2019-09-15 17:01:38,2019-09-15 18:26:03,2019-09-15 18:02:00,2019-09-15 19:02:00,active,1,"[""="", ""$node_type"", ""compute_haswell_ib""]",1-1,compute_haswell_ib
077c7b5c1c58d7be4dc9e8f88634a104,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2019-09-22 17:07:08,2019-09-23 03:59:41,2019-09-23 03:35:00,2019-09-23 04:35:00,active,1,"[""="", ""$node_type"", ""compute_haswell_ib""]",1-1,compute_haswell_ib
b6d2737424ca644391d2b555386d14be,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2019-09-29 17:14:01,2019-09-30 16:32:32,2019-09-30 16:08:00,2019-09-30 17:08:00,active,1,"[""="", ""$node_type"", ""compute_haswell_ib""]",1-1,compute_haswell_ib
102e9f1aca78af086f619c798f87e0ef,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2019-10-13 17:53:29,2019-10-16 03:00:38,2019-10-16 02:37:00,2019-10-16 03:37:00,active,1,"[""="", ""$node_type"", ""compute_haswell_ib""]",1-1,compute_haswell_ib
cc71d5446ebd40af722e1635860440d4,893fc49fcecc857d61451554e10ccaba,22642458cb367e3f044e44b91c7b07b1,2019-10-26 23:51:11,2019-10-27 16:24:13,2019-10-27 14:00:00,2019-10-28 23:51:00,active,4,"[""=="",""$node_type"",""compute_haswell_ib""]",4-4,compute_haswell_ib
1a52ac6d3cff58b96bc6930de852fe3e,893fc49fcecc857d61451554e10ccaba,22642458cb367e3f044e44b91c7b07b1,2019-10-28 17:46:01,2019-10-29 10:04:13,2019-10-29 01:00:00,2019-10-29 17:45:00,active,27,"[""=="",""$node_type"",""compute_haswell_ib""]",27-27,compute_haswell_ib
c9d8e5d3eb4c1306bedaeaec73eeeb8f,a1634842af1292243e30c84c690b98d2,22642458cb367e3f044e44b91c7b07b1,2019-12-18 07:39:58,2019-12-18 19:22:42,2019-12-18 16:00:00,2019-12-19 07:39:00,active,1,"[""=="",""$node_type"",""compute_haswell_ib""]",1-1,compute_haswell_ib
0b4d2f59956536e71c1ef86428032749,a1634842af1292243e30c84c690b98d2,22642458cb367e3f044e44b91c7b07b1,2019-12-20 20:28:29,2019-12-21 16:54:02,2019-12-21 15:00:00,2019-12-22 20:28:00,active,24,"[""=="",""$node_type"",""compute_haswell_ib""]",24-24,compute_haswell_ib
734f2b8e952a06c0f582cabf2c5d70c4,c2a45b0e38eea452a7b5246bce36f3f4,c2bc092375600c0bf29a6ed306120bad,2020-05-04 01:34:25,2020-05-06 11:06:03,2020-05-06 01:35:00,2020-05-13 01:34:00,active,6,"[""=="",""$node_type"",""compute_haswell_ib""]",6-6,compute_haswell_ib
3a410a499877c312045e9b8a09e24449,2c05f3cf8bb62a175851ac6357b6f410,926385f10e46ba501a152773b27b659e,2021-01-18 15:32:47,2021-01-19 01:04:37,2021-01-18 16:00:00,2021-01-25 04:00:00,active,2,"[""=="",""$node_type"",""compute_haswell_ib""]",2-2,compute_haswell_ib
af7803ecf1ffaed29f19efeb89495540,48d58364ccd12c6fd47eaecbfd06f2e5,9e92db85108e39ba79d9e5d7727f1164,2021-02-14 00:09:40,2021-02-15 14:17:08,2021-02-15 00:10:00,2021-02-19 00:09:00,active,2,"[""=="",""$node_type"",""compute_haswell_ib""]",2-2,compute_haswell_ib
03abbe6a99f7ea548926f7d707e5f20e,c03acb678fce7e0a5aec96636a3e44b9,719e95f5d80c8c06d2992bc112dfd7b1,2021-02-15 20:09:12,2021-02-16 06:03:10,2021-02-15 20:30:00,2021-02-22 04:00:00,active,2,"[""=="",""$node_type"",""compute_haswell_ib""]",2-2,compute_haswell_ib
637911f1c7bdcd9b2a150a6431ae045c,96cf160772d373f3d105b331c7949c45,39d62c11af58883676c2e58dc84b3277,2021-04-07 17:52:56,2021-04-09 09:06:06,2021-04-09 00:00:00,2021-04-13 17:52:00,active,4,"[""=="",""$node_type"",""compute_haswell_ib""]",4-4,compute_haswell_ib
cda9070867aae43ab3da4c42ab07375d,c03acb678fce7e0a5aec96636a3e44b9,83c967880b2fe9e499e53c0401cf4920,2021-04-12 17:55:49,2021-04-17 11:35:57,2021-04-12 18:30:00,2021-04-18 23:45:00,active,2,"[""=="",""$node_type"",""compute_haswell_ib""]",2-2,compute_haswell_ib
41840b0bf135a431a2b265c97f2e373b,c03acb678fce7e0a5aec96636a3e44b9,83c967880b2fe9e499e53c0401cf4920,2021-04-23 11:17:41,2021-04-24 23:52:39,2021-04-24 11:00:00,2021-04-25 23:45:00,active,3,"[""=="",""$node_type"",""compute_haswell_ib""]",3-3,compute_haswell_ib
cc457daf10c209e22202348341758735,bb8dfe1fb7991f1620047d01efbe67a6,265148c0dac7d31ce797af2952d9ecaa,2021-04-28 17:36:37,2021-04-30 03:05:41,2021-04-29 17:37:00,2021-04-30 17:36:00,active,1,"[""=="",""$node_type"",""compute_haswell_ib""]",1-1,compute_haswell_ib
