lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
b6d47d6f48fb7ff1c964bf29fd28848b,5081a6f23bca3ec9cf40cdce155b1fd1,9571a89e3c834fd1397a4d9e170c51d6,2016-10-22 03:40:37,2016-10-26 20:35:51,2016-10-22 04:00:00,2016-10-25 23:00:00,completed,4,"[""="", ""$node_type"", ""compute_ib""]",4-4,compute_ib
2a000db6f2c6197d542d8c2f44548511,273c67bff1d74021f9e1852a9a3c8fc0,f846bdc98852d8f822535d98bc31ccee,2016-10-26 16:34:21,2016-10-26 16:51:44,2016-10-26 19:00:00,2016-10-26 20:00:00,completed,2,"[""="", ""$node_type"", ""compute_ib""]",2-2,compute_ib
8a62b2115eb7b7452e8ad4ff83566d2b,5081a6f23bca3ec9cf40cdce155b1fd1,9571a89e3c834fd1397a4d9e170c51d6,2016-10-26 21:06:30,2016-11-02 23:04:28,2016-10-26 21:30:00,2016-11-02 23:00:00,completed,4,"[""="", ""$node_type"", ""compute_ib""]",4-4,compute_ib
3fd87579e626d389779a82bd2b6e3d3f,5cf42b9070c79e847beadc58dc0ce25f,cb0c4e3299df53e1c673c203a27480ef,2016-11-24 23:39:36,2016-11-24 23:40:16,2016-11-25 00:00:00,2016-11-27 17:00:00,completed,3,"[""="", ""$node_type"", ""compute_ib""]",3-3,compute_ib
78dbc031a26eab0d43bf01a187601d9c,5cf42b9070c79e847beadc58dc0ce25f,cb0c4e3299df53e1c673c203a27480ef,2016-11-24 23:40:47,2016-11-24 23:43:09,2016-11-25 00:41:00,2016-11-30 17:00:00,completed,3,"[""="", ""$node_type"", ""compute_ib""]",3-3,compute_ib
83aa17c281366bdc9604032ba8617dab,b2eaf4c6c3022e6d0ef350e23a02ba90,710a779f9fe552b5c75fc2a31fe81461,2017-01-03 02:40:07,2017-01-07 19:34:22,2017-01-06 10:00:00,2017-01-12 23:59:00,completed,20,"[""="", ""$node_type"", ""compute_ib""]",20-20,compute_ib
8354eabddfb1e14aa34bf50f8971f6ab,b2eaf4c6c3022e6d0ef350e23a02ba90,710a779f9fe552b5c75fc2a31fe81461,2017-01-07 19:34:57,2017-01-14 02:33:02,2017-01-07 22:00:00,2017-01-14 22:00:00,completed,18,"[""="", ""$node_type"", ""compute_ib""]",28-18,compute_ib
d987e304200d81cb6ded11e1938bc981,b2eaf4c6c3022e6d0ef350e23a02ba90,710a779f9fe552b5c75fc2a31fe81461,2017-01-13 01:53:40,2017-01-17 03:10:48,2017-01-13 05:00:00,2017-01-18 23:59:00,completed,18,"[""="", ""$node_type"", ""compute_ib""]",18-18,compute_ib
15360e29851d88fd9906e14b66162ac3,5081a6f23bca3ec9cf40cdce155b1fd1,9571a89e3c834fd1397a4d9e170c51d6,2017-02-26 03:48:20,2017-03-06 17:39:20,2017-02-26 04:00:00,2017-03-05 23:50:00,completed,4,"[""="", ""$node_type"", ""compute_ib""]",4-4,compute_ib
48af74053ad9e917e590f2395d68ca4c,d79a64ad06b4569c01b79595b62207fb,3a64e23985e1a931a725afd202a72c6a,2017-03-23 01:30:51,2017-03-23 01:33:11,2017-03-23 06:31:00,2017-03-24 06:30:00,completed,1,"[""="", ""$node_type"", ""compute_ib""]",1-1,compute_ib
7f09b504fa8eb34ad05966abb64fc1c7,d79a64ad06b4569c01b79595b62207fb,3a64e23985e1a931a725afd202a72c6a,2017-03-23 01:33:35,2017-03-23 01:34:12,2017-03-23 06:34:00,2017-03-24 06:33:00,completed,1,"[""="", ""$node_type"", ""compute_ib""]",1-1,compute_ib
c9390028dd516753b9f3baa20e07e04b,d79a64ad06b4569c01b79595b62207fb,3a64e23985e1a931a725afd202a72c6a,2017-03-23 14:33:17,2017-03-23 14:34:20,2017-03-23 19:34:00,2017-03-24 19:33:00,completed,1,"[""="", ""$node_type"", ""compute_ib""]",1-1,compute_ib
2f7968e432ec4a231f8dafb8f9be30b4,d79a64ad06b4569c01b79595b62207fb,3a64e23985e1a931a725afd202a72c6a,2017-03-23 14:35:15,2017-03-23 14:36:02,2017-03-23 19:36:00,2017-03-24 19:35:00,completed,1,"[""="", ""$node_type"", ""compute_ib""]",1-1,compute_ib
77539cd1ccbf248d94d6bf9cfa94cc4f,d79a64ad06b4569c01b79595b62207fb,3a64e23985e1a931a725afd202a72c6a,2017-03-23 01:36:20,2017-03-23 01:38:18,2017-03-24 01:36:00,2017-03-24 06:36:00,completed,1,"[""="", ""$node_type"", ""compute_ib""]",1-1,compute_ib
161c24366886ac059864a1f1661077c9,6d1e6ece2f994e64036dd1aff8b47000,db7c70540379584797e6815f9ac7388a,2017-03-24 17:34:53,2017-03-24 18:06:04,2017-03-25 03:30:00,2017-03-27 03:00:00,completed,13,"[""="", ""$node_type"", ""compute_ib""]",12-13,compute_ib
af4b44a14e329d975077e960bbcc46a7,5081a6f23bca3ec9cf40cdce155b1fd1,9571a89e3c834fd1397a4d9e170c51d6,2017-03-30 08:18:38,2017-03-30 11:16:07,2017-03-30 08:30:00,2017-04-01 23:00:00,completed,3,"[""="", ""$node_type"", ""compute_ib""]",3-3,compute_ib
