lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
c087f92b06617e774b54bda562c38a5d,b8db4174800bf470d0827be549b4f87a,45e363b4b72e43eb1badbb484c8cac2c,2017-02-21 15:49:16,2017-03-17 06:53:48,2017-02-21 16:00:00,2017-03-14 15:55:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
cb3382b8c6565d065bd1e18988595f38,f105f6bb078a743d30698c0a13f118a2,0c486be6a52fb24fa67a8951602a4c39,2017-02-28 01:33:15,2017-03-14 21:25:50,2017-02-28 01:45:00,2017-03-14 01:45:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
618afc91f2aac1f28ea0839781538b2c,ffc5149d4790faee4096828382e6452b,f13acc790b14924b5817c81b82067c56,2017-02-21 15:56:43,2017-02-21 20:35:26,2017-02-28 15:50:00,2017-03-07 15:49:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
fc491a24971677b892facf6b3d6229bd,b8db4174800bf470d0827be549b4f87a,45e363b4b72e43eb1badbb484c8cac2c,2017-02-21 15:50:05,2017-02-21 16:08:14,2017-02-28 16:00:00,2017-03-07 15:55:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
ca0867da8ca083407bb5ffe2632a794a,b8db4174800bf470d0827be549b4f87a,0ef59392890d7a5f809a1964f9f5821d,2017-02-21 18:46:06,2017-02-22 00:54:33,2017-03-01 12:00:00,2017-03-08 11:59:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
773c075d158f41d01d5611c01f4f77a8,b8db4174800bf470d0827be549b4f87a,493ad44bc692924c892b61e8a989a5f8,2017-02-28 20:09:45,2017-02-28 20:11:40,2017-03-01 14:00:00,2017-03-22 13:00:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
12cc6770b71adb4095ac046e94f40d69,b8db4174800bf470d0827be549b4f87a,493ad44bc692924c892b61e8a989a5f8,2017-02-22 20:16:18,2017-02-23 16:42:15,2017-03-01 20:16:00,2017-03-08 20:16:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
fcae7b068cbc6f2d6e02f6959d42e6bd,ffc5149d4790faee4096828382e6452b,f13acc790b14924b5817c81b82067c56,2017-02-21 15:58:58,2017-02-21 20:35:26,2017-03-07 15:53:00,2017-03-14 14:52:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
eb2a30b1d628850c3ee2b6aa8f1059ac,b8db4174800bf470d0827be549b4f87a,0ef59392890d7a5f809a1964f9f5821d,2017-02-21 18:47:03,2017-02-22 00:54:44,2017-03-08 12:00:00,2017-03-15 10:59:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
414f25c116e4c028b81ca2811dc84ec3,b8db4174800bf470d0827be549b4f87a,493ad44bc692924c892b61e8a989a5f8,2017-02-22 20:18:54,2017-02-23 16:42:14,2017-03-08 20:16:00,2017-03-15 19:16:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
6feb85422a036edd32a1e41c5e7dcb10,b2eaf4c6c3022e6d0ef350e23a02ba90,600a48abd555e26a08612e0cd8de4e51,2017-03-13 15:12:32,2017-04-03 19:25:34,2017-03-13 19:10:00,2017-03-20 00:00:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
384e8c7c1e8ac05d8fcf677a2e939e56,ffc5149d4790faee4096828382e6452b,f13acc790b14924b5817c81b82067c56,2017-02-21 15:53:30,2017-02-21 20:35:25,2017-03-14 14:00:00,2017-03-21 13:59:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
c8cf40b885d3c63ad1d5f6d8568b9195,b8db4174800bf470d0827be549b4f87a,0ef59392890d7a5f809a1964f9f5821d,2017-02-22 00:28:25,2017-02-22 00:54:13,2017-03-15 11:00:00,2017-03-22 10:59:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
bfbc541b8b72c5fb26eb9cce9cd1ddc7,b8db4174800bf470d0827be549b4f87a,493ad44bc692924c892b61e8a989a5f8,2017-02-22 20:22:53,2017-02-23 16:42:15,2017-03-15 19:16:00,2017-03-22 19:16:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
0413ac93200e540971a8aba84a158f91,b8db4174800bf470d0827be549b4f87a,45e363b4b72e43eb1badbb484c8cac2c,2017-03-17 06:55:17,2017-04-08 20:49:15,2017-03-17 17:00:00,2017-04-07 16:55:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
818fc6c8f06c369f27fae235ddcdc56e,ffc5149d4790faee4096828382e6452b,f13acc790b14924b5817c81b82067c56,2017-03-10 18:08:59,2017-03-23 20:31:13,2017-03-21 13:00:00,2017-03-28 12:59:00,completed,1,"[""="", ""$node_type"", ""gpu_p100""]",1-1,gpu_p100
