lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
9e48d7e092c7a59fab1a298a15c1cf26,b8db4174800bf470d0827be549b4f87a,45e363b4b72e43eb1badbb484c8cac2c,2017-11-02 15:43:34,2017-11-03 01:56:13,2017-11-02 23:00:00,2017-11-07 00:00:00,completed,2,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-2,gpu_p100_nvlink
f07960157035e432b83bd6183b8d650f,b8db4174800bf470d0827be549b4f87a,45e363b4b72e43eb1badbb484c8cac2c,2017-11-02 15:35:28,2017-11-02 15:36:45,2017-11-04 15:36:00,2017-11-05 16:35:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
26e7f5d4d0e5ff3eb7051bb4bb6d7d0d,9c743a065f3cd7902969e321a702605f,ebd8d9c235e3975e314dc8ac266e10d7,2017-11-09 15:49:27,2017-11-16 18:49:11,2017-11-13 18:00:00,2017-11-20 03:00:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
aa243d24bc561abe1e6badb03f6b759f,d79a64ad06b4569c01b79595b62207fb,2f8f8bb4a26a73b2f8f84bfab73034ae,2017-11-13 19:03:29,2017-11-15 16:49:51,2017-11-15 00:50:00,2017-11-16 01:00:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
e1e0abfcf00883722ba8db6dcc5ec91b,03ec3f4f829f6ff7cb144f0faadf122d,c8a35b73cb179cfc97c81f44abbc95ea,2017-11-17 01:07:12,2017-11-17 05:36:58,2017-11-17 09:00:00,2017-11-23 23:59:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
432354f544d51df50c2e0aaf09bd571e,5ccb7a03411d025534d890926fa74349,bc9509bf4e6f54feac28739b2b549ee9,2017-11-17 20:37:54,2017-11-18 22:29:45,2017-11-20 11:41:00,2017-11-26 11:41:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-2,gpu_p100_nvlink
41118e82ca80259aea4663f135bd9334,b8db4174800bf470d0827be549b4f87a,57cfc7da752237613ab31eac3a3451a8,2017-11-25 00:52:05,2017-11-25 00:52:44,2017-12-02 00:53:00,2017-12-09 00:52:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
e00ae29ab78f328ae45e7cf22873a4af,ffc5149d4790faee4096828382e6452b,45e363b4b72e43eb1badbb484c8cac2c,2017-11-28 01:46:51,2017-12-13 02:12:46,2017-12-07 14:00:00,2017-12-14 14:00:00,active,3,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-4,gpu_p100_nvlink
2975ebd20b5ca59b0a848998f2628110,6f73a12a4bc0ed3c0929de23de85ef79,c8c6c26b44877ffc5aa932e08671c96e,2017-12-17 01:52:47,2018-03-16 05:27:02,2017-12-20 01:53:00,2017-12-27 01:52:00,completed,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
688f4d870e13329befb12390b8cf9b49,6f73a12a4bc0ed3c0929de23de85ef79,c8c6c26b44877ffc5aa932e08671c96e,2017-12-19 05:33:29,,2017-12-27 05:34:00,2018-01-02 05:33:00,completed,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
28c538fbc59e150f2e9b1d878d35fb31,e272a9f89dd1acf390575b2b45b2bca7,c27753c2226b807f6763d4a815d868c9,2018-02-12 05:06:51,2018-02-19 16:38:03,2018-02-12 15:00:00,2018-02-19 00:00:00,completed,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
1369da5388b93457861309f45d3c5717,ffc5149d4790faee4096828382e6452b,45e363b4b72e43eb1badbb484c8cac2c,2018-03-09 17:47:16,2018-03-26 13:10:42,2018-03-20 16:48:00,2018-03-27 16:47:00,active,2,"[""=="",""$node_type"",""gpu_p100_nvlink""]",2-2,gpu_p100_nvlink
6a5990279618cef1652a36559b6a673c,5cf42b9070c79e847beadc58dc0ce25f,3ef4175b7af200b2d59c77eb9bc5f588,2018-03-29 03:43:45,2018-04-03 19:13:15,2018-04-01 04:05:00,2018-04-07 03:43:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
b476f555ac6920f5aefa77877eefd877,6dc6efb1c19ba86dfdb1892af867610d,caae86ced3da6b45707f612623ed15d3,2018-04-26 15:01:19,2018-05-07 01:55:52,2018-05-04 15:02:00,2018-05-10 14:00:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
d83ba4d0b579466c47f3aa4505c1fde2,8fbf48b61c5bb596aae0868f2cf44edf,939921995d095f477c5501d6c2be876a,2018-07-26 20:30:57,2018-08-09 19:46:50,2018-08-06 10:00:00,2018-08-13 10:00:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
7bc26950c38f1a6ac7333e75e129a583,8fbf48b61c5bb596aae0868f2cf44edf,939921995d095f477c5501d6c2be876a,2018-10-24 03:37:56,2018-11-07 17:12:56,2018-11-05 09:00:00,2018-11-12 09:00:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
516601e5669197ace0d21c1d33cd4f04,8fbf48b61c5bb596aae0868f2cf44edf,939921995d095f477c5501d6c2be876a,2018-10-22 23:29:26,2018-11-07 17:12:36,2018-11-05 09:00:00,2018-11-12 09:00:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
f99e5c20798eab0d8c0c7d3ca48504c5,fb348a3cac4abf3feb12e141eb967416,496599f5a12135293f0d7405e8a23465,2018-10-03 06:18:04,2018-12-07 19:46:45,2018-12-01 11:00:00,2018-12-08 10:59:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
f387aab0590e7f1322f78dfdffcba854,8fbf48b61c5bb596aae0868f2cf44edf,939921995d095f477c5501d6c2be876a,2018-11-18 22:01:40,2018-12-10 14:06:03,2018-12-04 09:00:00,2018-12-11 09:00:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
981dfb0ec748123c4d3e1400b4215f87,1ae3084232921d14001acfb172ce7a95,412e0aa61f720f4c25bca137588c099e,2018-11-20 04:36:27,2018-12-21 20:07:01,2018-12-17 04:37:00,2018-12-24 04:36:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
4badf8ebef5383ad3c936999fcaf9978,3cfb13287815d51c5a747b232f312f65,861c76598a0c443eb769287b4f5ba97e,2018-12-15 18:12:40,2018-12-23 18:08:53,2018-12-22 21:00:00,2018-12-29 18:12:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
a6eed517a19f73446d9215cebc4ce886,c5332d5fefe29a122ffff7f1f4ed703c,bcc1927591fe48c7b127f62db8fe5ac9,2018-12-19 14:26:16,2018-12-24 16:23:34,2018-12-24 04:40:00,2018-12-25 05:55:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
6d0dca877b78f2d2ec826ad64a9def9c,c5332d5fefe29a122ffff7f1f4ed703c,bcc1927591fe48c7b127f62db8fe5ac9,2018-12-19 14:23:35,2018-12-26 14:01:44,2018-12-25 06:30:00,2018-12-28 15:30:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
7be377822d181d77b2a538f1bb57601f,c5332d5fefe29a122ffff7f1f4ed703c,bcc1927591fe48c7b127f62db8fe5ac9,2018-12-21 12:40:31,2018-12-31 01:54:55,2018-12-29 20:10:00,2019-01-01 05:59:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
305a170d6acf2adea914dd6ac1cb1a6c,c5332d5fefe29a122ffff7f1f4ed703c,bcc1927591fe48c7b127f62db8fe5ac9,2018-12-19 14:18:18,2019-01-03 15:34:59,2019-01-01 01:10:00,2019-01-08 01:09:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
30dca48f74c936d91fe7eeecf394a3a0,8fbf48b61c5bb596aae0868f2cf44edf,939921995d095f477c5501d6c2be876a,2018-12-10 22:21:19,2019-01-01 22:42:46,2019-01-01 06:00:00,2019-01-08 06:00:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
519def833a4b71c711afdc2e9f9858bf,3cfb13287815d51c5a747b232f312f65,861c76598a0c443eb769287b4f5ba97e,2019-01-04 19:17:36,2019-01-08 21:45:57,2019-01-05 11:32:00,2019-01-08 15:00:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
06779e33b350dfb9508ad7a20beadaf4,8fbf48b61c5bb596aae0868f2cf44edf,939921995d095f477c5501d6c2be876a,2018-12-10 22:21:47,2019-01-10 21:25:25,2019-01-08 06:00:00,2019-01-15 06:00:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
1cbd8b58175a0b9f5543635ca845ba3a,c5332d5fefe29a122ffff7f1f4ed703c,bcc1927591fe48c7b127f62db8fe5ac9,2018-12-21 12:38:11,2019-01-09 16:06:16,2019-01-08 06:00:00,2019-01-15 06:00:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
f88feba937126368ca974ad98539f6f6,c5332d5fefe29a122ffff7f1f4ed703c,bcc1927591fe48c7b127f62db8fe5ac9,2018-12-21 12:36:33,2019-01-08 13:41:13,2019-01-08 06:30:00,2019-01-15 06:30:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
920868831558eed46481b933591ad024,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2019-01-20 21:40:31,2019-01-24 12:56:55,2019-01-24 12:31:00,2019-01-24 13:31:00,active,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
4cf7123a28424a8b3e1c20c2d1713b4e,c5332d5fefe29a122ffff7f1f4ed703c,bcc1927591fe48c7b127f62db8fe5ac9,2019-01-18 12:49:54,2019-01-25 20:38:54,2019-01-24 12:32:00,2019-01-29 14:59:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
f32b5d57adb7d9cd9b49fca4607b88d0,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2019-01-20 21:50:47,2019-01-24 14:04:49,2019-01-24 13:41:00,2019-01-24 14:41:00,active,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
d58189febba60b0879c4db85e3bad0b1,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2019-01-20 22:01:25,2019-01-24 15:17:07,2019-01-24 14:52:00,2019-01-24 15:52:00,active,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
eed99bdbac74347d440507515c654132,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2019-02-03 21:31:07,2019-02-03 22:57:01,2019-02-03 22:32:00,2019-02-03 23:32:00,active,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
c10039775c2ee6e8616689661e246dd5,3cfb13287815d51c5a747b232f312f65,861c76598a0c443eb769287b4f5ba97e,2019-01-17 17:24:55,2019-02-12 22:37:24,2019-02-06 15:00:00,2019-02-13 15:00:00,active,2,"[""=="",""$node_type"",""gpu_p100_nvlink""]",2-2,gpu_p100_nvlink
66de829721bdf0372a1d90356ae95511,c5332d5fefe29a122ffff7f1f4ed703c,bcc1927591fe48c7b127f62db8fe5ac9,2019-01-18 12:51:41,2019-02-11 19:16:27,2019-02-06 15:01:00,2019-02-13 14:59:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
55590f7ac9515768da510c289e924bae,c5332d5fefe29a122ffff7f1f4ed703c,bcc1927591fe48c7b127f62db8fe5ac9,2019-02-13 01:42:57,2019-02-15 22:44:35,2019-02-15 16:00:00,2019-02-20 14:59:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
2c2970742c0bd2991e44b2a4fba0748f,c5332d5fefe29a122ffff7f1f4ed703c,bcc1927591fe48c7b127f62db8fe5ac9,2019-02-13 01:44:01,2019-02-15 22:43:36,2019-02-15 16:00:00,2019-02-20 14:59:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
4bf93708fb6c3d2a5452921a07026f91,c5332d5fefe29a122ffff7f1f4ed703c,bcc1927591fe48c7b127f62db8fe5ac9,2019-02-15 22:45:02,2019-02-16 23:14:28,2019-02-16 23:00:00,2019-02-20 14:59:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
2fba872ae78f6a36739d4a8c900d2633,c5332d5fefe29a122ffff7f1f4ed703c,bcc1927591fe48c7b127f62db8fe5ac9,2019-02-15 22:44:10,2019-02-18 15:42:37,2019-02-18 11:00:00,2019-02-20 14:59:00,active,1,"[""=="",""$node_type"",""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
