lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
2a411d3a32ff3f0ce46fc9d0ebda4de0,d79a64ad06b4569c01b79595b62207fb,2f8f8bb4a26a73b2f8f84bfab73034ae,2016-12-19 17:30:24,2016-12-23 11:03:07,2016-12-19 18:00:00,2016-12-20 05:00:00,completed,1,"[""="", ""$node_type"", ""lowpower_xeon""]",1-1,lowpower_xeon
997aa4aea50ba29174ef8f88f97db9fc,ab6cd5a0c71eeb1029e5ef59c5cc2e3c,5ac87d3beecb23a10f35632b62653aed,2017-01-05 22:10:30,2017-01-11 15:40:42,2017-01-05 22:30:00,2017-01-12 22:00:00,completed,1,"[""="", ""$node_type"", ""lowpower_xeon""]",1-1,lowpower_xeon
64f3cb6b724d53ccd1446cbcbb119013,ab6cd5a0c71eeb1029e5ef59c5cc2e3c,5ac87d3beecb23a10f35632b62653aed,2017-01-11 15:44:03,2017-01-18 15:43:23,2017-01-11 16:00:00,2017-01-18 15:50:00,completed,1,"[""="", ""$node_type"", ""lowpower_xeon""]",1-1,lowpower_xeon
e5608bb2cec6eddb2b20c46ee7ae9837,7be5fc80ba4efffc763f9a2e712525cd,9d0ca052b048a75e380d67d350174252,2017-09-29 12:58:14,2017-10-05 18:46:16,2017-09-29 15:00:00,2017-10-06 12:58:00,completed,1,"[""="", ""$node_type"", ""lowpower_xeon""]",1-1,lowpower_xeon
80a291684ab28c7b3e8e0f27fa14b44b,c0d3e7742a1cc4a1867129ce38a6e1e5,cc0a335082ff2b6315e81f763f2b43ba,2017-10-09 22:47:57,2017-10-12 19:29:36,2017-10-09 23:00:00,2017-10-10 00:15:00,completed,1,"[""="", ""$node_type"", ""lowpower_xeon""]",1-1,lowpower_xeon
bbf080ee117d84a7a8112a93491d39f5,b519049daa0f6e72084b235ed0f6d8ed,b40f91fc9c93152f3fd696823e0f118d,2018-01-13 18:32:19,2018-01-20 18:39:17,2018-01-20 00:00:00,2018-01-26 19:59:00,active,8,"[""=="",""$node_type"",""lowpower_xeon""]",8-8,lowpower_xeon
66f4a93b888206de0b43f80edc447cfe,1ab8ea2f6fd99e582c7f6f1967bc6f4d,0a64a2fe203163f1d080f803efd66d7e,2018-04-13 17:20:37,2018-04-22 10:08:55,2018-04-15 13:00:00,2018-04-21 03:00:00,active,1,"[""=="",""$node_type"",""lowpower_xeon""]",1-1,lowpower_xeon
487fe61ff634b7c5e34e0ee352617cc8,1ab8ea2f6fd99e582c7f6f1967bc6f4d,0a64a2fe203163f1d080f803efd66d7e,2018-06-07 00:14:02,2018-06-13 10:47:08,2018-06-07 13:00:00,2018-06-13 03:00:00,completed,1,"[""=="",""$node_type"",""lowpower_xeon""]",1-1,lowpower_xeon
dfe58ae337d50d6719aa938462c842ea,1ab8ea2f6fd99e582c7f6f1967bc6f4d,0a64a2fe203163f1d080f803efd66d7e,2019-03-04 18:26:30,2019-03-13 17:57:21,2019-03-11 17:27:00,2019-03-16 17:26:00,active,1,"[""=="",""$node_type"",""lowpower_xeon""]",1-1,lowpower_xeon
4bdac637b36560b32db28433e2623dc5,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2020-04-05 17:48:07,2020-04-05 21:15:56,2020-04-05 20:48:00,2020-04-05 21:48:00,active,1,"[""="", ""$node_type"", ""lowpower_xeon""]",1-1,lowpower_xeon
13f97ec4f1fd36f1e1fba0aa6781bbf5,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2020-05-17 17:37:28,2020-05-18 03:32:22,2020-05-18 03:05:00,2020-05-18 04:05:00,active,1,"[""="", ""$node_type"", ""lowpower_xeon""]",1-1,lowpower_xeon
5a3f6a566287016e226976d74d862409,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2020-05-17 17:39:55,2020-05-18 03:34:16,2020-05-18 03:08:00,2020-05-18 04:08:00,active,1,"[""="", ""$node_type"", ""lowpower_xeon""]",1-1,lowpower_xeon
d9a48d5a00fa7e8f98df28581089c850,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2020-05-17 17:42:37,2020-05-18 04:37:11,2020-05-18 04:11:00,2020-05-18 05:11:00,active,1,"[""="", ""$node_type"", ""lowpower_xeon""]",1-1,lowpower_xeon
d69937a9a8e37c814468910633c4c951,c78cc0b9b1f03134791713d17916cc45,cbf0689e40cb1742b4675659c76b34e7,2020-10-22 02:47:38,2020-10-25 04:43:38,2020-10-22 09:30:00,2020-10-29 02:47:00,active,1,"[""=="",""$node_type"",""lowpower_xeon""]",1-1,lowpower_xeon
