lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
9ab54a8531d932b3b9c5d36d7490911d,8585355ca30cc50c547f2006be020553,327fc67c4952f200626c6d420671c61e,2016-10-25 22:42:22,2016-11-28 15:09:08,2016-10-25 23:00:00,2016-11-01 23:00:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
093926a4c5da0c259d987599ac34d659,e01ae3122ada3f92e792a54413c2ba38,f52054649ef644eb5be56f3249c303df,2016-11-07 19:23:50,2017-02-27 18:50:21,2016-11-08 00:00:00,2016-11-14 00:00:00,completed,3,"[""="", ""$node_type"", ""storage""]",1-3,storage
3977eb2deaa0717f73e1c52b61dfd4ae,8585355ca30cc50c547f2006be020553,327fc67c4952f200626c6d420671c61e,2016-11-28 15:11:16,2016-12-07 15:41:41,2016-11-28 15:30:00,2016-12-05 14:00:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
8760dd1a959c5f6bb682008b905eeacb,8585355ca30cc50c547f2006be020553,327fc67c4952f200626c6d420671c61e,2016-12-07 15:42:18,2016-12-20 16:16:07,2016-12-07 16:00:00,2016-12-14 16:00:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
68965c530a87384127d44dcf15b67577,0287cc5e697720ccf4b4d033a06dc5a9,9a58eccd4fdad033e2555f513bc4ceef,2016-12-07 19:41:09,2016-12-15 17:00:15,2016-12-08 16:00:00,2016-12-15 16:00:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
5022d7d6282ff3ae80e4e6cc66d00438,0287cc5e697720ccf4b4d033a06dc5a9,9a58eccd4fdad033e2555f513bc4ceef,2016-12-07 19:41:55,2016-12-15 17:00:12,2016-12-08 16:00:00,2016-12-15 16:00:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
f20e892f5c5935bd97b09f89bb275e8d,d79a64ad06b4569c01b79595b62207fb,2f8f8bb4a26a73b2f8f84bfab73034ae,2016-12-19 17:29:22,2016-12-23 11:02:59,2016-12-19 18:00:00,2016-12-20 05:00:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
9a44d46374601d7469351dffca842a26,e272a9f89dd1acf390575b2b45b2bca7,c27753c2226b807f6763d4a815d868c9,2017-02-04 00:20:56,2017-02-18 18:01:04,2017-02-04 09:00:00,2017-02-10 23:59:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
3ea011ccddb6bf7a8a84b37fea272056,e01ae3122ada3f92e792a54413c2ba38,f52054649ef644eb5be56f3249c303df,2017-02-27 18:55:59,2017-03-10 20:38:16,2017-02-27 19:15:00,2017-03-05 19:15:00,completed,3,"[""="", ""$node_type"", ""storage""]",1-3,storage
a3ca41a94bfebc085d3e9c61ef0d173b,e01ae3122ada3f92e792a54413c2ba38,f52054649ef644eb5be56f3249c303df,2017-03-08 21:17:26,2017-04-03 19:25:31,2017-03-08 21:30:00,2017-03-14 20:30:00,completed,3,"[""="", ""$node_type"", ""storage""]",1-3,storage
e8b295cf2fb8dabdf6c9a33670b0ac45,3cfb13287815d51c5a747b232f312f65,1259290f35f0de6209c542b86f6e6e78,2017-03-13 18:51:53,2017-03-20 21:08:41,2017-03-14 12:00:00,2017-03-19 12:00:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
e2947426de59a11ca5f59ad517b63878,ddeb0391562a27538ef40ad6ec994b7c,14a030929c1d1ea4aa0e316f17995c02,2017-03-20 17:01:24,2017-03-20 17:18:31,2017-03-20 17:15:00,2017-03-27 17:00:00,completed,5,"[""="", ""$node_type"", ""storage""]",5-5,storage
819f97077187783a9043c1e5721fc033,ddeb0391562a27538ef40ad6ec994b7c,14a030929c1d1ea4aa0e316f17995c02,2017-03-20 18:42:50,2017-03-20 19:42:21,2017-03-20 19:00:00,2017-03-21 23:00:00,completed,5,"[""="", ""$node_type"", ""storage""]",5-5,storage
55c8d51558e5ad96136a50daf5ab5649,3cfb13287815d51c5a747b232f312f65,1259290f35f0de6209c542b86f6e6e78,2017-03-20 21:12:14,2017-03-25 05:31:14,2017-03-21 00:00:00,2017-03-27 00:00:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
09594fc7bd9254607f22873ec8b7bf37,f105f6bb078a743d30698c0a13f118a2,0c486be6a52fb24fa67a8951602a4c39,2017-03-23 02:16:47,2017-03-23 02:43:07,2017-03-23 07:17:00,2017-04-01 07:16:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
6ed4876df79574cae704f1c4c8119c09,3cfb13287815d51c5a747b232f312f65,1259290f35f0de6209c542b86f6e6e78,2017-04-18 22:07:36,2017-04-26 06:31:19,2017-04-19 00:00:00,2017-04-23 12:00:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
d0d49fb09dfb9777c98e187e2f805352,b2eaf4c6c3022e6d0ef350e23a02ba90,6b8fc80406b03ebf1e72b7afa8b6f0ef,2017-09-03 02:12:55,2017-11-03 01:46:19,2017-09-03 02:30:00,2017-11-01 04:30:00,completed,3,"[""="", ""$node_type"", ""storage""]",3-3,storage
37622ae8e8fe4b7ac633d1f579c07411,b2eaf4c6c3022e6d0ef350e23a02ba90,5d36764c37b4447db3dc15a8d850c115,2017-09-11 22:32:15,2017-09-11 22:53:09,2017-09-11 22:53:00,2017-09-17 04:59:00,completed,5,"[""="", ""$node_type"", ""storage""]",3-5,storage
3a0f0815487475b4b5a32cbf7a185fa4,b2eaf4c6c3022e6d0ef350e23a02ba90,70c761730b846e22433cf231fe2c7d81,2017-09-18 01:56:10,2017-09-25 14:17:00,2017-09-18 07:00:00,2017-09-25 14:00:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
