lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
1e87d1f9bbac05b6e752e45fa9a8bba6,120d3ca93720183e24580e895efb4a5a,837d25f39484c7fddfb6626145815157,2016-10-31 05:55:52,2016-11-09 20:19:10,2016-10-31 06:30:00,2016-11-06 23:59:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
99a579adfb52bbcdbf498945b8044337,120d3ca93720183e24580e895efb4a5a,837d25f39484c7fddfb6626145815157,2016-10-31 05:17:52,2016-10-31 05:54:44,2016-10-31 12:00:00,2016-11-01 12:00:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
3760709b0e7a6c2b564dae49fe119da7,120d3ca93720183e24580e895efb4a5a,529b6571f8417a27f53433aa92f7695c,2016-11-01 02:53:30,2016-11-15 22:06:02,2016-11-06 15:00:00,2016-11-13 05:59:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
a97b20cd1ec520a9e848f78d0722c2e2,a956639e292fd1679669a9507e4cd0c9,a87084221057a9e6a007ffbf269289ae,2016-11-08 21:00:11,2016-11-10 15:59:55,2016-11-10 06:00:00,2016-11-11 05:59:00,completed,60,"[""="", ""$node_type"", ""compute""]",60-60,compute
ba96d22b3f849ef79ba5845507c866bc,120d3ca93720183e24580e895efb4a5a,837d25f39484c7fddfb6626145815157,2016-11-15 22:05:40,2016-11-23 04:51:14,2016-11-15 23:00:00,2016-11-22 23:00:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
ae237e4f8a5af09bc0b795e4100a3066,f0ea4aace276ae8cf1f5129601522387,a5ddb05b4d755c05201cf2bc1736fe52,2016-11-19 20:25:37,2016-11-24 08:41:14,2016-11-19 21:00:00,2016-11-21 13:59:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
9a04209c3f59bebd109f625e058823d7,120d3ca93720183e24580e895efb4a5a,837d25f39484c7fddfb6626145815157,2016-11-21 20:19:27,2016-11-29 07:43:17,2016-11-22 00:00:00,2016-11-28 00:00:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
7b2ca8eae1c05c588f1cb63cbd48b8ea,f0ea4aace276ae8cf1f5129601522387,a5ddb05b4d755c05201cf2bc1736fe52,2016-11-19 20:26:18,2016-12-01 06:22:22,2016-11-22 00:01:00,2016-11-27 05:59:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
7d7ac2cce1162e53871da182e45d25db,f0ea4aace276ae8cf1f5129601522387,a5ddb05b4d755c05201cf2bc1736fe52,2016-11-26 19:46:48,2016-11-27 14:14:14,2016-11-27 05:59:00,2016-11-29 05:59:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
f7b5e4490edae82231e3dde0c5212e54,f0ea4aace276ae8cf1f5129601522387,a5ddb05b4d755c05201cf2bc1736fe52,2016-11-27 14:15:55,2016-12-01 06:22:18,2016-11-27 14:30:00,2016-11-29 06:00:00,completed,1,"[""="", ""$node_type"", ""compute""]",1-1,compute
