lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
685a4ae6c47bff7a333326343b1811b9,175bf3794295587cee8ca28441ce8e57,a5ca0854d119d63da39a92a7e181d6a0,2018-04-12 15:11:03,2018-04-16 16:03:05,2018-04-14 08:00:00,2018-04-17 12:00:00,active,8,"[""=="",""$node_type"",""compute_haswell""]",8-8,compute_haswell
6872b26dc1239d458da3aca3c35607bd,996d8023ca4d37384dfc2006a1b92219,0ad8058f78c31221d9b03ef89c50b175,2018-05-08 18:57:43,2018-05-10 16:36:28,2018-05-10 12:00:00,2018-05-11 05:59:00,active,40,"[""="", ""$node_type"", ""compute_haswell""]",40-40,compute_haswell
e2e2046486f6709714467f308adebbde,0fe0fadd3dcf428635327130c335adeb,ed572d5bf5eb171659a695b286157d10,2018-05-15 20:32:36,2018-05-16 07:12:30,2018-05-16 02:00:00,2018-05-16 18:00:00,active,2,"[""=="",""$node_type"",""compute_haswell""]",2-2,compute_haswell
0d04062793a7ab827c805d38aa16c32d,3a4976ae9405f8a4322563ad521aa9e1,552064e14fbe3a6787dd80186de877e5,2018-05-21 15:36:31,2018-05-21 20:52:37,2018-05-21 18:00:00,2018-05-21 21:00:00,active,2,"[""=="",""$node_type"",""compute_haswell""]",1-2,compute_haswell
660c188c99b386c60cef544e9ff53249,5b7ccd2f92ee8ceec6fbc66399bc7b9c,b878d70b7bfd4ca64214363240aed04f,2018-05-18 17:58:44,2018-06-12 08:21:49,2018-05-24 09:00:00,2018-05-25 19:00:00,completed,79,"[""=="",""$node_type"",""compute_haswell""]",43-86,compute_haswell
771b60821902f63d5331c1637b82c111,ff01b47dc3798cc0e680c5a88d243725,38aa5ab420a579237415bc508e8c595f,2018-10-06 01:49:36,2018-10-06 15:13:01,2018-10-06 03:00:00,2018-10-13 01:49:00,active,20,"[""=="",""$node_type"",""compute_haswell""]",1-20,compute_haswell
f824dcbf29779d1f830b3a9095045c95,9278fb4b8dff512e77200b13d32b4c7c,ec304851df511fc75cc137b4c95d29cd,2018-11-09 23:19:01,2018-11-16 08:43:32,2018-11-11 14:00:00,2018-11-17 23:18:00,active,16,"[""=="",""$node_type"",""compute_haswell""]",16-16,compute_haswell
a142521f36f7f314ad2377442f098fed,175bf3794295587cee8ca28441ce8e57,a5ca0854d119d63da39a92a7e181d6a0,2018-11-05 15:24:41,2018-11-16 15:48:03,2018-11-11 15:25:00,2018-11-18 15:24:00,active,10,"[""=="",""$node_type"",""compute_haswell""]",10-10,compute_haswell
8d1f9a267160dd0c5765ae272e3a8759,0a6613d9e61f78d1c6a79dd267ab5897,61c710f622d9da72934e6c6fce6f257e,2018-12-09 06:39:41,2018-12-11 12:09:23,2018-12-10 06:40:00,2018-12-17 06:39:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
0aca351115e1ec7bf1ca06cba025560b,bbc2e6560e8ba67d4df2e973fed81a65,1e8e839a5ce08ecfe494da1da6b9bb76,2018-12-11 16:01:14,2018-12-14 22:26:06,2018-12-12 17:00:00,2018-12-15 16:01:00,active,18,"[""=="",""$node_type"",""compute_haswell""]",18-18,compute_haswell
591fc4dd385571441339aefc8cf0452b,244bd09d8ca76ae8d2ed05747b2107be,1e8e839a5ce08ecfe494da1da6b9bb76,2019-01-21 22:39:34,2019-01-31 15:28:52,2019-01-22 01:00:00,2019-01-31 22:39:00,active,17,"[""=="",""$node_type"",""compute_haswell""]",17-17,compute_haswell
48a52b39c90e08e44b07da8154f8847d,5b7ccd2f92ee8ceec6fbc66399bc7b9c,b878d70b7bfd4ca64214363240aed04f,2019-02-26 10:26:14,2019-03-01 16:53:32,2019-02-27 09:00:00,2019-03-02 23:00:00,active,44,"[""=="",""$node_type"",""compute_haswell""]",44-44,compute_haswell
10f3534fc0735b5d8e4780a49f6fe28c,971623d52abb119b2680679e603b5f89,198b916ed9b1c4f6fb5b7693cccdcc2e,2019-04-16 13:47:27,2019-04-17 15:52:18,2019-04-16 16:00:00,2019-04-20 13:47:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
f597e90f5ab1088ca35ef1801472a355,6943869d00a3f7bf2c674ac56de947fe,a5ca0854d119d63da39a92a7e181d6a0,2019-05-21 16:36:14,2019-05-30 13:16:46,2019-05-30 04:00:00,2019-05-31 16:36:00,active,50,"[""=="",""$node_type"",""compute_haswell""]",50-50,compute_haswell
333c1745aa1201dde414b4b35baf5b81,43f15b89551ced6e0b2358e3df7bd7bb,f700d12f1158060109816002765ad19d,2019-06-18 15:31:06,2019-06-18 20:28:37,2019-06-18 16:00:00,2019-06-19 16:30:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
56b8bb212725cdc7bcf1fc46a47161d2,5b7ccd2f92ee8ceec6fbc66399bc7b9c,b878d70b7bfd4ca64214363240aed04f,2019-07-01 17:48:59,2019-07-02 18:31:20,2019-07-02 07:00:00,2019-07-02 21:00:00,active,12,"[""=="",""$node_type"",""compute_haswell""]",12-12,compute_haswell
20368e75fcf4484321339d1340da15ad,d246a1b890ad1da5602ddb7032f5be9e,0808bd93c6e3bedf18c5e09347e0c484,2019-12-09 18:15:29,2019-12-10 09:05:36,2019-12-10 00:00:00,2019-12-15 00:00:00,active,10,"[""=="",""$node_type"",""compute_haswell""]",1-10,compute_haswell
8395e4a978972103cf35b7ab455658e1,de16af40f280b17d1bcc4e3f14ff0ea8,cc82faaf9753ec1e192649e4b6efbde3,2020-03-09 13:19:11,2020-03-12 20:14:38,2020-03-12 02:00:00,2020-03-13 13:19:00,active,70,"[""=="",""$node_type"",""compute_haswell""]",60-70,compute_haswell
564192cda6f6c920b88a7dd6377d2686,7e3038cf6fc3218403bf77c6b9965687,7fabbae2eb540992e4b60d048795807b,2020-06-03 15:32:46,2020-06-03 16:32:29,2020-06-03 16:00:00,2020-06-04 04:00:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
10efe704da45d979a15d3ee0603e2223,808ba3cb1bbda164f9fe512717380c37,9abeb8b0a93000dd9cae3eb30b3c8cf3,2020-06-03 00:23:24,2020-06-04 07:22:56,2020-06-04 00:24:00,2020-06-05 00:23:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
8888fb7fa03cb4d3356445658b227add,1e88af710c1f8d3024e73e9f6bad4679,0d97fa37f9983e1eaddf5f5e06374291,2020-08-02 19:18:58,2020-08-03 04:10:17,2020-08-03 04:00:00,2020-08-04 18:00:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
16f15785df9ab3780f9490afaddc47ee,78f8a87c18af4fdb42c055222138b1fa,69c16a4cb3dca3fa2aeecb491229109a,2020-08-10 19:28:37,2020-08-11 06:05:33,2020-08-10 21:00:00,2020-08-17 19:28:00,active,8,"[""=="",""$node_type"",""compute_haswell""]",8-8,compute_haswell
832974a52949a3fb64a110f438c4f47f,ba73b3ae3a772f28ba2d5a9382599813,7d0b6e79f62646f9b2580847364297f2,2020-08-10 21:50:41,2020-08-14 18:13:40,2020-08-11 14:00:00,2020-08-15 04:59:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
7410046a68d961c8061f5111a2baaa5b,55302c88666b241f51cd27da910a649f,9001d428f5cecacd9526fb58b87e95f8,2020-08-20 16:01:41,2020-08-21 23:39:18,2020-08-21 16:00:00,2020-08-26 16:00:00,active,5,"[""=="",""$node_type"",""compute_haswell""]",1-5,compute_haswell
2c2cb715033498d82ddec2e6c4e7aa13,7757a581fa1951b4f10496348b3222a4,2016f22c5a2de7b56792af8367376161,2020-10-08 14:50:06,2020-10-09 22:11:34,2020-10-09 13:00:00,2020-10-12 03:59:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
