lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
799eb2e077eb72629e6c4f13dc3a088a,a956639e292fd1679669a9507e4cd0c9,158b002b8fb423e2975fbe2f9d9f2c3a,2018-05-09 19:10:30,2018-05-09 22:29:27,2018-05-09 21:31:00,2018-05-10 06:55:00,active,32,"[""="", ""$node_type"", ""compute_skylake""]",32-32,compute_skylake
86961c5c7ce147468d9fc55a242d8eac,05578ac59bed10b5dc7c99fdeaab0141,a5ca0854d119d63da39a92a7e181d6a0,2018-07-10 17:10:25,2018-07-12 22:44:49,2018-07-12 04:00:00,2018-07-13 03:59:00,active,32,"[""=="",""$node_type"",""compute_skylake""]",32-32,compute_skylake
2c7d2245144c5af6bbaa750897f233d0,99567c809d5f2c2ead4e578ba12dc561,4ee188913249678e12a5b5215bd53709,2018-10-07 03:26:04,2018-10-17 14:22:22,2018-10-13 03:27:00,2018-10-20 03:26:00,active,1,"[""=="",""$node_type"",""compute_skylake""]",1-1,compute_skylake
a5f11d4e0eea71e2cd9c05a504f1060e,175bf3794295587cee8ca28441ce8e57,a5ca0854d119d63da39a92a7e181d6a0,2018-11-05 15:26:36,2018-11-16 15:48:30,2018-11-11 15:27:00,2018-11-18 15:26:00,active,10,"[""=="",""$node_type"",""compute_skylake""]",10-10,compute_skylake
b64be9f30eb1e20267731f57cdc0a9c7,d60191ff771cd2c688b8a33ba1898ef3,0785abd3e31c2398e22e112e92be9e22,2018-11-26 14:51:18,2018-12-18 15:20:47,2018-12-03 10:00:00,2018-12-09 18:00:00,active,49,"[""=="",""$node_type"",""compute_skylake""]",49-49,compute_skylake
5baee7774831a0ddd5057569730ea833,d60191ff771cd2c688b8a33ba1898ef3,0785abd3e31c2398e22e112e92be9e22,2018-12-09 15:30:37,2018-12-24 02:08:21,2018-12-18 16:00:00,2018-12-25 02:00:00,active,55,"[""=="",""$node_type"",""compute_skylake""]",55-55,compute_skylake
fb3d73c0f5fad57e620a5b1f899c924a,5a50b6c4a79b0003a78953afcbc9e7be,a5ca0854d119d63da39a92a7e181d6a0,2018-12-17 19:23:44,2018-12-20 14:31:54,2018-12-19 00:00:00,2018-12-25 19:23:00,active,1,"[""=="",""$node_type"",""compute_skylake""]",1-1,compute_skylake
60806bfca28023d348d7b72bc0ce84ec,0a6613d9e61f78d1c6a79dd267ab5897,0785abd3e31c2398e22e112e92be9e22,2018-12-29 20:33:48,2019-01-02 16:36:59,2018-12-31 15:00:00,2019-01-07 05:00:00,active,52,"[""=="",""$node_type"",""compute_skylake""]",52-52,compute_skylake
3c4648dfd3cada220cf6e4b4a9cf1c21,d60191ff771cd2c688b8a33ba1898ef3,0785abd3e31c2398e22e112e92be9e22,2019-01-09 05:22:38,2019-01-15 21:43:54,2019-01-09 16:00:00,2019-01-16 05:00:00,active,52,"[""=="",""$node_type"",""compute_skylake""]",52-52,compute_skylake
7ab285beab55dffb56f99afe6e57aab2,244bd09d8ca76ae8d2ed05747b2107be,1e8e839a5ce08ecfe494da1da6b9bb76,2019-01-15 19:18:59,2019-01-17 00:10:14,2019-01-16 11:00:00,2019-01-22 05:00:00,active,34,"[""=="",""$node_type"",""compute_skylake""]",24-34,compute_skylake
59959504910e8768d947cbf4b1b27986,0a6613d9e61f78d1c6a79dd267ab5897,0785abd3e31c2398e22e112e92be9e22,2019-01-15 21:59:49,2019-01-25 14:54:11,2019-01-25 00:00:00,2019-01-31 05:00:00,active,54,"[""=="",""$node_type"",""compute_skylake""]",54-54,compute_skylake
