lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
a7b5ec7577ca211d7c40e8b6e25c57f0,99567c809d5f2c2ead4e578ba12dc561,0527dda3afe8b3a5bbb3244d013a7893,2020-10-12 23:34:19,2020-10-17 06:16:25,2020-10-16 22:30:00,2020-10-23 22:30:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
ad4311db5311d0186989e3690b93c5e8,84f8e0055d75b864044884637f413810,c1abef1b4c7b9425600a48fa1e9541e3,2020-11-02 06:57:23,2020-11-17 01:48:38,2020-11-12 21:30:00,2020-11-19 07:00:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
045c71e7a090eab2bdd0bcdbda9623e5,c1540f876d4bc7c9cf853cf21ebcf8d1,ccaed064610385a50032b94616f95ff4,2020-11-17 15:30:13,2020-11-19 08:38:59,2020-11-19 00:00:00,2020-11-19 15:30:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
82b620d2c571d8fa3429e5f5b16cd92b,c1540f876d4bc7c9cf853cf21ebcf8d1,152ad9d9716707486e3722e197669fca,2020-11-18 18:31:11,2020-11-26 18:35:11,2020-11-19 16:00:00,2020-11-27 18:31:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
55712984f1d11f12f5f95b1cf7654b3f,c1540f876d4bc7c9cf853cf21ebcf8d1,1dc43f0c2314f7f9ecf2275bb11f2dec,2020-11-21 17:32:18,2020-11-24 23:16:08,2020-11-23 17:33:00,2020-11-27 17:32:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
fbea608dd5090253d19ac13fa68e1212,c1540f876d4bc7c9cf853cf21ebcf8d1,edc34db656678d87f11d3af50f178f7a,2020-11-23 02:47:34,2020-11-25 06:43:17,2020-11-24 19:00:00,2020-11-26 05:59:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
0b1b0e9edbda00315b3677a39790cae2,96bed2d2eee6bb95971688fbaa37e58f,949699a57e4f887fd945d4d3dc22a025,2020-12-03 15:08:26,2020-12-10 18:09:01,2020-12-10 09:00:00,2020-12-17 09:00:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
3d557aa4c34163990a43741290fbb941,1b97157e66c58ec70099494f577c1571,ebf42152d008ea3b71c4093584be6eab,2020-12-06 17:40:49,2020-12-10 17:53:17,2020-12-10 16:00:00,2020-12-17 16:00:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
a5f2268f6d17d6ab241aab30918e13d9,96bed2d2eee6bb95971688fbaa37e58f,949699a57e4f887fd945d4d3dc22a025,2020-12-16 21:55:48,2020-12-18 07:14:02,2020-12-17 21:56:00,2020-12-24 21:55:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
56b927c4ead26150675e1872a686fd1f,388e8c7305bc3d43d353ca4ff772462a,d285fd49661121cd9088c9ac518ff60e,2021-01-21 03:01:51,2021-01-26 14:02:29,2021-01-26 05:00:00,2021-02-02 03:01:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
7a7ce21bc4ad06e238354a43f825805f,388e8c7305bc3d43d353ca4ff772462a,d285fd49661121cd9088c9ac518ff60e,2021-02-13 08:16:46,2021-02-17 00:03:00,2021-02-16 15:00:00,2021-02-23 08:16:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
4bcc63ec23b93a4b9045afe8b4c0b113,e9d962fe86d8fc9b76f6598fc9039a08,3c5094dae501baf3b0961adf20f766d8,2021-04-15 04:12:43,2021-04-16 23:06:38,2021-04-16 23:00:00,2021-04-17 04:12:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
0c61a73d417974677fb779c26a2a8a28,9234c2d6fc22fbce722743839cd1ecdf,eeeade29c2dc6d850675718441dd51dd,2021-05-20 19:29:27,,2021-05-25 19:30:00,2021-06-13 19:29:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
