lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
efe984ffbd9e75b140cb5c9bb0e35523,273c67bff1d74021f9e1852a9a3c8fc0,f846bdc98852d8f822535d98bc31ccee,2016-12-15 20:13:51,2016-12-15 20:19:51,2016-12-15 20:15:00,2016-12-16 00:00:00,completed,8,"[""="", ""$node_type"", ""atom""]",8-8,atom
42a782c91446fc8d1840c5f0009e588e,d79a64ad06b4569c01b79595b62207fb,1063ea6d0366e258308b86ed3840f8cc,2016-12-15 20:21:04,2016-12-15 21:04:24,2016-12-15 20:22:00,2016-12-17 00:00:00,completed,8,"[""="", ""$node_type"", ""atom""]",8-8,atom
2c7e2bf8b2f4e3cf32ab15f04274114c,d79a64ad06b4569c01b79595b62207fb,1063ea6d0366e258308b86ed3840f8cc,2016-12-15 21:04:49,2016-12-15 21:24:45,2016-12-15 21:05:00,2016-12-15 22:00:00,completed,1,"[""="", ""$node_type"", ""atom""]",1-1,atom
9435d026852b346ab8e9f482fad73300,d79a64ad06b4569c01b79595b62207fb,1063ea6d0366e258308b86ed3840f8cc,2016-12-16 13:56:21,2016-12-19 16:54:54,2016-12-16 14:00:00,2016-12-16 19:00:00,completed,1,"[""="", ""$node_type"", ""atom""]",1-1,atom
4d5a9add574ae3dba097a417e700b316,d79a64ad06b4569c01b79595b62207fb,1063ea6d0366e258308b86ed3840f8cc,2016-12-23 11:26:29,2016-12-29 10:32:39,2016-12-23 11:27:00,2016-12-23 23:00:00,completed,1,"[""="", ""$node_type"", ""atom""]",1-1,atom
c6a38cefe2e4d51ac5d4e923f2f2644d,b2eaf4c6c3022e6d0ef350e23a02ba90,badcf471d9026cb61014e20f0552b0e8,2017-06-20 17:34:09,2017-09-05 15:28:19,2017-06-20 17:35:00,2017-06-20 20:00:00,completed,1,"[""="", ""$node_type"", ""atom""]",1-1,atom
98ef5932efa47cf5c32eb65dea0aadb1,b2eaf4c6c3022e6d0ef350e23a02ba90,e2cdbdb281156a31334b8e6323b6b73e,2017-06-22 21:12:01,2017-06-24 21:35:27,2017-06-22 21:13:00,2017-06-29 21:12:00,completed,1,"[""="", ""$node_type"", ""atom""]",1-1,atom
c8b2d7d5d7510c57c6455e40c31d7d93,b2eaf4c6c3022e6d0ef350e23a02ba90,e2cdbdb281156a31334b8e6323b6b73e,2017-06-24 21:37:51,2017-06-27 15:53:15,2017-06-24 21:38:00,2017-06-27 09:40:00,completed,1,"[""="", ""$node_type"", ""atom""]",1-1,atom
529ab9a139c698901e4152a62b494dda,b2eaf4c6c3022e6d0ef350e23a02ba90,e2cdbdb281156a31334b8e6323b6b73e,2017-07-03 20:18:48,2017-07-08 20:17:58,2017-07-03 20:19:00,2017-07-07 20:18:00,completed,1,"[""="", ""$node_type"", ""atom""]",1-1,atom
124df86706de13efffd12138d5a4b989,b2eaf4c6c3022e6d0ef350e23a02ba90,e2cdbdb281156a31334b8e6323b6b73e,2017-07-08 20:18:25,2017-07-21 16:53:38,2017-07-08 20:19:00,2017-07-20 20:18:00,completed,1,"[""="", ""$node_type"", ""atom""]",1-1,atom
