lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
f4d74791ceb03c8b77f79d79d59e740c,f99d9532a5b5d343b83d24d66f222d74,09bf9b381601466600058056f17dac95,2020-11-27 02:15:01,2020-11-27 12:04:02,2020-11-27 02:15:00,2020-12-04 02:14:00,active,14,"[""=="",""$node_type"",""compute_cascadelake_r""]",14-14,compute_cascadelake_r
5de2994b273cf334cfbb25aacde77be8,f99d9532a5b5d343b83d24d66f222d74,09bf9b381601466600058056f17dac95,2020-11-27 20:51:57,2020-11-28 06:06:11,2020-11-27 20:52:00,2020-12-04 20:51:00,active,14,"[""=="",""$node_type"",""compute_cascadelake_r""]",14-14,compute_cascadelake_r
da893f8bc5bce79ad4377bfb60277eeb,f99d9532a5b5d343b83d24d66f222d74,09bf9b381601466600058056f17dac95,2020-11-28 15:07:38,2020-11-30 22:27:18,2020-11-28 15:08:00,2020-12-05 15:07:00,active,14,"[""=="",""$node_type"",""compute_cascadelake_r""]",14-14,compute_cascadelake_r
7b80cf88be6557f1959c64e89f2e52cc,f99d9532a5b5d343b83d24d66f222d74,09bf9b381601466600058056f17dac95,2020-11-29 15:45:02,2020-11-30 01:26:07,2020-11-29 15:45:00,2020-12-06 15:44:00,active,1,"[""=="",""$node_type"",""compute_cascadelake_r""]",1-1,compute_cascadelake_r
035cb17641d337477d4ea3d6574ed797,f99d9532a5b5d343b83d24d66f222d74,09bf9b381601466600058056f17dac95,2020-11-30 22:28:19,2020-12-03 16:30:47,2020-11-30 22:29:00,2020-12-07 22:28:00,active,14,"[""=="",""$node_type"",""compute_cascadelake_r""]",14-14,compute_cascadelake_r
60a9b2c9a47ea4e7c0983107de3e9308,428774d142668f2a9a7a7c9294df29a8,2656ded7788d83146824fa3805742ed0,2020-12-07 16:06:02,2021-03-20 05:40:51,2020-12-07 16:06:00,2021-03-20 16:05:00,active,1,"[""=="",""$node_type"",""compute_cascadelake_r""]",1-1,compute_cascadelake_r
7714633222e678a8e8da28e2f9e073ed,428774d142668f2a9a7a7c9294df29a8,2656ded7788d83146824fa3805742ed0,2020-12-11 17:36:48,2021-02-27 17:52:22,2020-12-11 17:37:00,2021-02-28 17:36:00,active,1,"[""=="",""$node_type"",""compute_cascadelake_r""]",1-1,compute_cascadelake_r
fa095180e5032e8df6e19a934410acc6,f99d9532a5b5d343b83d24d66f222d74,4d704f67dc35c89f1165f2766725e69f,2020-12-14 22:50:09,2020-12-15 00:45:19,2020-12-14 22:50:00,2020-12-15 22:49:00,active,1,"[""=="",""$node_type"",""compute_cascadelake_r""]",1-1,compute_cascadelake_r
21b8af772dbc8c50d8b5307629b8704f,f99d9532a5b5d343b83d24d66f222d74,202aad2123d2a56f8944dd56b5469599,2020-12-16 02:19:25,2020-12-16 16:29:54,2020-12-16 02:20:00,2020-12-22 02:19:00,active,1,"[""=="",""$node_type"",""compute_cascadelake_r""]",1-1,compute_cascadelake_r
d6072b7b82e242d36ce00bd171e81962,d38f4d2a7e8a8c0a810646f947402b59,1e317e5ce75dfd038ba9f08d65411ad0,2020-12-16 17:03:03,2020-12-23 13:09:04,2020-12-16 17:03:00,2020-12-23 17:02:00,active,4,"[""=="",""$node_type"",""compute_cascadelake_r""]",4-4,compute_cascadelake_r
