lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
a23a4b6f14eae3483dcb1601a06e9f51,ce8905c19b5af14ad2669c3fbe2df4be,cac635f932b8da4c5b93e52c0c6a0140,2018-03-17 05:34:26,2018-03-17 05:35:39,2018-03-17 05:35:00,2018-03-20 05:34:00,active,3,"[""=="",""$node_type"",""compute_haswell_ib""]",3-3,compute_haswell_ib
7c96592645f7a404e9e67baa418c9358,6d1e6ece2f994e64036dd1aff8b47000,db7c70540379584797e6815f9ac7388a,2018-03-25 18:12:45,2018-03-27 08:05:55,2018-03-25 18:13:00,2018-03-30 06:00:00,active,11,"[""=="",""$node_type"",""compute_haswell_ib""]",11-11,compute_haswell_ib
525015614326c17cec77cd8a3d331b14,b519049daa0f6e72084b235ed0f6d8ed,b40f91fc9c93152f3fd696823e0f118d,2018-04-08 03:50:26,2018-04-08 03:53:14,2018-04-08 03:51:00,2018-04-14 03:50:00,active,1,"[""=="",""$node_type"",""compute_haswell_ib""]",1-1,compute_haswell_ib
f57c3ea48e557ffcca0d92bd3106d79b,b519049daa0f6e72084b235ed0f6d8ed,b40f91fc9c93152f3fd696823e0f118d,2018-04-12 04:04:54,2018-04-12 05:05:56,2018-04-12 04:05:00,2018-04-18 04:04:00,active,8,"[""=="",""$node_type"",""compute_haswell_ib""]",8-8,compute_haswell_ib
db0470f23849a34ffaa20bf9f3869609,c3d8104ab30dae88b9bc52fee39e99e4,88afa6d94506398c87fb78389a97d6ee,2018-04-16 17:29:18,2018-04-16 22:15:55,2018-04-16 17:29:00,2018-04-17 17:29:00,active,2,"[""="", ""$node_type"", ""compute_haswell_ib""]",2-2,compute_haswell_ib
82edf533e87b503523078dd7421ba20c,6dd1ab3286d9c15fd44e4a02443d5169,8dffb32d19594bccb27fb1856c0f43bd,2018-04-17 02:59:59,2018-04-17 17:33:28,2018-04-17 03:00:00,2018-04-18 02:59:00,active,2,"[""=="",""$node_type"",""compute_haswell_ib""]",2-2,compute_haswell_ib
5008b7686d0bbb823853693ff2dbed0b,ad85f3098a02a429e0e0abd21f0671bb,08eec46ef94ae7af1c112722ffddd2e2,2018-05-08 05:56:14,2018-05-08 06:07:59,2018-05-08 05:57:00,2018-05-09 05:56:00,active,1,"[""=="",""$node_type"",""compute_haswell_ib""]",1-1,compute_haswell_ib
2085ab0c36d5ab69b64ed99d382847b5,5784961d1c113812fdb65096dfbc72cd,b7ea8a44b5fe4e0b7a6e45954a945872,2018-05-09 13:30:51,2018-05-09 13:31:51,2018-05-09 13:31:00,2018-05-10 13:30:00,active,3,"[""=="",""$node_type"",""compute_haswell_ib""]",3-3,compute_haswell_ib
98cf6405fbcf98d555a960aa5d9eac11,c3d8104ab30dae88b9bc52fee39e99e4,88afa6d94506398c87fb78389a97d6ee,2018-06-07 21:04:58,2018-06-07 21:07:33,2018-06-07 21:05:00,2018-06-08 04:59:00,active,20,"[""=="",""$node_type"",""compute_haswell_ib""]",20-20,compute_haswell_ib
7dd4a14a481ce0d448cd7149c3aac6c9,c3d8104ab30dae88b9bc52fee39e99e4,88afa6d94506398c87fb78389a97d6ee,2018-06-07 21:11:41,2018-06-07 22:04:39,2018-06-07 21:12:00,2018-06-08 04:59:00,active,20,"[""=="",""$node_type"",""compute_haswell_ib""]",20-20,compute_haswell_ib
