lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
b5c8a09520a0215824f01c50236a4f3c,d79a64ad06b4569c01b79595b62207fb,3a64e23985e1a931a725afd202a72c6a,2016-09-21 16:10:47,2016-10-31 15:44:38,2016-09-21 16:11:00,2016-10-29 23:00:00,completed,4,"[""="", ""$node_type"", ""fpga""]",4-4,fpga
ebea6a5d2bc2a7e68c5a5f9f3dd0f4f1,d79a64ad06b4569c01b79595b62207fb,1063ea6d0366e258308b86ed3840f8cc,2016-10-31 14:53:02,2016-10-31 22:02:12,2016-10-31 14:54:00,2016-10-31 23:00:00,completed,1,"[""="", ""$node_type"", ""fpga""]",1-1,fpga
185c2f727469f1428424b1a25ae43114,d79a64ad06b4569c01b79595b62207fb,3a64e23985e1a931a725afd202a72c6a,2016-10-31 15:52:07,2016-10-31 20:45:57,2016-10-31 15:53:00,2016-10-31 19:00:00,completed,1,"[""="", ""$node_type"", ""fpga""]",1-1,fpga
49aa76ea0383f9a738be0d36ce1f69a8,a6207fc4e11d91820c6b19070a2c631a,5e0208311a5adae8257170117a54a6f4,2016-11-09 18:54:16,2017-05-12 20:34:31,2016-11-09 19:00:00,2016-11-09 23:00:00,completed,1,"[""="", ""$node_type"", ""fpga""]",1-1,fpga
7b8a8999aec2c80ef4251fe4e4be67f2,d79a64ad06b4569c01b79595b62207fb,1063ea6d0366e258308b86ed3840f8cc,2016-11-14 12:05:44,2016-12-01 18:32:59,2016-11-14 12:06:00,2016-11-14 23:00:00,completed,1,"[""="", ""$node_type"", ""fpga""]",1-1,fpga
ac724fc32d04f1121600c7f92f0903a6,38e02345e59a8dc8aff5ebcc08d935cc,2b589a05f4b8d928ae0aef3123afcada,2016-11-27 00:43:12,2017-04-11 04:12:02,2016-11-27 00:45:00,2016-11-27 03:45:00,completed,1,"[""="", ""$node_type"", ""fpga""]",1-1,fpga
0836cc87743ac3a94caca28677d26555,38e02345e59a8dc8aff5ebcc08d935cc,2b589a05f4b8d928ae0aef3123afcada,2016-11-28 20:00:09,2017-04-19 07:19:21,2016-11-28 20:03:00,2016-11-29 09:00:00,completed,1,"[""="", ""$node_type"", ""fpga""]",1-1,fpga
771370d6a991984ae66918f0864edb1c,ab6cd5a0c71eeb1029e5ef59c5cc2e3c,5ac87d3beecb23a10f35632b62653aed,2016-12-02 19:41:49,2016-12-09 19:23:02,2016-12-02 19:45:00,2016-12-09 19:40:00,completed,1,"[""="", ""$node_type"", ""fpga""]",1-1,fpga
3470e15ff09323836d1e21aac1e1d1e3,ab6cd5a0c71eeb1029e5ef59c5cc2e3c,5ac87d3beecb23a10f35632b62653aed,2016-12-09 22:12:43,2016-12-16 15:13:47,2016-12-09 22:20:00,2016-12-16 22:00:00,completed,1,"[""="", ""$node_type"", ""fpga""]",1-1,fpga
30be4b0f7105403f5328b0f4e1e1cc9d,a6207fc4e11d91820c6b19070a2c631a,2b589a05f4b8d928ae0aef3123afcada,2016-12-14 18:30:01,2017-05-12 20:34:30,2016-12-14 18:35:00,2016-12-15 08:00:00,completed,1,"[""="", ""$node_type"", ""fpga""]",1-1,fpga
9d8ba54a50570d7b3fc35936b2647714,ab6cd5a0c71eeb1029e5ef59c5cc2e3c,5ac87d3beecb23a10f35632b62653aed,2016-12-16 21:08:13,2017-01-03 19:47:19,2016-12-16 21:10:00,2016-12-23 03:00:00,completed,1,"[""="", ""$node_type"", ""fpga""]",1-1,fpga
b8dd215fa16d893a39a70369eb569a8a,ab6cd5a0c71eeb1029e5ef59c5cc2e3c,5ac87d3beecb23a10f35632b62653aed,2017-01-03 19:47:46,2017-01-11 15:40:35,2017-01-03 19:50:00,2017-01-10 19:45:00,completed,1,"[""="", ""$node_type"", ""fpga""]",1-1,fpga
