lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
ec17a10d41ff2d3c2019042449deefd0,273c67bff1d74021f9e1852a9a3c8fc0,f846bdc98852d8f822535d98bc31ccee,2017-10-24 14:13:12,2017-10-25 12:15:52,2017-10-24 14:13:00,2017-10-25 14:13:00,completed,4,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",4-4,gpu_p100_nvlink
a08056c1922305aaf9160edc14bd5770,d79a64ad06b4569c01b79595b62207fb,3a64e23985e1a931a725afd202a72c6a,2017-10-25 12:16:21,2017-10-25 16:14:03,2017-10-25 12:16:00,2017-10-26 12:16:00,completed,4,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",4-4,gpu_p100_nvlink
a1ae93ebbef86d2f4ceaacc2608d875c,273c67bff1d74021f9e1852a9a3c8fc0,3a64e23985e1a931a725afd202a72c6a,2017-10-25 16:43:07,2017-10-25 16:46:18,2017-10-25 16:44:00,2017-10-26 16:43:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
377b3994113690998297da3d7d0515d0,dcc3ef97657712c6372947bf668cfd5b,d94fa5c53b789601063c9b92fa649c12,2017-10-25 17:11:43,2017-10-26 04:34:49,2017-10-25 17:12:00,2017-11-01 17:10:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
bf591c976f9eed0a1cef6f89a5006220,dcc3ef97657712c6372947bf668cfd5b,edde5066dfebad7be918e72afbb38ec2,2017-10-26 19:12:55,2017-11-02 19:13:15,2017-10-26 19:13:00,2017-11-02 19:12:00,completed,4,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-5,gpu_p100_nvlink
adab06900a0b5145755468a860608e30,dcc3ef97657712c6372947bf668cfd5b,d94fa5c53b789601063c9b92fa649c12,2017-11-02 19:13:47,2017-11-07 18:46:17,2017-11-02 19:14:00,2017-11-08 20:13:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
1e27b580655974260cbc5610f5dae1e0,190564f38b3bb625af04cd043cad9939,946062065c77846a3aeab2e73a70fc31,2017-11-02 19:23:25,2017-11-02 19:48:40,2017-11-02 19:24:00,2017-11-03 19:23:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
a707a94257e7cb59f3b52ebb6e714d43,190564f38b3bb625af04cd043cad9939,946062065c77846a3aeab2e73a70fc31,2017-11-02 19:51:24,2017-11-03 21:17:28,2017-11-02 19:52:00,2017-11-03 19:51:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
9a848da90e12a4749a8865ff8f7aad42,c3d8104ab30dae88b9bc52fee39e99e4,88afa6d94506398c87fb78389a97d6ee,2017-11-03 15:13:02,2017-11-06 16:57:59,2017-11-03 15:14:00,2017-11-04 15:13:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
f6ae80e94965b96b7b3a7ef9ad61cd0b,190564f38b3bb625af04cd043cad9939,946062065c77846a3aeab2e73a70fc31,2017-11-03 22:58:25,2017-11-09 16:56:38,2017-11-03 22:59:00,2017-11-04 22:58:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
21d2af89d87d30d278cd26d8b6428966,c3d8104ab30dae88b9bc52fee39e99e4,88afa6d94506398c87fb78389a97d6ee,2017-11-06 16:58:22,2017-11-09 17:39:41,2017-11-06 16:59:00,2017-11-08 16:58:00,completed,3,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",3-3,gpu_p100_nvlink
64bb17a80a46ccbe34745b8907b24cba,32a4c3acd227fb643cc38e743b252998,e645a5aaedae344de072fac68aa53960,2017-11-09 00:41:57,2017-11-27 14:39:29,2017-11-09 00:42:00,2017-11-15 00:41:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
7d5c7176e88e307c280e8a79b48fce76,c3d8104ab30dae88b9bc52fee39e99e4,88afa6d94506398c87fb78389a97d6ee,2017-11-09 17:39:55,2017-11-22 18:11:06,2017-11-09 17:40:00,2017-11-10 17:39:00,completed,1,"[""="", ""$node_type"", ""gpu_p100_nvlink""]",1-1,gpu_p100_nvlink
