lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
febb42dd11ff05674b55c3d57074dce3,a956639e292fd1679669a9507e4cd0c9,158b002b8fb423e2975fbe2f9d9f2c3a,2018-03-14 11:41:46,2018-03-14 16:43:00,2018-03-14 11:42:00,2018-03-15 11:41:00,active,1,"[""=="",""$node_type"",""compute_haswell""]",1-1,compute_haswell
03cc85360f61ad40149cab41a4645ecb,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-14 12:05:27,2018-03-14 12:06:23,2018-03-14 12:06:00,2018-03-14 13:06:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
8748d9172666ee86e15ab83c38990512,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-14 15:02:17,2018-03-14 15:03:13,2018-03-14 15:03:00,2018-03-14 16:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
d0f21db55684ecffb53e57f8cc614127,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-14 18:02:18,2018-03-14 18:03:25,2018-03-14 18:03:00,2018-03-14 19:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
b63df2083d915fc81a4f6360eb270856,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-14 21:02:18,2018-03-14 21:03:25,2018-03-14 21:03:00,2018-03-14 22:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
c06218089a55c9741cad528ab70a69dd,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 00:02:18,2018-03-15 00:03:25,2018-03-15 00:03:00,2018-03-15 01:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
4cc3b4d6e692db679a28578e5339172d,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 03:02:18,2018-03-15 03:03:25,2018-03-15 03:03:00,2018-03-15 04:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
adaa2ad846709049bbc5d8cd40c1e375,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 06:02:37,2018-03-15 06:03:26,2018-03-15 06:03:00,2018-03-15 07:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
33880bee2253054564784c7f816fddc8,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 09:02:21,2018-03-15 09:03:18,2018-03-15 09:03:00,2018-03-15 10:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
f722121e7692ea9e8bdbeaefda2f158d,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 12:02:16,2018-03-15 12:03:23,2018-03-15 12:03:00,2018-03-15 13:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
083b8a64b00ac0d483bbeb29cfc4a3cf,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 15:02:14,2018-03-15 15:03:21,2018-03-15 15:03:00,2018-03-15 16:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
dedb0250597f013619066e29e7bfdf60,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 16:55:59,2018-03-15 17:08:51,2018-03-15 16:56:00,2018-03-15 17:25:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
cfc4f520b912b8139b5600e427c72afe,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 18:02:17,2018-03-15 18:03:23,2018-03-15 18:03:00,2018-03-15 19:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
724fb805ee950698422a8d08d838742c,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-15 21:02:20,2018-03-15 21:03:27,2018-03-15 21:03:00,2018-03-15 22:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
2405c3dc6bce366b553632ab000cbd94,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 00:02:20,2018-03-16 00:03:16,2018-03-16 00:03:00,2018-03-16 01:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
da61c9adc98bbeb2a8246e1d24628e34,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 03:02:19,2018-03-16 03:03:16,2018-03-16 03:03:00,2018-03-16 04:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
10a86c124970bef71f9c4a721ce87a02,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 05:27:34,2018-03-16 05:40:58,2018-03-16 05:28:00,2018-03-16 05:57:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
681f6a2f900fdb19c98f5b2da2ee7154,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 05:51:59,2018-03-16 06:02:07,2018-03-16 05:53:00,2018-03-16 06:23:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
219e157e7423fbaa9f3f5efb813c51d1,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 06:02:41,2018-03-16 06:03:28,2018-03-16 06:03:00,2018-03-16 07:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
ee8e06f9743c2f3755f3fc556b927f08,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 09:02:21,2018-03-16 09:03:28,2018-03-16 09:03:00,2018-03-16 10:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
d30509fea3bdefecea71bbc826253b7d,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 12:02:17,2018-03-16 12:03:24,2018-03-16 12:03:00,2018-03-16 13:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
62c58346ccd7733d1ebbb017308256a1,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 15:02:17,2018-03-16 15:03:27,2018-03-16 15:03:00,2018-03-16 16:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
5812315ab6d0a5be1956cab889d45cd3,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 17:09:42,2018-03-16 17:27:58,2018-03-16 17:10:00,2018-03-17 17:10:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
ab5a6a89ad2d293af4fadc5363844d00,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 17:18:38,2018-03-16 17:38:12,2018-03-16 17:19:00,2018-03-17 17:19:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
f55692a54669079f81d2b46376d37e2b,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 17:28:11,2018-03-16 17:39:39,2018-03-16 17:29:00,2018-03-17 17:29:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
d07ef6cb8b9adf8180a4892f7e6d9c67,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 17:38:29,2018-03-16 17:49:33,2018-03-16 17:39:00,2018-03-17 17:39:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell
