lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
b707238169b3d84aa4faa44ab46f1b35,a0074eb794e7639e92c4b69db27ae350,e1ece26d012926ebb33327848a375db7,2020-03-03 19:02:43,2020-03-04 04:05:19,2020-03-03 19:03:00,2020-03-04 19:02:00,active,1,"[""=="",""$node_type"",""gpu_rtx_6000""]",1-1,gpu_rtx_6000
048af8344e474be959aaedb4d87e6469,e2ad4df02752719486b81420d4e316e8,6af97ea5a19708400674663806a72a9f,2020-03-03 20:33:20,2020-03-04 23:02:28,2020-03-03 20:34:00,2020-03-10 19:33:00,active,1,"[""=="",""$node_type"",""gpu_rtx_6000""]",1-1,gpu_rtx_6000
8b5c24a9d480da25017c58cbf3f638ac,5a5966f6e2214c7cb60c498cdbb4412a,9001d428f5cecacd9526fb58b87e95f8,2020-03-03 22:23:05,2020-03-07 05:12:41,2020-03-03 22:24:00,2020-03-08 22:23:00,active,1,"[""=="",""$node_type"",""gpu_rtx_6000""]",1-1,gpu_rtx_6000
856b118bd9b0bc175d946b93ca5747ef,a56e0c293a64103ae40ce63ec15c6ddc,52352091914404f69851bab51842e988,2020-03-04 04:06:59,2020-03-04 21:18:32,2020-03-04 04:07:00,2020-03-07 04:06:00,active,1,"[""=="",""$node_type"",""gpu_rtx_6000""]",1-1,gpu_rtx_6000
a2d7312b3ca17bc5ee5854105421335a,a56e0c293a64103ae40ce63ec15c6ddc,52352091914404f69851bab51842e988,2020-03-05 19:14:14,2020-03-06 04:00:14,2020-03-05 19:15:00,2020-03-07 19:14:00,active,1,"[""=="",""$node_type"",""gpu_rtx_6000""]",1-1,gpu_rtx_6000
0f46b802706f870c52798164bf0c5359,e2ad4df02752719486b81420d4e316e8,77cc1d57647db5c65ca8ccc7d028deb6,2020-03-09 21:09:45,2020-03-09 21:10:56,2020-03-09 21:10:00,2020-03-10 21:09:00,active,1,"[""=="",""$node_type"",""gpu_rtx_6000""]",1-1,gpu_rtx_6000
7423b1e1c90dca918bed00001e0aac6e,e2ad4df02752719486b81420d4e316e8,77cc1d57647db5c65ca8ccc7d028deb6,2020-03-09 21:11:19,2020-03-10 07:05:22,2020-03-09 21:12:00,2020-03-16 21:11:00,active,1,"[""=="",""$node_type"",""gpu_rtx_6000""]",1-1,gpu_rtx_6000
0848b9e603c18849b29aa5deab1e81fd,69cb15bf3db0f4ac72b622bbe0cb21fc,b92b0274220135e2a13faa6333e7af03,2020-03-11 18:21:15,2020-03-11 18:49:41,2020-03-11 18:22:00,2020-03-13 18:21:00,active,1,"[""=="",""$node_type"",""gpu_rtx_6000""]",1-1,gpu_rtx_6000
485813e949db53f970d0352287bccffd,69cb15bf3db0f4ac72b622bbe0cb21fc,b92b0274220135e2a13faa6333e7af03,2020-03-11 18:49:19,2020-03-18 05:04:46,2020-03-11 18:50:00,2020-03-13 18:49:00,active,1,"[""=="",""$node_type"",""gpu_rtx_6000""]",1-1,gpu_rtx_6000
ccc0aaec37cae49db94a91fe4e7ee93f,69cb15bf3db0f4ac72b622bbe0cb21fc,b92b0274220135e2a13faa6333e7af03,2020-03-18 05:07:18,2020-03-29 19:13:15,2020-03-18 05:08:00,2020-04-04 05:07:00,active,4,"[""=="",""$node_type"",""gpu_rtx_6000""]",4-4,gpu_rtx_6000
7d385b74e3c641bb341b11e3f69a778a,e2ad4df02752719486b81420d4e316e8,6af97ea5a19708400674663806a72a9f,2020-03-24 11:36:39,2020-03-24 23:05:30,2020-03-24 11:37:00,2020-03-31 11:36:00,active,1,"[""=="",""$node_type"",""gpu_rtx_6000""]",1-1,gpu_rtx_6000
