lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
4f44a60c65b0e9695600ce7acaf2cbd9,bf892612ea557d64b68b832cb85e8c90,dbd7d0850f38acbba28035d0c4349b60,2020-10-07 21:51:43,2020-10-11 20:20:36,2020-10-07 21:52:00,2020-10-12 21:51:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
62913bf010aafe6dd85cefa4a9b6f010,a56e0c293a64103ae40ce63ec15c6ddc,52352091914404f69851bab51842e988,2020-10-08 02:39:27,2020-10-08 03:22:43,2020-10-08 02:40:00,2020-10-08 06:00:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
06f2065a9a892df512e6c5d092a5e949,bf892612ea557d64b68b832cb85e8c90,dbd7d0850f38acbba28035d0c4349b60,2020-10-12 22:31:36,2020-10-12 22:32:35,2020-10-12 22:32:00,2020-10-13 00:00:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
21ce6e124ebda44ccb1e891f4ac9ad7e,96bed2d2eee6bb95971688fbaa37e58f,949699a57e4f887fd945d4d3dc22a025,2020-12-18 09:33:35,2020-12-22 02:52:23,2020-12-18 09:34:00,2020-12-25 09:33:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
b81e009a13da315ca84b858158796dbd,96bed2d2eee6bb95971688fbaa37e58f,949699a57e4f887fd945d4d3dc22a025,2020-12-22 02:54:41,2020-12-22 02:55:51,2020-12-22 02:55:00,2020-12-28 02:54:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
dde13415659ef17c9271324cf106a08d,cc949927219a9f7ab2f3e6d1187991c5,7eb52d8492f74bbbff32eee3ce2a46e8,2021-02-11 21:30:37,2021-02-11 21:36:11,2021-02-11 21:31:00,2021-02-18 21:30:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
0bc38c8b22df4607232b31173cf8627d,1b97157e66c58ec70099494f577c1571,ebf42152d008ea3b71c4093584be6eab,2021-03-08 21:55:16,2021-03-09 05:40:09,2021-03-08 21:56:00,2021-03-15 21:55:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
34811837dfc757317b175947eb4a0a53,96bed2d2eee6bb95971688fbaa37e58f,949699a57e4f887fd945d4d3dc22a025,2021-04-09 14:51:59,2021-04-09 17:30:16,2021-04-09 14:52:00,2021-04-16 14:51:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
aebac590cd504d147509a1fbf04104ac,388e8c7305bc3d43d353ca4ff772462a,d285fd49661121cd9088c9ac518ff60e,2021-04-12 20:23:16,,2021-04-12 20:24:00,2021-06-13 20:23:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
39c090d430a9102ca184cf96f32a22f3,d176b3cabb4a2556c8ae16eb3e7e783c,e976f06ba55649c05d62cf30282fec48,2021-04-26 04:30:25,2021-04-26 05:25:38,2021-04-26 04:31:00,2021-04-29 04:30:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
5423ede6cd9b8ab0fa5afcaf46dfe30c,c1540f876d4bc7c9cf853cf21ebcf8d1,e7e3abc19b306d42ca8ba039d32828c1,2021-04-26 18:24:41,2021-04-26 18:30:05,2021-04-26 18:25:00,2021-04-27 18:24:00,active,1,"[""=="",""$node_type"",""gpu_v100""]",1-1,gpu_v100
