lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type
00a92edbaa526d183e75e7402adf286f,a956639e292fd1679669a9507e4cd0c9,158b002b8fb423e2975fbe2f9d9f2c3a,2016-10-21 13:41:14,2016-10-21 16:38:16,2016-10-21 13:42:00,2016-10-21 23:00:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
c3ab1ea8dd1c2ea8c24ca64a38d30b38,a956639e292fd1679669a9507e4cd0c9,158b002b8fb423e2975fbe2f9d9f2c3a,2016-12-20 15:31:53,2016-12-20 19:10:39,2016-12-20 15:33:00,2016-12-20 19:00:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
456dae39a7fc532b29c6bdac7369bde6,120d3ca93720183e24580e895efb4a5a,529b6571f8417a27f53433aa92f7695c,2017-03-03 19:31:14,2017-03-13 18:50:05,2017-03-03 19:35:00,2017-03-10 19:30:00,completed,4,"[""="", ""$node_type"", ""storage""]",1-4,storage
ade1217ea061211ca3d0fd64bc67eaa2,a956639e292fd1679669a9507e4cd0c9,a75d3d60af2aa2f597e5b2c7505ff1b2,2017-03-06 21:30:52,2017-03-06 21:43:28,2017-03-06 21:31:00,2017-03-06 22:30:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
b4b7a3ec5663fcb578ea36d32a323829,2abf1904f888cb1619342729a17c5d87,c4f676defa49e404efcc281264233061,2017-03-21 02:17:19,2017-03-21 02:21:19,2017-03-21 02:20:00,2017-03-24 22:00:00,completed,5,"[""="", ""$node_type"", ""storage""]",3-5,storage
e1c27c72c0e8b425a5e1c8f85d4bbbb5,e0e8015c6075b6a2030a8f746c3d72b1,2e089ac06653d6f1b00d544f55c31c05,2017-03-21 13:53:06,2017-03-21 14:04:56,2017-03-21 13:54:00,2017-03-21 15:54:00,completed,5,"[""="", ""$node_type"", ""storage""]",3-3,storage
ee11a515690047a7c9ee92346e488435,e0e8015c6075b6a2030a8f746c3d72b1,2e089ac06653d6f1b00d544f55c31c05,2017-03-21 14:08:42,2017-03-21 14:38:16,2017-03-21 14:09:00,2017-03-21 16:09:00,completed,5,"[""="", ""$node_type"", ""storage""]",3-3,storage
0a94920dea8489b043804afb6967f150,8e787ad6879c6bd165126042b078279d,2e1666e5af7dec56faebef5af05bd8a5,2017-04-28 02:00:10,2017-05-05 16:13:12,2017-04-28 02:01:00,2017-05-05 01:59:00,completed,1,"[""="", ""$node_type"", ""storage""]",1-1,storage
abc1bfb2f74164b5c5813cfa4eaddc34,e0e8015c6075b6a2030a8f746c3d72b1,2e089ac06653d6f1b00d544f55c31c05,2017-04-28 09:41:26,2017-04-28 16:04:20,2017-04-28 09:42:00,2017-04-28 13:42:00,completed,3,"[""="", ""$node_type"", ""storage""]",3-3,storage
838804ce4d24b52e4812aa9d15f50727,e0e8015c6075b6a2030a8f746c3d72b1,2e089ac06653d6f1b00d544f55c31c05,2017-04-28 16:04:38,2017-04-28 16:12:48,2017-04-28 16:05:00,2017-04-28 20:05:00,completed,3,"[""="", ""$node_type"", ""storage""]",3-3,storage
7193b34e88fbd92ceff27389e12fb695,e0e8015c6075b6a2030a8f746c3d72b1,2e089ac06653d6f1b00d544f55c31c05,2017-04-28 16:13:34,2017-04-28 16:21:23,2017-04-28 16:14:00,2017-04-28 20:14:00,completed,3,"[""="", ""$node_type"", ""storage""]",3-3,storage
198d2af3644feab1653169f5b47b2af4,e0e8015c6075b6a2030a8f746c3d72b1,2e089ac06653d6f1b00d544f55c31c05,2017-04-28 16:37:25,2017-04-28 20:41:39,2017-04-28 16:38:00,2017-04-28 20:38:00,completed,3,"[""="", ""$node_type"", ""storage""]",3-3,storage
ce73cdaf4313bda76bfaa784f818f551,a956639e292fd1679669a9507e4cd0c9,158b002b8fb423e2975fbe2f9d9f2c3a,2017-04-28 16:53:26,2017-05-03 18:29:09,2017-04-28 16:54:00,2017-04-29 16:53:00,completed,3,"[""="", ""$node_type"", ""storage""]",3-3,storage
cf6c617e55586e69022b51f573c5056e,e0e8015c6075b6a2030a8f746c3d72b1,2e089ac06653d6f1b00d544f55c31c05,2017-04-28 20:42:06,2017-04-29 07:43:28,2017-04-28 20:43:00,2017-04-29 00:43:00,completed,3,"[""="", ""$node_type"", ""storage""]",3-3,storage
04c6af63fdfe46b030d7e05416c564e0,e0e8015c6075b6a2030a8f746c3d72b1,2e089ac06653d6f1b00d544f55c31c05,2017-04-29 07:44:29,2017-04-29 20:21:59,2017-04-29 07:45:00,2017-04-29 17:45:00,completed,3,"[""="", ""$node_type"", ""storage""]",3-3,storage
33e9f91912bc1f76b35d0e12208b4c1f,e0e8015c6075b6a2030a8f746c3d72b1,2e089ac06653d6f1b00d544f55c31c05,2017-04-29 20:22:24,2017-04-29 22:24:44,2017-04-29 20:23:00,2017-04-30 06:23:00,completed,3,"[""="", ""$node_type"", ""storage""]",3-3,storage
fb809cbeeea0dc89f37673ff085034a8,e0e8015c6075b6a2030a8f746c3d72b1,2e089ac06653d6f1b00d544f55c31c05,2017-04-29 22:34:21,2017-04-29 22:38:31,2017-04-29 22:35:00,2017-04-30 21:35:00,completed,11,"[""="", ""$node_type"", ""storage""]",1-1,storage
a15f5bdee2a0450bbadf75adcede3d24,e0e8015c6075b6a2030a8f746c3d72b1,2e089ac06653d6f1b00d544f55c31c05,2017-04-30 09:17:19,2017-04-30 12:57:10,2017-04-30 09:18:00,2017-05-01 08:18:00,completed,3,"[""="", ""$node_type"", ""storage""]",1-1,storage
160f35af86b16678d147d461d7b23005,e0e8015c6075b6a2030a8f746c3d72b1,2e089ac06653d6f1b00d544f55c31c05,2017-04-30 12:57:59,2017-04-30 13:10:36,2017-04-30 12:58:00,2017-05-01 11:58:00,completed,4,"[""="", ""$node_type"", ""storage""]",2-2,storage
