EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),EVENT,PROPERTIES
2015-06-26T20:50:58,852658.0,2d034a38690aee196f770dd1a72e56c4,CREATE,"{'placement.rack': 6, 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}"
2018-03-14T15:39:48,86542788.0,2d034a38690aee196f770dd1a72e56c4,UPDATE,"{'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'placement.rack': 6, 'main_memory.ram_size': '137438953472'}"
2015-06-26T20:51:03,852663.0,408c568a2f220a81958674fc9ac33b55,CREATE,"{'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 6, 'main_memory.ram_size': '134956859392'}"
2019-02-20T15:08:46,116176126.0,408c568a2f220a81958674fc9ac33b55,UPDATE,"{'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'placement.rack': 6, 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'main_memory.ram_size': '137438953472'}"
2015-07-06T19:28:16,1711696.0,7487370d27c54723f775541e4d87f7ab,CREATE,"{'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'placement.rack': 0}"
2018-03-14T15:39:49,86542789.0,7487370d27c54723f775541e4d87f7ab,UPDATE,"{'main_memory.ram_size': '137438953472', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell_ib', 'architecture.smp_size': '2', 'placement.rack': 0}"
2019-11-25T20:14:45,140213685.0,ab2895d987d5744d94dd7719cd686e3a,CREATE,"{'node_type': 'compute_cascadelake', 'placement.rack': None}"
2019-11-27T23:01:58,140396518.0,ab2895d987d5744d94dd7719cd686e3a,UPDATE,"{'storage_devices.0.size': '240057409536', 'main_memory.ram_size': '200789721088', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_cascadelake', 'architecture.smt_size': '64', 'placement.rack': 7, 'architecture.smp_size': '2'}"
2015-06-26T20:51:14,852674.0,2ce4424428127dfc01aa6ac57c7ed6a2,CREATE,"{'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'placement.rack': 4}"
2018-03-14T15:39:49,86542789.0,2ce4424428127dfc01aa6ac57c7ed6a2,UPDATE,"{'architecture.platform_type': 'x86_64', 'placement.rack': 4, 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell', 'architecture.smp_size': '2'}"
2019-11-25T20:15:02,140213702.0,e0aaed5b73d4ce94d5c9577c2167e425,CREATE,"{'node_type': 'compute_cascadelake', 'placement.rack': None}"
2019-11-27T23:01:59,140396519.0,e0aaed5b73d4ce94d5c9577c2167e425,UPDATE,"{'storage_devices.0.size': '240057409536', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_cascadelake', 'placement.rack': 8, 'architecture.smp_size': '2', 'main_memory.ram_size': '200789721088', 'architecture.smt_size': '64'}"
2020-08-31T21:32:58,164410378.0,fe3c7f970c157f07b89c3cbed90cbb07,ENABLE,"{'architecture.smp_size': '1', 'placement.rack': 1, 'storage_devices.0.size': '32017047552', 'architecture.platform_type': 'x86_64', 'node_type': 'atom', 'main_memory.ram_size': '33285996544', 'architecture.smt_size': '8'}"
2016-11-23T13:45:12,45409512.0,fe3c7f970c157f07b89c3cbed90cbb07,CREATE,"{'node_type': 'moonshot', 'placement.rack': None}"
2018-03-14T15:39:49,86542789.0,fe3c7f970c157f07b89c3cbed90cbb07,UPDATE,"{'architecture.smp_size': '1', 'placement.rack': 1, 'storage_devices.0.size': '32017047552', 'architecture.platform_type': 'x86_64', 'node_type': 'atom', 'main_memory.ram_size': '33285996544', 'architecture.smt_size': '8'}"
2015-06-26T20:51:19,852679.0,479400e5a5591cdfc4377c4c3adf42d3,CREATE,"{'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'placement.rack': 7}"
2018-03-14T15:39:49,86542789.0,479400e5a5591cdfc4377c4c3adf42d3,UPDATE,"{'architecture.smt_size': '48', 'placement.rack': 7, 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016'}"
2018-02-16T19:33:06,84310386.0,0a8fc6f6a32b5c76fa5849261f674141,CREATE,"{'placement.rack': 3, 'main_memory.ram_size': '205084688384', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '240057409536', 'node_type': 'compute_skylake'}"
2015-06-29T18:38:05,1103885.0,65a9d6d9192a6a2249b1874d3c7f93c4,CREATE,"{'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 6, 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2'}"
