EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),EVENT,PROPERTIES
2015-06-17T22:44:40,81880.0,fa9dc77d7da1a9517f2a7fc1b5141824,CREATE,"{'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'placement.rack': None}"
2015-06-17T22:44:58,81898.0,499f63a8e3cc20ed6a4cd8ddb0a4dba9,CREATE,"{'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': None}"
2018-06-27T14:04:18,95609058.0,c2901eca4919e3455cbef14bcce2f07f,CREATE,"{'node_type': 'compute_skylake', 'placement.rack': None}"
2020-02-28T20:08:05,148421285.0,c2901eca4919e3455cbef14bcce2f07f,UPDATE,"{'architecture.smp_size': '2', 'storage_devices.0.size': '240057409536', 'node_type': 'gpu_rtx_6000', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '205084688384', 'placement.rack': 3}"
2015-07-16T21:17:08,2582228.0,3a9800c4b261fdc8595ed40da7568ccc,CREATE,"{'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'placement.rack': None}"
2015-06-17T22:45:17,81917.0,38f89d8426232fb9b11f73b96e401286,CREATE,"{'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'placement.rack': None}"
2015-06-17T22:45:36,81936.0,0ed6dfffde40e09b10221d02f6dc6410,CREATE,"{'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48', 'placement.rack': None}"
2015-06-17T22:45:55,81955.0,d376db654397449f49f3a5c77df35b04,CREATE,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': None}"
2015-06-17T22:46:13,81973.0,8418f33a9b838bb7292b0e17c01adfb1,CREATE,"{'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392', 'placement.rack': None}"
2018-06-27T14:12:51,95609571.0,7fbd884e1fca6dc6d43f1d15bce14870,CREATE,"{'node_type': 'compute_skylake', 'placement.rack': None}"
2018-08-29T15:25:08,101057108.0,7fbd884e1fca6dc6d43f1d15bce14870,UPDATE,"{'placement.rack': 3, 'node_type': 'compute_skylake', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'main_memory.ram_size': '205084688384', 'architecture.smp_size': '2', 'storage_devices.0.size': '240057409536'}"
2018-06-27T14:11:27,95609487.0,08ace45ca5579ba8876cb3e06c4e6a98,CREATE,"{'node_type': 'compute_skylake', 'placement.rack': None}"
2018-08-29T15:25:09,101057109.0,08ace45ca5579ba8876cb3e06c4e6a98,UPDATE,"{'storage_devices.0.size': '240057409536', 'main_memory.ram_size': '205084688384', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_skylake', 'architecture.smp_size': '2', 'architecture.smt_size': '48', 'placement.rack': 3}"
2015-06-17T22:46:32,81992.0,f24c33849e73a2cdb6e3e76480a36253,CREATE,"{'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64', 'placement.rack': None}"
2015-06-17T22:46:50,82010.0,ef87ce346581cc2449c4c827bd3844b9,CREATE,"{'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'placement.rack': None}"
2015-06-17T22:47:09,82029.0,eed618d03d23adb31c37870d8f291e79,CREATE,"{'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'placement.rack': None}"
2020-08-25T15:13:28,163869208.0,8377b32154b93ec6e0f852a77cf3436c,DISABLE,"{'placement.rack': 2, 'main_memory.ram_size': '205084688384', 'architecture.smt_size': '48', 'storage_devices.0.size': '240057409536', 'node_type': 'gpu_rtx_6000', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}"
2018-03-09T19:04:18,86123058.0,8377b32154b93ec6e0f852a77cf3436c,CREATE,"{'placement.rack': 2, 'node_type': 'compute'}"
2020-02-28T20:08:07,148421287.0,8377b32154b93ec6e0f852a77cf3436c,UPDATE,"{'placement.rack': 2, 'main_memory.ram_size': '205084688384', 'architecture.smt_size': '48', 'storage_devices.0.size': '240057409536', 'node_type': 'gpu_rtx_6000', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}"
2018-03-09T19:03:14,86122994.0,b5841eed27cc56f028f1c40a5cbab6b5,CREATE,"{'node_type': 'compute', 'placement.rack': 2}"
2020-02-28T20:08:07,148421287.0,b5841eed27cc56f028f1c40a5cbab6b5,UPDATE,"{'storage_devices.0.size': '240057409536', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '205084688384', 'node_type': 'gpu_rtx_6000', 'placement.rack': 2, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}"
2015-06-17T22:47:28,82048.0,a64ca09fb7c53126cbb4dd579f972482,CREATE,"{'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48', 'placement.rack': None}"
2015-08-25T19:57:00,6033420.0,ef956849dbe6388ccc0d7874f7e03dca,CREATE,"{'storage_devices.0.size': '2000398934016', 'main_memory.ram_size': '67445407744', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '40', 'placement.rack': None}"
2018-06-27T14:07:40,95609260.0,80b58705c66686b045d0eb87f369580c,CREATE,"{'node_type': 'compute_skylake', 'placement.rack': None}"
