"Time","running","pending","completed"
1627797157117,11,417,1
1627797157352,10,631,2
1627797157373,8,649,7
1627797157388,6,663,11
1627797157416,4,697,12
1627797157422,1,697,12
1627797157424,3,697,12
1627797157425,0,697,12
1627797158000,5,1237,13
1627797158071,13,1285,14
1627797158155,19,1366,15
1627797158229,23,1440,16
1627797158234,22,1446,17
1627797158240,20,1450,20
1627797158242,21,1449,18
1627797158305,25,1515,21
1627797158429,32,1627,24
1627797158434,32,1627,24
1627797158441,30,1647,27
1627797158445,31,1627,26
1627797158448,29,1647,28
1627797158452,28,1647,28
1627797158458,27,1660,31
1627797158461,27,1660,31
1627797158462,26,1660,31
1627797158468,25,1662,33
1627797158469,24,1672,33
1627797158488,25,1687,34
1627797158537,29,1736,35
1627797158636,35,1828,36
1627797158643,34,1828,37
1627797158648,33,1828,38
1627797158655,33,1828,39
1627797158659,32,1828,40
1627797158663,31,1856,41
1627797158666,30,1856,42
1627797158668,29,1864,43
1627797158673,28,1869,45
1627797158676,27,1869,45
1627797158679,26,1873,46
1627797158974,34,2150,47
1627797159072,32,2239,50
1627797159075,31,2239,51
1627797159076,30,2241,51
1627797159082,29,2241,53
1627797159085,28,2241,54
1627797159265,25,2424,57
1627797159267,24,2424,58
1627797159277,22,2424,59
1627797159280,23,2424,59
1627797159286,20,2447,62
1627797159290,18,2447,63
1627797159295,17,2454,64
1627797159296,16,2457,65
1627797159404,15,2549,67
1627797159406,14,2552,69
1627797159410,13,2552,69
1627797159411,12,2552,69
1627797159416,11,2552,73
1627797159418,8,2555,73
1627797159419,10,2555,73
1627797159562,7,2693,74
1627797159569,5,2713,77
1627797159570,6,2713,77
1627797159573,3,2716,78
1627797159579,2,2721,81
1627797159581,0,2721,81
1627797159582,1,2721,81
1627797160669,18,3632,82
1627797160777,38,3734,84
1627797160782,37,3734,84
1627797160913,58,3897,85
1627797160938,58,3906,86
1627797160944,58,3908,87
1627797161109,84,3936,89
1627797161123,85,3936,91
1627797161128,85,3936,91
1627797161145,86,3936,93
1627797161148,87,3936,93
1627797161174,89,3937,96
1627797161179,88,3937,96
1627797161180,88,3937,96
1627797161194,87,3937,96
1627797161205,88,4064,97
1627797161221,89,4066,100
1627797161227,88,4066,100
1627797161253,89,4121,101
1627797161338,101,4185,102
1627797161443,109,4317,104
1627797161462,112,4317,105
1627797161475,113,4317,105
1627797161484,112,4317,107
1627797161489,114,4317,107
1627797161499,116,4317,108
1627797161524,118,4317,111
1627797161530,119,4317,110
1627797161536,119,4428,112
1627797161548,119,4442,115
1627797161554,120,4445,115
1627797161559,121,4445,116
1627797161564,120,4445,116
1627797161575,121,4472,117
1627797161611,120,4483,120
1627797161615,120,4484,120
1627797161619,119,4483,120
1627797161635,119,4525,121
1627797161644,121,4523,122
1627797161671,122,4519,126
1627797161677,122,4519,127
1627797161679,122,4519,128
1627797161692,121,4564,129
1627797161698,121,4481,129
1627797161717,121,4481,130
1627797161725,122,4481,131
1627797161735,121,4481,131
1627797161768,124,4546,133
1627797161777,125,4546,134
1627797161789,125,4547,137
1627797161802,124,4547,137
1627797161810,123,4547,137
1627797161818,122,4547,137
1627797161839,127,4605,139
1627797161841,127,4605,139
1627797161989,145,4717,140
1627797162000,147,4717,143
1627797162014,146,4717,143
1627797162017,145,4717,143
1627797162038,146,4807,146
1627797162044,145,4816,146
1627797162047,146,4816,147
1627797162064,149,4835,148
1627797162080,148,4835,148
1627797162107,153,4881,151
1627797162113,154,4881,151
1627797162115,152,4881,151
1627797162212,159,4970,153
1627797162221,159,4971,153
1627797162226,159,4971,154
1627797162237,160,5001,158
1627797162239,159,5001,159
1627797162240,159,5001,158
1627797162242,158,5001,160
1627797162248,157,5019,162
1627797162254,157,5001,161
1627797162256,156,5019,162
1627797162259,155,5019,163
1627797162261,155,5027,163
1627797162282,154,5035,164
1627797162358,164,5019,165
1627797162379,166,5020,168
1627797162382,166,5020,167
1627797162385,165,5020,168
1627797162540,185,5094,172
1627797162553,184,5094,172
1627797162576,186,5094,174
1627797162577,188,5094,174
1627797162580,186,5094,172
1627797162605,188,5240,176
1627797162611,189,5094,174
1627797162631,190,5277,179
1627797162637,192,5277,179
1627797162657,193,5277,181
1627797162675,193,5278,181
1627797162682,194,5280,182
1627797162711,194,5282,184
1627797162717,193,5282,185
1627797162746,195,5282,189
1627797162751,193,5282,189
1627797162755,195,5282,189
1627797162756,194,5282,189
1627797162766,193,5282,189
1627797162778,194,5282,191
1627797162782,195,5448,192
1627797162787,195,5448,193
1627797162804,195,5448,193
1627797162813,201,5487,194
1627797162821,203,5495,196
1627797162822,202,5495,196
1627797162979,201,5513,200
