EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",61063134ae66224adafabc8f,"[{""GlobalJobId"":""login05_osgconnect_net#11330335_569#1625107781_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.05,""CompletionDate"":1625114176,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":71,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5457.441772,""JobPrio"":0,""JobStartDate"":1625170620,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1353196,""MemoryUsage"":1322.4794921875,""JobSimSubmitDate"":1627795839.418865,""JobSimStartDate"":1627796820.351634,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12322274_0#1625111184_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9968359783,""CompletionDate"":1625125328,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5403.39342,""JobPrio"":0,""JobStartDate"":1625181826,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":201264,""MemoryUsage"":197.5458984375,""JobSimSubmitDate"":1627795839.5714,""JobSimStartDate"":1627796823.811615,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627796638.4026313,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",6106313406578b9136081dc7,"[{""GlobalJobId"":""login04_osgconnect_net#12325665_0#1625116425_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9964525679,""CompletionDate"":1625129830,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5080.042125,""JobPrio"":0,""JobStartDate"":1625186652,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":195528,""MemoryUsage"":191.9443359375,""JobSimSubmitDate"":1627795839.666565,""JobSimStartDate"":1627796827.879593,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12325731_0#1625116433_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9969035133,""CompletionDate"":1625130017,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5274.00662,""JobPrio"":0,""JobStartDate"":1625186645,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":196768,""MemoryUsage"":193.1552734375,""JobSimSubmitDate"":1627795839.663317,""JobSimStartDate"":1627796827.893738,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627796698.4923842,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",61063134ae66224adafabc90,"[{""GlobalJobId"":""login05_osgconnect_net#11330335_3771#1625107783_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9928727936,""CompletionDate"":1625113934,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4919.541354,""JobPrio"":0,""JobStartDate"":1625170916,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1350736,""MemoryUsage"":1320.0771484375,""JobSimSubmitDate"":1627795839.419063,""JobSimStartDate"":1627796820.455721,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11313145_0#1624807335_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.040058248,""CompletionDate"":1625211238,""CpusProvisioned"":1,""DiskProvisioned"":17052530,""DiskUsage"":39334,""DiskUsage_RAW"":6803402,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":98070.366075,""JobPrio"":0,""JobStartDate"":1625175069,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":734944,""MemoryUsage"":718.7177734375,""JobSimSubmitDate"":1627795839.420067,""JobSimStartDate"":1627796821.787043,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627796712.5919995,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",6106313406578b9136081dc8,"[{""GlobalJobId"":""login04_osgconnect_net#12327690_0#1625119716_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9970581935,""CompletionDate"":1625131307,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5114.248079,""JobPrio"":0,""JobStartDate"":1625188095,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":197628,""MemoryUsage"":193.9951171875,""JobSimSubmitDate"":1627795839.70584,""JobSimStartDate"":1627796827.724139,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11330816_32#1625120054_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.8366293739,""CompletionDate"":1625125386,""CpusProvisioned"":1,""DiskProvisioned"":6607849,""DiskUsage"":657610,""DiskUsage_RAW"":415414,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":25.847659,""JobPrio"":0,""JobStartDate"":1625187260,""JobState"":""Exited"",""MemoryProvisioned"":15360,""ResidentSetSize"":743412,""MemoryUsage"":726.9873046875,""JobSimSubmitDate"":1627795839.683397,""JobSimStartDate"":1627796827.784794,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,113664,131072,compute_haswell,osg,1627796718.6687143,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",61063134ae66224adafabc91,"[{""GlobalJobId"":""login05_osgconnect_net#11330782_50#1625120026_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0,""CompletionDate"":1625127297,""CpusProvisioned"":1,""DiskProvisioned"":6607856,""DiskUsage"":657609,""DiskUsage_RAW"":415412,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":26.925571,""JobPrio"":0,""JobStartDate"":1625189171,""JobState"":""Exited"",""MemoryProvisioned"":15360,""ResidentSetSize"":761952,""MemoryUsage"":745.0927734375,""JobSimSubmitDate"":1627795839.796748,""JobSimStartDate"":1627796828.013545,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11330867_33#1625120105_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0,""CompletionDate"":1625127285,""CpusProvisioned"":1,""DiskProvisioned"":6607856,""DiskUsage"":657630,""DiskUsage_RAW"":415434,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":28.510907,""JobPrio"":0,""JobStartDate"":1625189156,""JobState"":""Exited"",""MemoryProvisioned"":15360,""ResidentSetSize"":761736,""MemoryUsage"":744.8818359375,""JobSimSubmitDate"":1627795839.796733,""JobSimStartDate"":1627796828.007233,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,100352,131072,compute_haswell,osg,1627796710.0801475,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6106313406578b9136081dc9,"[{""GlobalJobId"":""login05_osgconnect_net#11330335_3846#1625107783_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9963002671,""CompletionDate"":1625114295,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5275.478576,""JobPrio"":0,""JobStartDate"":1625170921,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1356312,""MemoryUsage"":1325.5224609375,""JobSimSubmitDate"":1627795839.419093,""JobSimStartDate"":1627796820.474909,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11329887_9029#1625105025_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9997888669,""CompletionDate"":1625120668,""CpusProvisioned"":1,""DiskProvisioned"":2344723,""DiskUsage"":14800,""DiskUsage_RAW"":11450,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":7386.560101,""JobPrio"":0,""JobStartDate"":1625175182,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":190660,""MemoryUsage"":187.1904296875,""JobSimSubmitDate"":1627795839.420087,""JobSimStartDate"":1627796821.796636,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627796693.779742,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",61063134ae66224adafabc92,"[{""GlobalJobId"":""scosg16_jlab_org#3700110_0#1625096954_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9967270206,""CompletionDate"":1625119501,""CpusProvisioned"":1,""DiskProvisioned"":5115754,""DiskUsage"":860997,""DiskUsage_RAW"":79,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5415.500348,""JobPrio"":0,""JobStartDate"":1625175388,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1191480,""MemoryUsage"":1164.5537109375,""JobSimSubmitDate"":1627795839.420136,""JobSimStartDate"":1627796821.829783,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12327537_0#1625119457_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.996709318,""CompletionDate"":1625130450,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5367.543403,""JobPrio"":0,""JobStartDate"":1625186984,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":195424,""MemoryUsage"":191.8427734375,""JobSimSubmitDate"":1627795839.68325,""JobSimStartDate"":1627796827.820279,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627796618.884838,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",6106313406578b9136081dca,"[{""GlobalJobId"":""login05_osgconnect_net#11330335_926#1625107781_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9985247652,""CompletionDate"":1625114224,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5744.686604,""JobPrio"":0,""JobStartDate"":1625170382,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1353376,""MemoryUsage"":1322.6552734375,""JobSimSubmitDate"":1627795839.41877,""JobSimStartDate"":1627796820.321818,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""scosg16_jlab_org#3699596_64#1625079371_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9992918741,""CompletionDate"":1625120014,""CpusProvisioned"":1,""DiskProvisioned"":5115759,""DiskUsage"":1385119,""DiskUsage_RAW"":1396926,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":8979.176288,""JobPrio"":0,""JobStartDate"":1625172337,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1204236,""MemoryUsage"":1177.0107421875,""JobSimSubmitDate"":1627795839.419611,""JobSimStartDate"":1627796820.816577,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627796662.6727355,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",61063134ae66224adafabc93,"[{""GlobalJobId"":""login05_osgconnect_net#11330087_1887#1625094547_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9946385549,""CompletionDate"":1625108035,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5341.719286,""JobPrio"":0,""JobStartDate"":1625164594,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1317028,""MemoryUsage"":1287.1591796875,""JobSimSubmitDate"":1627795839.219704,""JobSimStartDate"":1627796818.922877,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12313920_0#1625100589_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9966099117,""CompletionDate"":1625108611,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5574.800597,""JobPrio"":0,""JobStartDate"":1625164938,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":197572,""MemoryUsage"":193.9404296875,""JobSimSubmitDate"":1627795839.254868,""JobSimStartDate"":1627796819.110737,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627796700.8607216,inuse
UPDATE,2018-03-14 11:40:07,86528407,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",61063134ae66224adafabc94,"[{""GlobalJobId"":""login05_osgconnect_net#11330335_570#1625107781_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9962650039,""CompletionDate"":1625113790,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5404.219813,""JobPrio"":0,""JobStartDate"":1625170288,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1345236,""MemoryUsage"":1314.7060546875,""JobSimSubmitDate"":1627795839.41867,""JobSimStartDate"":1627796820.296248,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12319582_0#1625106951_round_7"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9935626761,""CompletionDate"":1625120080,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5618.302169,""JobPrio"":0,""JobStartDate"":1625176363,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":195872,""MemoryUsage"":192.2802734375,""JobSimSubmitDate"":1627795839.451497,""JobSimStartDate"":1627796822.296164,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627796599.6687691,inuse
