"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627795764173,26,0,0
1627795765022,79,1,4
1627795765269,79,1,4
1627795765766,237,1,13
1627795766086,237,2,35
1627795766288,228,2,44
1627795766795,207,2,65
1627795767300,192,2,80
1627795767774,176,2,96
1627795768297,164,2,108
1627795769344,132,2,140
1627795770313,113,2,159
1627795771312,84,2,188
1627795772340,59,1,214
1627795773336,27,1,246
1627795773952,11,1,262
1627795774334,4,0,270
1627795774861,0,0,274
1627795775195,0,1,273
1627795775365,0,1,273
1627795775545,0,2,272
1627795775798,0,3,271
1627795776013,0,4,270
1627795776237,1,6,267
1627795776393,2,5,267
1627795776852,0,3,271
1627795777367,0,3,271
1627795777861,0,3,271
1627795778170,0,1,273
1627795778331,0,2,272
1627795778514,0,2,272
1627795778690,0,3,271
1627795778844,0,4,270
1627795779030,3,1,270
1627795779381,0,0,274
1627795779874,0,0,274
1627795780400,0,0,274
1627795781385,0,0,274
1627795781799,0,0,274
1627795781947,0,1,273
1627795782139,0,2,272
1627795782305,0,3,271
1627795782478,0,4,270
1627795782618,0,5,269
1627795782763,0,5,269
1627795782949,0,6,268
1627795783411,0,5,269
1627795783969,0,5,269
1627795784421,0,5,269
1627795784918,0,5,269
1627795786017,0,6,268
1627795786161,1,5,268
1627795786368,0,6,268
1627795786518,1,6,267
1627795786714,1,6,267
1627795786874,0,7,267
1627795787047,1,6,267
1627795787431,0,5,269
1627795787923,0,5,269
1627795788432,0,5,269
1627795788931,1,5,268
1627795789474,0,5,269
1627795789931,0,4,270
1627795790461,0,0,274
1627795790951,0,0,274
1627795791461,0,0,274
1627795791953,0,0,274
1627795792185,0,1,273
1627795792476,0,1,273
1627795792958,1,1,272
1627795793488,0,1,273
1627795793968,0,1,273
1627795794280,0,2,272
1627795794447,0,3,271
1627795794649,0,3,271
1627795794814,0,4,270
1627795795062,0,5,269
1627795795250,2,3,269
1627795795502,0,1,273
1627795795995,0,1,273
1627795796502,0,1,273
1627795796989,0,1,273
1627795797507,0,1,273
1627795798020,0,1,273
1627795798534,0,1,273
1627795799011,0,1,273
1627795799522,0,1,273
1627795800006,0,1,273
1627795800528,0,1,273
1627795801024,0,1,273
1627795801534,0,1,273
1627795802042,0,1,273
1627795802342,0,2,272
1627795802544,0,2,272
1627795802727,0,3,271
1627795802931,0,4,270
1627795803156,1,4,269
1627795803307,2,2,270
1627795803543,1,1,272
1627795804351,0,1,273
1627795804521,0,2,272
1627795804691,0,3,271
1627795804855,0,4,270
1627795805013,0,5,269
1627795805237,0,5,269
1627795805476,1,2,271
1627795805624,0,2,272
1627795805794,0,9,265
1627795806086,0,8,266
1627795806591,0,8,266
1627795807072,0,8,266
1627795807598,0,8,266
1627795808078,0,8,266
1627795808585,0,8,266
1627795809079,0,8,266
1627795809593,0,8,266
1627795810099,0,8,266
1627795810404,0,9,265
1627795810559,0,10,264
1627795810686,0,10,264
1627795810831,0,11,263
1627795811002,0,11,263
1627795811176,2,10,262
1627795811612,0,8,266
1627795812111,0,8,266
1627795812653,0,8,266
1627795813133,0,8,266
1627795813273,0,9,265
1627795813644,1,9,264
1627795813845,0,10,264
1627795814138,0,10,264
1627795814663,0,10,264
1627795815129,1,10,263
