Time,Total Util Rate,Chameleon Utl Rate,OSG Utl Rate
1627795764173,0.0,0.0,0.0
1627795765022,5.95,1.19,4.76
1627795765269,5.95,1.19,4.76
1627795765766,5.58,0.39799999999999996,5.18
1627795766086,13.5,0.73,12.8
1627795766288,16.8,0.73,16.1
1627795766795,24.5,0.73,23.7
1627795767300,29.9,0.73,29.2
1627795767774,35.8,0.73,35.0
1627795768297,40.1,0.73,39.4
1627795769344,51.8,0.73,51.1
1627795770313,58.8,0.73,58.0
1627795771312,69.3,0.73,68.6
1627795772340,78.5,0.365,78.1
1627795773336,90.1,0.365,89.8
1627795773952,96.0,0.365,95.6
1627795774334,98.5,0.0,98.5
1627795774861,100.0,0.0,100.0
1627795775195,100.0,0.365,99.6
1627795775365,100.0,0.365,99.6
1627795775545,100.0,0.73,99.3
1627795775798,100.0,1.09,98.9
1627795776013,100.0,1.46,98.5
1627795776237,99.6,2.19,97.4
1627795776393,99.3,1.82,97.4
1627795776852,100.0,1.09,98.9
1627795777367,100.0,1.09,98.9
1627795777861,100.0,1.09,98.9
1627795778170,100.0,0.365,99.6
1627795778331,100.0,0.73,99.3
1627795778514,100.0,0.73,99.3
1627795778690,100.0,1.09,98.9
1627795778844,100.0,1.46,98.5
1627795779030,98.9,0.365,98.5
1627795779381,100.0,0.0,100.0
1627795779874,100.0,0.0,100.0
1627795780400,100.0,0.0,100.0
1627795781385,100.0,0.0,100.0
1627795781799,100.0,0.0,100.0
1627795781947,100.0,0.365,99.6
1627795782139,100.0,0.73,99.3
1627795782305,100.0,1.09,98.9
1627795782478,100.0,1.46,98.5
1627795782618,100.0,1.82,98.2
1627795782763,100.0,1.82,98.2
1627795782949,100.0,2.19,97.8
1627795783411,100.0,1.82,98.2
1627795783969,100.0,1.82,98.2
1627795784421,100.0,1.82,98.2
1627795784918,100.0,1.82,98.2
1627795786017,100.0,2.19,97.8
1627795786161,99.6,1.82,97.8
1627795786368,100.0,2.19,97.8
1627795786518,99.6,2.19,97.4
1627795786714,99.6,2.19,97.4
1627795786874,100.0,2.55,97.4
1627795787047,99.6,2.19,97.4
1627795787431,100.0,1.82,98.2
1627795787923,100.0,1.82,98.2
1627795788432,100.0,1.82,98.2
1627795788931,99.6,1.82,97.8
1627795789474,100.0,1.82,98.2
1627795789931,100.0,1.46,98.5
1627795790461,100.0,0.0,100.0
1627795790951,100.0,0.0,100.0
1627795791461,100.0,0.0,100.0
1627795791953,100.0,0.0,100.0
1627795792185,100.0,0.365,99.6
1627795792476,100.0,0.365,99.6
1627795792958,99.6,0.365,99.3
1627795793488,100.0,0.365,99.6
1627795793968,100.0,0.365,99.6
1627795794280,100.0,0.73,99.3
1627795794447,100.0,1.09,98.9
1627795794649,100.0,1.09,98.9
1627795794814,100.0,1.46,98.5
1627795795062,100.0,1.82,98.2
1627795795250,99.3,1.09,98.2
1627795795502,100.0,0.365,99.6
1627795795995,100.0,0.365,99.6
1627795796502,100.0,0.365,99.6
1627795796989,100.0,0.365,99.6
1627795797507,100.0,0.365,99.6
1627795798020,100.0,0.365,99.6
1627795798534,100.0,0.365,99.6
1627795799011,100.0,0.365,99.6
1627795799522,100.0,0.365,99.6
1627795800006,100.0,0.365,99.6
1627795800528,100.0,0.365,99.6
