"Time","unused terminations","success termination","immediate termination"
1627799725089,0,0,0
1627799725414,0,0,0
1627799725684,0,0,0
1627799726166,0,0,0
1627799726502,0,0,0
1627799726702,0,0,0
1627799727187,0,0,0
1627799727725,0,0,0
1627799728206,0,0,0
1627799728738,0,0,0
1627799729759,0,0,0
1627799730733,0,0,0
1627799731738,0,0,0
1627799732759,0,0,0
1627799733750,0,0,0
1627799734371,0,0,0
1627799734774,0,0,0
1627799735283,0,0,0
1627799735617,0,0,0
1627799735760,0,0,0
1627799735910,0,0,0
1627799736094,0,0,0
1627799736273,0,0,1
1627799736440,0,0,2
1627799736804,0,0,3
1627799737311,0,0,4
1627799737810,0,0,5
1627799738289,0,0,6
1627799738622,0,0,7
1627799738765,0,0,8
1627799738951,0,0,9
1627799739124,0,0,10
1627799739328,0,0,11
1627799739456,0,0,11
1627799739848,0,0,12
1627799740327,0,0,13
1627799740838,0,0,14
1627799741864,0,0,15
1627799742223,0,0,16
1627799742383,0,0,17
1627799742532,0,0,18
1627799742719,0,0,19
1627799742899,0,0,20
1627799743058,0,0,21
1627799743208,0,0,22
1627799743357,0,0,23
1627799743852,0,0,24
1627799744349,0,0,25
1627799744852,0,0,26
1627799745329,0,0,27
1627799745877,0,0,28
1627799746359,0,0,29
1627799746663,0,0,30
1627799746803,0,0,31
1627799746969,0,0,32
1627799747214,0,0,33
1627799748070,0,0,34
1627799748291,0,0,35
1627799748495,0,0,36
1627799748873,0,0,37
1627799749392,0,0,38
1627799749903,0,0,39
1627799750393,0,0,40
1627799750934,0,0,41
1627799751434,0,0,42
1627799751901,0,0,43
1627799752410,0,0,44
1627799752575,0,0,45
1627799752937,0,0,46
1627799753393,0,0,47
1627799753951,0,0,48
1627799754408,0,0,49
1627799754728,0,0,50
1627799754904,0,0,51
1627799755134,0,0,52
1627799755333,0,0,53
1627799755502,0,0,54
1627799755671,0,0,54
1627799755993,0,0,55
1627799756462,0,0,56
1627799756962,0,0,57
1627799757439,0,0,58
1627799757956,0,0,59
1627799758669,0,0,60
1627799758978,0,0,61
1627799759442,0,0,62
1627799759978,0,0,63
1627799760465,0,0,64
1627799761002,0,0,65
1627799761494,0,0,66
1627799761979,0,0,67
1627799762468,0,0,68
1627799762819,0,0,69
1627799763001,0,0,70
1627799763181,0,0,71
1627799763356,0,0,72
1627799763512,0,0,73
1627799763730,0,0,74
1627799764024,0,0,75
1627799764879,0,0,76
1627799765028,0,0,77
1627799765242,0,0,78
1627799765442,0,0,79
1627799765612,0,0,80
1627799765837,0,0,81
1627799766009,0,0,82
1627799766197,0,0,89
1627799766417,0,0,90
1627799766657,0,0,91
1627799767043,0,0,92
1627799767556,0,0,93
1627799768039,0,0,94
1627799768519,0,0,95
1627799769089,0,0,96
1627799769540,0,0,97
1627799770076,0,0,98
1627799770536,0,0,99
1627799770909,0,0,100
1627799771061,0,0,101
1627799771198,0,0,102
1627799771342,0,0,103
1627799771517,0,0,104
1627799771678,0,0,104
1627799772067,0,0,105
1627799772574,0,0,106
1627799773043,0,0,107
1627799773557,0,0,108
1627799773712,0,0,109
1627799774089,0,0,110
1627799774288,0,0,111
1627799774585,0,0,112
1627799775101,0,0,113
1627799775549,0,0,114
1627799776095,0,0,115
1627799776625,0,0,116
1627799777114,0,0,117
1627799777595,0,0,118
1627799778120,0,0,119
1627799778630,0,0,120
1627799779879,0,0,121
1627799780039,0,0,122
1627799780264,0,0,123
1627799781140,0,0,124
1627799781454,0,0,125
1627799781721,0,0,126
1627799781913,0,0,126
1627799782091,0,0,127
1627799782261,0,0,127
1627799782664,0,0,128
1627799783193,0,0,129
1627799783649,0,0,130
1627799784142,0,0,131
1627799784305,0,0,131
1627799784650,0,0,132
1627799785191,0,0,133
1627799785672,0,0,134
1627799786178,0,0,135
1627799786653,0,0,135
1627799787023,0,0,136
1627799787158,0,0,136
1627799787319,0,0,137
1627799787505,0,0,138
1627799787734,0,0,139
1627799787949,0,0,140
1627799788210,0,0,141
1627799788670,0,0,142
1627799789205,0,0,143
1627799789722,0,0,144
1627799789909,0,0,145
1627799790292,0,0,146
1627799790697,0,0,147
1627799791231,0,0,148
1627799791715,0,0,149
1627799791959,0,0,150
1627799792120,0,0,151
1627799792358,0,0,152
1627799792714,0,0,153
1627799793269,0,0,154
1627799793711,0,0,155
1627799794242,0,0,156
1627799794727,0,0,157
1627799795049,0,0,158
1627799795256,0,0,159
1627799795497,0,0,160
1627799795664,0,0,161
1627799795829,0,0,162
1627799795989,0,0,162
1627799796252,0,0,163
1627799796412,0,0,171
1627799796747,0,0,172
1627799797311,0,0,173
1627799797786,0,0,174
1627799797941,0,0,175
1627799798113,0,0,175
1627799798330,0,0,176
1627799798504,0,0,177
1627799798741,0,0,178
1627799799315,0,0,179
1627799799795,0,0,180
1627799800336,0,0,181
1627799800765,0,0,182
1627799801341,0,0,183
1627799801787,0,0,184
1627799802330,0,0,185
1627799802775,0,0,186
1627799803113,0,0,187
1627799803257,0,0,188
1627799803405,0,0,189
1627799803585,0,0,190
1627799803748,0,0,191
1627799803873,0,0,191
1627799804333,0,0,192
1627799804842,0,0,193
1627799805345,0,0,194
1627799805810,0,0,195
1627799806387,0,0,196
1627799806876,0,0,197
1627799807349,0,0,198
1627799807846,0,0,199
1627799808334,0,0,199
1627799808471,0,0,200
1627799808901,0,0,201
1627799809400,0,0,202
1627799809879,0,0,203
1627799810387,0,0,204
1627799811568,0,0,205
1627799811792,0,0,206
1627799811942,0,0,207
1627799812117,0,0,208
1627799812302,0,0,209
1627799812526,0,0,210
1627799812731,0,0,211
1627799812926,0,0,212
1627799813433,0,0,213
1627799813864,0,0,214
1627799814403,0,0,215
1627799814921,0,0,216
1627799815458,0,0,217
1627799815871,0,0,218
1627799816911,0,0,219
1627799817911,0,0,220
1627799818894,0,0,221
1627799819340,0,0,222
1627799819535,0,0,223
1627799819937,0,0,224
1627799820820,0,0,225
1627799820967,0,0,226
1627799821092,0,0,227
1627799821292,0,0,228
1627799821482,0,0,229
1627799821922,0,0,230
1627799822425,0,0,231
1627799822981,0,0,232
1627799823143,0,0,233
1627799823338,0,0,241
1627799823526,0,0,242
1627799823760,0,0,243
1627799823984,0,0,244
1627799824160,0,0,254
1627799824309,0,0,264
1627799824467,0,0,265
1627799825028,0,0,266
1627799825227,0,0,267
1627799825406,0,0,268
1627799825571,0,0,269
1627799825779,0,0,270
1627799825935,0,0,271
1627799826135,0,0,272
1627799826528,0,0,273
1627799826983,0,0,274
1627799827320,0,0,275
1627799827504,0,0,276
1627799827688,0,0,277
1627799827857,0,0,278
1627799828052,0,0,279
1627799828257,0,0,280
1627799828518,0,0,281
1627799829049,0,0,282
1627799829517,0,0,283
1627799830077,0,0,284
1627799830521,0,0,285
1627799831048,0,0,286
1627799831538,0,0,287
1627799831913,0,0,288
1627799832092,0,0,289
1627799832306,0,0,289
1627799832540,0,0,290
1627799833058,0,0,291
1627799833555,0,0,292
1627799834105,0,0,293
1627799834572,0,0,294
1627799835067,0,0,295
1627799835401,0,0,296
1627799835565,0,0,296
1627799835715,0,0,297
1627799835860,0,0,298
1627799835997,0,0,299
1627799836185,0,0,300
1627799836584,0,0,301
1627799837098,0,0,302
1627799837635,0,0,303
1627799838095,0,0,304
1627799838267,0,0,305
1627799838408,0,0,306
1627799838561,0,0,306
1627799839141,0,0,307
1627799839655,0,0,308
1627799840106,0,0,309
1627799840600,0,0,310
1627799841204,0,0,311
1627799841653,0,0,312
1627799842961,0,0,313
1627799843123,0,0,314
1627799843332,0,0,315
1627799843535,0,0,316
1627799843705,0,0,317
1627799843879,0,0,318
1627799844043,0,0,319
1627799844218,0,0,319
1627799844427,0,0,319
1627799844673,0,0,320
1627799845135,0,0,321
1627799845675,0,0,322
1627799846171,0,0,323
1627799846350,0,0,324
1627799846663,0,0,325
1627799847178,0,0,326
1627799847694,0,0,327
1627799848013,0,0,328
1627799848258,0,0,329
1627799848460,0,0,330
1627799848685,0,0,331
1627799848907,0,0,332
1627799849185,0,0,333
1627799849716,0,0,334
1627799850187,0,0,335
1627799850715,0,0,336
1627799851457,0,0,336
1627799851618,0,0,337
1627799851793,0,0,338
1627799852036,0,0,339
1627799852204,0,0,340
1627799852483,0,0,341
1627799852659,0,0,342
1627799852836,0,0,343
1627799853007,0,0,344
1627799853307,0,0,345
1627799853763,0,0,346
1627799854248,0,0,347
1627799854747,0,0,348
1627799855247,0,0,349
1627799855722,0,0,350
1627799855963,0,0,351
1627799856276,0,0,352
1627799856764,0,0,353
1627799856990,0,0,358
1627799857261,0,0,359
1627799857769,0,0,360
1627799858220,0,0,361
1627799858783,0,0,362
1627799859239,0,0,363
1627799859580,0,0,364
1627799859747,0,0,364
1627799859993,0,0,365
1627799860157,0,0,366
1627799860307,0,0,367
1627799860460,0,0,367
1627799860798,0,0,368
1627799861298,0,0,369
1627799861541,0,0,370
1627799861839,0,0,371
1627799862372,0,0,372
1627799862826,0,0,373
1627799863309,0,0,374
1627799863837,0,0,375
1627799864309,0,0,376
1627799864858,0,0,377
1627799865338,0,0,378
1627799865823,0,0,379
1627799866314,0,0,380
1627799866886,0,0,381
1627799867367,0,0,382
1627799867640,0,0,383
1627799867862,0,0,384
1627799868010,0,0,385
1627799868186,0,0,386
1627799868346,0,0,387
1627799868566,0,0,388
1627799868840,0,0,389
1627799869356,0,0,390
1627799869594,0,0,391
1627799869903,0,0,392
1627799870379,0,0,393
1627799870868,0,0,394
1627799871404,0,0,395
1627799872494,0,0,396
1627799873384,0,0,397
1627799874417,0,0,398
1627799874627,0,0,398
1627799875397,0,0,399
1627799875844,0,0,400
1627799876002,0,0,401
1627799876413,0,0,402
1627799877928,0,0,403
1627799878117,0,0,404
1627799878324,0,0,405
1627799878509,0,0,406
1627799878732,0,0,406
1627799878899,0,0,407
1627799879086,0,0,408
1627799879436,0,0,409
1627799879956,0,0,410
1627799880408,0,0,411
1627799880868,0,0,412
1627799881006,0,0,413
1627799881435,0,0,414
1627799881937,0,0,414
1627799882387,0,0,415
1627799882532,0,0,416
1627799882731,0,0,417
1627799882890,0,0,418
1627799883141,0,0,419
1627799883462,0,0,420
1627799883790,0,0,421
1627799883948,0,0,422
1627799884146,0,0,423
1627799884426,0,0,424
1627799884738,0,0,425
1627799884985,0,0,426
1627799885178,0,0,427
1627799885336,0,0,428
1627799885547,0,0,429
1627799885736,0,0,430
1627799886030,0,0,431
1627799886496,0,0,432
1627799886667,0,0,433
1627799886845,0,0,434
1627799886990,0,0,435
1627799887209,0,0,435
1627799887359,0,0,436
1627799887559,0,0,437
1627799887765,0,0,438
1627799887949,0,0,439
1627799888097,0,0,440
1627799888293,0,0,441
1627799888443,0,0,442
1627799888623,0,0,443
1627799888767,0,0,444
1627799888949,0,0,445
1627799889158,0,0,446
1627799889413,0,0,447
1627799889593,0,0,448
1627799889774,0,0,449
1627799889945,0,0,450
1627799890107,0,0,451
1627799890329,0,0,452
1627799890515,0,0,453
1627799890674,0,0,454
1627799890875,0,0,455
1627799891063,0,0,456
1627799891198,0,0,456
1627799891403,0,0,456
1627799891616,0,0,457
1627799891830,0,0,458
1627799892048,0,0,459
1627799892515,0,0,460
1627799892676,0,0,461
1627799892856,0,0,462
1627799893112,0,0,463
1627799893276,0,0,464
1627799893455,0,0,465
1627799893624,0,0,465
1627799893782,0,0,466
1627799893917,0,0,467
1627799894167,0,0,468
1627799894456,0,0,469
1627799894638,0,0,470
1627799894883,0,0,471
1627799895133,0,0,471
1627799895377,0,0,472
1627799895617,0,0,473
1627799895856,0,0,474
1627799896017,0,0,475
1627799896162,0,0,476
1627799896319,0,0,476
1627799896593,0,0,476
1627799896735,0,0,477
1627799896920,0,0,477
1627799897161,0,0,478
1627799897439,0,0,479
1627799897668,0,0,480
1627799898193,0,0,481
1627799898671,0,0,482
1627799899205,0,0,483
1627799899664,0,0,484
1627799899981,0,0,485
1627799900216,0,0,486
