"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627794453741,21,0,0
1627794454470,83,1,0
1627794454845,83,1,0
1627794455342,257,1,0
1627794455659,272,2,0
1627794455888,272,2,0
1627794456350,272,2,0
1627794456857,272,2,0
1627794457354,272,2,0
1627794457871,272,2,0
1627794458875,272,2,0
1627794459877,272,2,0
1627794460878,272,2,0
1627794461883,273,1,0
1627794462889,273,1,0
1627794463516,273,1,0
1627794463892,274,0,0
1627794464421,274,0,0
1627794464759,273,1,0
1627794464904,273,1,0
1627794464996,272,2,0
1627794465116,271,3,0
1627794465265,270,4,0
1627794465396,268,6,0
1627794465916,271,3,0
1627794466404,271,3,0
1627794466920,271,3,0
1627794467411,271,3,0
1627794467733,273,1,0
1627794467832,273,1,0
1627794467992,272,2,0
1627794468109,271,3,0
1627794468208,270,4,0
1627794468429,274,0,0
1627794468946,274,0,0
1627794469436,274,0,0
1627794469953,274,0,0
1627794470961,274,0,0
1627794471348,274,0,0
1627794471474,273,1,0
1627794471673,272,2,0
1627794471759,271,3,0
1627794471857,270,4,0
1627794471957,269,5,0
1627794472090,269,5,0
1627794472464,269,5,0
1627794472983,269,5,0
1627794473469,269,5,0
1627794473986,269,5,0
1627794474480,269,5,0
1627794474994,269,5,0
1627794475485,269,5,0
1627794475804,268,6,0
1627794475941,268,6,0
1627794476062,267,7,0
1627794476205,267,7,0
1627794476508,269,5,0
1627794477015,269,5,0
1627794477508,269,5,0
1627794478022,269,5,0
1627794478513,269,5,0
1627794479028,269,5,0
1627794479519,270,4,0
1627794480038,274,0,0
1627794480532,274,0,0
1627794481046,274,0,0
1627794481539,274,0,0
1627794481626,273,1,0
1627794482048,273,1,0
1627794482546,273,1,0
1627794483062,273,1,0
1627794483549,273,1,0
1627794483870,272,2,0
1627794483977,271,3,0
1627794484197,271,3,0
1627794484316,270,4,0
1627794484542,269,5,0
1627794484774,270,4,0
1627794485078,273,1,0
1627794485570,273,1,0
1627794486087,273,1,0
1627794486575,273,1,0
1627794487095,273,1,0
1627794487584,273,1,0
1627794488100,273,1,0
1627794488591,273,1,0
1627794489105,273,1,0
1627794489595,273,1,0
1627794490112,273,1,0
1627794490602,273,1,0
1627794491116,273,1,0
1627794491608,273,1,0
1627794491928,272,2,0
1627794492027,272,2,0
1627794492139,271,3,0
1627794492224,270,4,0
1627794492338,269,5,0
1627794492626,273,1,0
1627794493139,273,1,0
1627794493946,273,1,0
1627794494031,272,2,0
1627794494124,271,3,0
1627794494225,270,4,0
1627794494319,269,5,0
1627794494463,272,2,0
1627794494642,273,1,0
1627794494915,272,2,0
1627794495155,266,8,0
1627794495650,266,8,0
1627794496165,266,8,0
1627794496651,266,8,0
1627794497172,266,8,0
1627794497661,266,8,0
1627794498176,266,8,0
1627794498667,266,8,0
1627794499181,266,8,0
1627794499672,266,8,0
1627794499987,265,9,0
1627794500432,264,10,0
1627794500566,264,10,0
1627794500676,263,11,0
1627794500772,263,11,0
1627794500897,264,10,0
1627794501200,266,8,0
1627794501692,266,8,0
1627794502205,266,8,0
1627794502695,266,8,0
1627794502820,265,9,0
1627794503209,265,9,0
1627794503415,264,10,0
1627794503701,264,10,0
1627794504218,264,10,0
1627794504713,264,10,0
1627794505223,264,10,0
1627794505715,264,10,0
1627794506232,264,10,0
1627794506722,264,10,0
1627794507233,264,10,0
1627794507727,264,10,0
1627794508184,264,10,0
1627794508269,263,11,0
1627794509245,264,10,0
1627794510246,264,10,0
1627794510543,263,11,0
1627794510825,263,11,0
1627794511190,262,12,0
1627794511319,262,12,0
1627794511426,263,11,0
1627794511751,265,9,0
1627794512266,265,9,0
1627794512752,265,9,0
1627794513270,265,9,0
1627794513387,264,10,0
1627794513765,252,22,0
1627794514281,252,22,0
1627794514772,252,22,0
1627794515287,252,22,0
1627794515780,252,22,0
1627794516109,251,23,0
1627794516364,250,24,0
1627794516503,250,24,0
1627794516609,249,25,0
1627794516730,248,26,0
1627794516934,249,25,0
1627794517307,252,22,0
1627794517798,252,22,0
1627794518315,252,22,0
1627794518804,253,21,0
