"Time","unused terminations","success termination","immediate termination"
1627840426484,0,0,0
1627840426770,0,0,0
1627840426926,0,0,0
1627840427167,0,0,0
1627840427480,0,0,0
1627840427681,0,0,0
1627840428220,0,0,0
1627840428686,0,0,0
1627840429192,0,0,0
1627840429701,0,0,0
1627840430697,0,0,0
1627840431692,0,0,0
1627840432736,0,0,0
1627840433711,0,0,0
1627840434713,0,0,0
1627840435377,0,0,0
1627840435710,0,0,0
1627840436300,0,0,0
1627840436605,0,0,0
1627840436771,0,0,0
1627840436909,0,0,0
1627840437062,0,0,0
1627840437194,0,0,0
1627840437360,0,0,0
1627840437785,0,0,0
1627840438318,0,0,0
1627840438785,0,0,0
1627840439260,0,0,0
1627840439559,0,0,0
1627840439722,0,0,0
1627840439927,0,0,0
1627840440106,0,0,0
1627840440406,0,0,0
1627840440676,0,0,0
1627840440848,0,0,0
1627840441308,0,0,0
1627840441811,0,0,0
1627840442858,0,0,0
1627840443234,0,0,0
1627840443419,0,0,0
1627840443587,0,0,0
1627840443745,0,0,0
1627840443890,0,0,0
1627840444075,0,0,0
1627840444238,0,0,0
1627840444405,0,0,0
1627840444839,0,0,0
1627840445355,0,0,0
1627840445831,0,0,0
1627840446405,0,0,0
1627840446840,0,0,0
1627840447337,0,0,0
1627840447677,0,0,0
1627840447875,0,0,0
1627840448054,0,0,0
1627840448215,0,0,0
1627840448415,0,0,0
1627840448874,0,0,0
1627840449440,0,0,0
1627840449883,0,0,0
1627840450376,0,0,0
1627840450887,0,0,0
1627840451394,0,0,0
1627840451926,0,0,0
1627840452393,0,0,0
1627840452909,0,0,0
1627840453372,0,0,0
1627840453549,0,0,0
1627840453924,0,0,0
1627840454442,0,0,0
1627840454898,0,0,0
1627840455407,0,0,0
1627840455719,0,0,0
1627840455892,0,0,0
1627840456063,0,0,0
1627840456259,0,0,0
1627840456433,0,0,0
1627840456646,0,0,0
1627840457410,0,0,0
1627840457974,0,0,0
1627840458118,0,0,0
1627840458454,0,0,0
1627840458997,0,0,0
1627840459497,0,0,0
1627840459960,0,0,0
1627840460447,0,0,0
1627840460982,0,0,0
1627840461500,0,0,0
1627840461992,0,0,0
1627840462471,0,0,0
1627840462988,0,0,0
1627840463452,0,0,0
1627840463808,0,0,0
1627840463998,0,0,0
1627840464224,0,0,0
1627840464429,0,0,0
1627840464622,0,0,0
1627840464808,0,0,0
1627840465025,0,0,0
1627840465824,0,0,0
1627840466011,0,0,0
1627840466234,0,0,0
1627840466455,0,0,0
1627840466718,0,0,0
1627840466980,0,0,0
1627840467241,0,0,0
1627840467402,0,0,0
1627840467567,0,0,0
1627840467774,0,0,0
1627840468026,0,0,0
1627840468525,0,0,0
1627840469082,0,0,0
1627840469576,0,0,0
1627840470041,0,0,0
1627840470537,0,0,0
1627840471049,0,0,0
1627840471588,0,0,0
1627840471914,0,0,0
1627840472076,0,0,0
1627840472261,0,0,0
1627840472433,0,0,0
1627840472682,0,0,0
1627840472887,0,0,0
1627840473149,0,0,0
1627840473602,0,0,0
1627840474116,0,0,0
1627840474621,0,0,0
1627840474858,0,0,0
1627840475125,0,0,0
1627840475317,0,0,0
1627840475601,0,0,0
1627840476177,0,0,0
1627840476630,0,0,0
1627840477154,0,0,0
1627840477611,0,0,0
1627840478101,0,0,0
1627840478624,0,0,0
1627840479136,0,0,0
1627840479646,0,0,0
1627840480117,0,0,0
1627840480305,0,0,0
1627840481691,0,0,0
