"Time","unused terminations","success termination","immediate termination"
1627837941512,0,0,0
1627837941847,0,0,0
1627837942027,0,0,0
1627837942303,0,0,0
1627837942633,0,0,0
1627837942835,0,0,0
1627837943339,0,0,0
1627837943848,0,0,0
1627837944337,0,0,0
1627837944831,0,0,0
1627837945882,0,0,0
1627837946845,0,0,0
1627837947877,0,0,0
1627837948879,0,0,0
1627837949857,0,0,0
1627837950520,0,0,0
1627837950876,0,0,0
1627837951439,0,0,0
1627837951777,0,0,0
1627837951973,0,0,0
1627837952248,0,0,0
1627837952423,0,0,0
1627837952575,0,0,0
1627837952713,0,0,0
1627837952884,0,0,0
1627837953483,0,0,0
1627837953984,0,0,0
1627837954467,0,0,0
1627837954725,0,0,0
1627837954893,0,0,0
1627837955059,0,0,0
1627837955279,0,0,0
1627837955404,0,0,0
1627837955576,0,0,0
1627837955988,0,0,0
1627837956450,0,0,0
1627837956988,0,0,0
1627837957989,0,0,0
1627837958377,0,0,0
1627837958574,0,0,0
1627837958785,0,0,0
1627837958989,0,0,0
1627837959160,0,0,0
1627837959350,0,0,0
1627837959542,0,0,0
1627837959741,0,0,0
1627837959988,0,0,0
1627837960496,0,0,0
1627837961037,0,0,0
1627837961490,0,0,0
1627837961986,0,0,0
1627837962560,0,0,0
1627837962830,0,0,0
1627837963032,0,0,0
1627837963224,0,0,0
1627837963425,0,0,0
1627837963588,0,0,0
1627837964064,0,0,0
1627837964528,0,0,0
1627837965018,0,0,0
1627837965546,0,0,0
1627837966060,0,0,0
1627837966529,0,0,0
1627837967059,0,0,0
1627837967532,0,0,0
1627837968087,0,0,0
1627837968593,0,0,0
1627837968763,0,0,0
1627837969089,0,0,0
1627837969586,0,0,0
1627837970116,0,0,0
1627837970596,0,0,0
1627837970896,0,0,0
1627837971057,0,0,0
1627837971208,0,0,0
1627837971383,0,0,0
1627837971577,0,0,0
1627837971810,0,0,0
1627837973106,0,0,0
1627837973340,0,0,0
1627837973590,0,0,0
1627837973779,0,0,0
1627837974113,0,0,0
1627837974683,0,0,0
1627837975123,0,0,0
1627837975654,0,0,0
1627837976106,0,0,0
1627837976625,0,0,0
1627837977164,0,0,0
1627837977610,0,0,0
1627837978300,0,0,0
1627837978629,0,0,0
1627837979059,0,0,0
1627837979238,0,0,0
1627837979405,0,0,0
1627837979567,0,0,0
1627837979773,0,0,0
1627837979989,0,0,0
1627837980214,0,0,0
1627837980973,0,0,0
1627837981131,0,0,0
1627837981317,0,0,0
1627837981556,0,0,0
1627837981741,0,0,0
1627837981948,0,0,0
1627837982163,0,0,0
1627837982341,0,0,0
1627837982503,0,0,0
1627837982751,0,0,0
1627837983298,0,0,0
1627837983719,0,0,0
1627837984199,0,0,0
1627837984760,0,0,0
1627837985254,0,0,0
1627837985722,0,0,0
1627837986232,0,0,0
1627837986735,0,0,0
1627837987037,0,0,0
1627837987199,0,0,0
1627837987391,0,0,0
1627837987566,0,0,0
1627837987749,0,0,0
1627837988118,0,0,0
1627837988286,0,0,0
1627837988740,0,0,0
1627837989293,0,0,0
1627837989753,0,0,0
1627837989929,0,0,0
1627837990277,0,0,0
1627837990502,0,0,0
1627837990768,0,0,0
1627837991296,0,0,0
1627837991744,0,0,0
1627837992272,0,0,0
1627837992758,0,0,0
1627837993278,0,0,0
1627837993760,0,0,0
1627837994256,0,0,0
1627837994832,0,0,0
1627837995261,0,0,0
1627837995421,0,0,0
1627837996618,0,0,0
1627837997341,0,1,0
1627837997497,0,1,0
1627837997856,0,1,1
1627837998039,0,1,2
1627837998218,0,1,3
1627837998566,0,2,4
1627837998704,0,2,4
1627837999378,1,4,4
1627837999707,1,4,4
1627838000401,1,6,4
1627838000577,1,6,4
1627838000718,1,6,4
1627838001373,1,8,4
1627838001722,1,8,4
1627838002466,1,9,5
1627838002729,1,9,5
1627838003192,1,9,6
1627838003499,1,9,7
1627838004372,1,9,8
1627838004486,1,9,9
1627838004849,1,10,10
1627838004931,1,10,10
1627838005225,2,12,10
