"Time","running","pending","completed"
1627837941164,11,395,1
1627837941578,10,783,3
1627837941579,9,783,4
1627837941591,8,783,6
1627837941599,6,810,7
1627837941603,5,815,7
1627837941609,3,820,11
1627837941611,4,820,11
1627837941612,1,824,12
1627837941619,0,830,12
1627837942309,8,1472,13
1627837942404,17,1565,14
1627837942470,21,1636,15
1627837942472,20,1636,17
1627837942475,19,1636,17
1627837942478,18,1636,18
1627837942590,27,1756,19
1627837942598,26,1769,22
1627837942599,25,1769,22
1627837942603,24,1775,22
1627837942680,30,1850,25
1627837942682,29,1850,25
1627837942687,28,1850,27
1627837942694,27,1850,27
1627837942700,26,1865,29
1627837942704,25,1865,29
1627837942709,24,1877,31
1627837942710,23,1877,31
1627837942715,22,1885,32
1627837942830,33,1990,33
1627837942843,33,1994,36
1627837942844,32,2005,36
1627837942848,31,2005,36
1627837942858,30,2016,37
1627837942861,29,2018,39
1627837942864,28,2018,39
1627837942873,28,2027,42
1627837942877,26,2027,43
1627837942885,25,2027,44
1627837942886,25,2027,43
1627837942897,25,2055,45
1627837942964,35,2112,46
1627837943262,35,2390,47
1627837943409,34,2522,49
1627837943415,33,2531,49
1627837943421,32,2531,50
1627837943430,31,2531,51
1627837943433,30,2531,54
1627837943437,29,2531,54
1627837943443,28,2531,54
1627837943448,27,2562,58
1627837943451,25,2562,58
1627837943455,24,2562,58
1627837943547,22,2642,61
1627837943548,21,2642,61
1627837943559,20,2656,63
1627837943560,19,2656,63
1627837943565,18,2669,65
1627837943567,17,2669,65
1627837943575,16,2675,67
1627837943667,14,2759,68
1627837943671,13,2759,70
1627837943677,12,2759,71
1627837943686,10,2779,73
1627837943689,11,2779,72
1627837943690,9,2779,73
1627837943695,8,2779,75
1627837943697,7,2779,75
1627837943707,6,2779,76
1627837943710,5,2779,77
1627837943715,4,2809,78
1627837943722,2,2818,80
1627837943756,1,2851,81
1627837943837,0,2918,82
1627837944962,18,3820,83
1627837945058,36,3897,85
1627837945059,36,3895,84
1627837945189,56,4046,86
1627837945220,57,4046,88
1627837945227,58,4046,88
1627837945329,67,4174,91
1627837945331,66,4174,92
1627837945337,64,4173,92
1627837945358,63,4203,96
1627837945359,62,4202,97
1627837945373,60,4202,97
1627837945375,61,4202,97
1627837945377,58,4201,99
1627837945384,57,4200,100
1627837945393,57,4234,100
1627837945404,57,4240,101
1627837945554,89,4270,103
1627837945565,88,4273,104
1627837945716,105,4394,105
1627837945746,106,4507,109
1627837945747,105,4507,109
1627837945770,103,4507,110
1627837945778,104,4507,113
1627837945784,104,4507,110
1627837945788,103,4541,113
1627837945800,104,4551,115
1627837945839,106,4569,116
1627837945846,112,4569,117
1627837945871,116,4624,119
1627837945875,115,4624,119
1627837945881,114,4624,120
1627837945893,117,4623,122
1627837945895,115,4623,123
1627837945902,114,4622,125
1627837945908,113,4621,126
1627837945923,112,4663,128
1627837945926,111,4663,128
1627837945959,115,4677,129
1627837945990,121,4635,131
1627837945996,120,4635,131
1627837946037,123,4676,132
1627837946046,121,4686,135
1627837946051,122,4686,135
1627837946070,123,4686,136
1627837946177,135,4797,139
1627837946201,134,4844,141
1627837946212,135,4797,141
1627837946225,136,4861,143
1627837946227,135,4861,143
1627837946239,137,4861,143
1627837946242,134,4861,143
1627837946259,140,4861,144
1627837946313,144,4945,150
1627837946318,143,4922,148
1627837946321,146,4945,150
1627837946328,145,4945,150
1627837946336,145,4945,150
1627837946359,146,4997,154
1627837946360,147,4945,154
1627837946362,147,4997,154
1627837946384,147,4997,154
1627837946406,154,4998,155
1627837946680,173,5178,159
1627837946681,173,5178,160
1627837946689,171,5178,161
1627837946820,191,5322,162
1627837946843,192,5369,163
