"Time","unused terminations","success termination","immediate termination"
1627879033739,0,0,0
1627879033973,0,0,0
1627879034145,0,0,0
1627879034552,0,0,0
1627879034964,0,0,0
1627879035108,0,0,0
1627879035575,0,0,0
1627879036072,0,0,0
1627879036553,0,0,0
1627879037101,0,0,0
1627879038092,0,0,0
1627879039100,0,0,0
1627879040088,0,0,0
1627879041095,0,0,0
1627879042093,0,0,0
1627879042768,0,0,0
1627879043132,0,0,0
1627879043655,0,0,0
1627879044003,0,0,0
1627879044148,0,0,0
1627879044287,0,0,0
1627879044442,0,0,0
1627879044607,0,0,0
1627879044787,0,0,0
1627879045144,0,0,0
1627879045646,0,0,0
1627879046128,0,0,0
1627879046620,0,0,0
1627879046944,0,0,0
1627879047091,0,0,0
1627879047258,0,0,0
1627879047429,0,0,0
1627879047614,0,0,0
1627879047866,0,0,0
1627879048176,0,0,0
1627879048703,0,0,0
1627879049213,0,0,0
1627879050218,0,0,0
1627879050614,0,0,0
1627879050773,0,0,0
1627879050994,0,0,0
1627879051149,0,0,0
1627879051317,0,0,0
1627879051515,0,0,0
1627879051695,0,0,0
1627879051902,0,0,0
1627879052230,0,0,0
1627879052751,0,0,0
1627879053219,0,0,0
1627879053744,0,0,0
1627879054799,0,0,0
1627879055053,0,0,0
1627879055232,0,0,0
1627879055407,0,0,0
1627879055593,0,0,0
1627879055773,0,0,0
1627879055950,0,0,0
1627879056232,0,0,0
1627879056733,0,0,0
1627879057280,0,0,0
1627879057771,0,0,0
1627879058473,0,0,0
1627879059019,0,0,0
1627879059282,0,0,0
1627879059816,0,0,0
1627879060298,0,0,0
1627879060833,0,0,0
1627879061098,0,0,0
1627879061315,0,0,0
1627879061778,0,0,0
1627879062343,0,0,0
1627879062798,0,0,0
1627879063124,0,0,0
1627879063304,0,0,0
1627879063475,0,0,0
1627879063644,0,0,0
1627879063853,0,0,0
1627879064002,0,0,0
1627879064798,0,0,0
1627879064978,0,0,0
1627879065313,0,0,0
1627879065871,0,0,0
1627879066326,0,0,0
1627879066831,0,0,0
1627879067317,0,0,0
1627879067843,0,0,0
1627879068375,0,0,0
1627879068885,0,0,0
1627879069372,0,0,0
1627879069877,0,0,0
1627879070365,0,0,0
1627879070926,0,0,0
1627879071159,0,0,0
1627879071355,0,0,0
1627879071562,0,0,0
1627879071807,0,0,0
1627879072002,0,0,0
1627879072184,0,0,0
1627879072362,0,0,0
1627879073205,0,0,0
1627879073418,0,0,0
1627879073566,0,0,0
1627879073763,0,0,0
1627879073953,0,0,0
1627879074142,0,0,0
1627879074330,0,0,0
1627879074521,0,0,0
1627879074726,0,0,0
1627879075004,0,0,0
1627879075395,0,0,0
1627879075894,0,0,0
1627879076441,0,0,0
1627879076935,0,0,0
1627879077416,0,0,0
1627879077888,0,0,0
1627879078447,0,0,0
1627879078957,0,0,0
1627879079249,0,0,0
1627879079441,0,0,0
1627879079626,0,0,0
1627879079785,0,0,0
1627879079974,0,0,0
1627879080412,0,0,0
1627879080649,0,0,0
1627879080895,0,0,0
1627879081454,0,0,0
1627879081917,0,0,0
1627879082097,0,0,0
1627879082471,0,0,0
1627879082664,0,0,0
1627879082944,0,0,0
1627879083449,0,0,0
1627879083986,0,0,0
1627879084459,0,0,0
1627879084944,0,0,0
1627879085518,0,0,0
1627879085982,0,0,0
1627879086445,0,0,0
1627879086957,0,0,0
1627879087452,0,0,0
1627879087670,0,0,0
1627879088839,0,0,0
1627879089527,0,1,0
1627879089684,0,1,0
1627879090100,0,1,1
1627879090482,0,1,2
1627879090674,0,1,3
1627879091023,0,2,4
1627879091094,0,2,4
1627879091594,1,4,4
1627879091899,1,4,4
1627879092555,1,6,4
1627879092758,1,6,4
1627879092911,1,6,4
1627879093596,1,8,4
1627879093916,1,8,4
1627879094683,1,9,5
1627879094922,1,9,5
1627879096208,1,9,6
1627879096367,1,9,7
1627879096588,1,9,8
1627879096827,1,9,9
1627879097163,1,10,10
1627879097226,1,10,10
1627879097487,2,12,10
1627879097547,2,12,10
1627879097781,2,14,10
1627879097953,2,14,10
1627879098080,2,14,10
1627879098755,2,16,11
1627879098966,2,16,11
1627879099616,2,18,11
1627879099970,2,18,11
1627879100242,2,18,11
1627879100322,2,18,11
1627879100766,2,21,12
1627879100987,2,21,12
1627879101695,3,23,12
1627879101989,3,23,12
1627879102627,3,25,12
1627879102995,3,25,12
1627879103312,3,25,12
1627879103551,3,25,13
1627879103768,3,25,14
1627879103985,3,25,15
1627879104316,3,27,16
1627879104401,3,27,16
1627879104716,4,29,16
1627879104867,4,29,22
1627879105120,4,29,23
