EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",610776781dc042f25bc4f103,"[{""GlobalJobId"":""login05_osgconnect_net#11283452_4717#1624592198_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.6296570739,""CompletionDate"":1624618696,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":33,""DiskUsage_RAW"":31,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":118.845959,""JobPrio"":0,""JobStartDate"":1624690794,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":65092,""MemoryUsage"":64.5654296875,""JobSimSubmitDate"":1627879112.287529,""JobSimStartDate"":1627880182.885238,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12341493_0#1625140815_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9953535564,""CompletionDate"":1625156487,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5134.689354,""JobPrio"":0,""JobStartDate"":1625233888,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":192580,""MemoryUsage"":189.0654296875,""JobSimSubmitDate"":1627879132.509924,""JobSimStartDate"":1627880578.295785,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627879033.0641646,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",610776787e309ab58a05ec3c,"[{""GlobalJobId"":""login05_osgconnect_net#11334341_281#1625151845_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9940682427,""CompletionDate"":1625157985,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5184.765172,""JobPrio"":0,""JobStartDate"":1625235336,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1356484,""MemoryUsage"":1325.6904296875,""JobSimSubmitDate"":1627879132.551326,""JobSimStartDate"":1627880578.697199,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334341_6180#1625151849_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9952942945,""CompletionDate"":1625162986,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":71,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5667.233113,""JobPrio"":0,""JobStartDate"":1625239855,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1324620,""MemoryUsage"":1294.5732421875,""JobSimSubmitDate"":1627879132.636532,""JobSimStartDate"":1627880580.804446,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627879033.1371586,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",610776781dc042f25bc4f104,"[{""GlobalJobId"":""login05_osgconnect_net#11334341_287#1625151845_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9959731623,""CompletionDate"":1625158100,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5298.958446,""JobPrio"":0,""JobStartDate"":1625235337,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1348076,""MemoryUsage"":1317.4794921875,""JobSimSubmitDate"":1627879132.551358,""JobSimStartDate"":1627880579.150126,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12349073_0#1625157103_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9963539426,""CompletionDate"":1625168746,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5513.120914,""JobPrio"":0,""JobStartDate"":1625245769,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":201040,""MemoryUsage"":197.3271484375,""JobSimSubmitDate"":1627879132.779209,""JobSimStartDate"":1627880583.267776,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627879033.1398478,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",610776787e309ab58a05ec3d,"[{""GlobalJobId"":""login05_osgconnect_net#11334360_3287#1625152476_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9938600581,""CompletionDate"":1625163329,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":1971,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3418.107791,""JobPrio"":0,""JobStartDate"":1625242445,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1344676,""MemoryUsage"":1314.1591796875,""JobSimSubmitDate"":1627879132.69374,""JobSimStartDate"":1627880581.801092,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11335203_2721#1625167773_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9982586555,""CompletionDate"":1625176476,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4847.483619,""JobPrio"":0,""JobStartDate"":1625254164,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1415852,""MemoryUsage"":1383.6669921875,""JobSimSubmitDate"":1627879132.888596,""JobSimStartDate"":1627880586.281699,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627879033.1952205,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",610776781dc042f25bc4f105,"[{""GlobalJobId"":""scosg16_jlab_org#3699643_10#1625084221_round_5"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9992660326,""CompletionDate"":1625156187,""CpusProvisioned"":1,""DiskProvisioned"":5115754,""DiskUsage"":1420960,""DiskUsage_RAW"":2027485,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":12049.099127,""JobPrio"":0,""JobStartDate"":1625184806,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1199700,""MemoryUsage"":1172.5810546875,""JobSimSubmitDate"":1627879087.070774,""JobSimStartDate"":1627879757.347603,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12349217_0#1625157227_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9862279949,""CompletionDate"":1625168908,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5540.516691,""JobPrio"":0,""JobStartDate"":1625245902,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":198368,""MemoryUsage"":194.7177734375,""JobSimSubmitDate"":1627879132.779241,""JobSimStartDate"":1627880583.271995,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627879033.217083,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610776787e309ab58a05ec3e,"[{""GlobalJobId"":""scosg16_jlab_org#3699645_61#1625084297_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9971088056,""CompletionDate"":1625119724,""CpusProvisioned"":1,""DiskProvisioned"":5115759,""DiskUsage"":1725721,""DiskUsage_RAW"":75,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":7654.4221,""JobPrio"":0,""JobStartDate"":1625194005,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":1193524,""MemoryUsage"":1166.5498046875,""JobSimSubmitDate"":1627879131.766055,""JobSimStartDate"":1627880562.650683,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334360_9749#1625152481_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9935839194,""CompletionDate"":1625163348,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":1490,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":307.3785,""JobPrio"":0,""JobStartDate"":1625245575,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1317292,""MemoryUsage"":1287.4169921875,""JobSimSubmitDate"":1627879132.779195,""JobSimStartDate"":1627880583.274669,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627879033.2269437,inuse
DISABLE,2018-09-17 18:16:10,102708970,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",610776781dc042f25bc4f106,[],2,2,131072,131072,compute_haswell,chameleon,0,inactive
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",610776787e309ab58a05ec3f,"[{""GlobalJobId"":""login05_osgconnect_net#11334360_1974#1625152475_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.993953591,""CompletionDate"":1625163129,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":2106,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3603.621508,""JobPrio"":0,""JobStartDate"":1625242059,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1322304,""MemoryUsage"":1292.3115234375,""JobSimSubmitDate"":1627879132.677366,""JobSimStartDate"":1627880582.156652,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11335005_242#1625164551_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0305578128,""CompletionDate"":1625171439,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":32,""DiskUsage_RAW"":1,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":6552.352972,""JobPrio"":0,""JobStartDate"":1625247423,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":210292,""MemoryUsage"":206.3623046875,""JobSimSubmitDate"":1627879132.796828,""JobSimStartDate"":1627880584.559942,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627879034.500676,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",610776781dc042f25bc4f107,"[{""GlobalJobId"":""login05_osgconnect_net#11335005_599#1625164551_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0,""CompletionDate"":1625169847,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":32,""DiskUsage_RAW"":1,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3530.655987,""JobPrio"":0,""JobStartDate"":1625248851,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":147956,""MemoryUsage"":145.4873046875,""JobSimSubmitDate"":1627879132.873666,""JobSimStartDate"":1627880584.780003,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12373730_0#1625163663_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9968757375,""CompletionDate"":1625171401,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4907.912163,""JobPrio"":0,""JobStartDate"":1625249029,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":198984,""MemoryUsage"":195.3193359375,""JobSimSubmitDate"":1627879132.873706,""JobSimStartDate"":1627880584.855327,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627879276.6611967,inuse
UPDATE,2018-03-14 11:40:05,86528405,f24c33849e73a2cdb6e3e76480a36253,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",610776787e309ab58a05ec40,"[{""GlobalJobId"":""login04_osgconnect_net#12342022_0#1625142602_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9956344426,""CompletionDate"":1625157210,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5227.251109,""JobPrio"":0,""JobStartDate"":1625234517,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":198820,""MemoryUsage"":195.1591796875,""JobSimSubmitDate"":1627879132.510099,""JobSimStartDate"":1627880578.379913,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12346992_0#1625155708_round_9"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9951716299,""CompletionDate"":1625167568,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5103.91842,""JobPrio"":0,""JobStartDate"":1625244999,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":191512,""MemoryUsage"":188.0224609375,""JobSimSubmitDate"":1627879132.779057,""JobSimStartDate"":1627880583.051719,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126976,131072,compute_haswell,osg,1627879034.5246923,inuse
