"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627879032880,23,0,0
1627879033917,76,1,7
1627879034077,75,2,7
1627879034476,250,1,10
1627879034792,255,2,17
1627879035013,249,3,22
1627879035479,250,2,22
1627879035995,250,2,22
1627879036487,250,2,22
1627879037009,239,2,33
1627879038008,205,2,67
1627879039012,172,2,100
1627879040020,152,2,120
1627879041014,116,1,157
1627879042031,102,1,171
1627879042662,89,1,184
1627879043037,84,0,190
1627879043571,71,0,203
1627879043910,59,0,215
1627879044061,58,1,215
1627879044216,52,2,220
1627879044347,48,3,223
1627879044525,42,4,228
1627879044676,39,7,228
1627879045059,34,3,237
1627879045561,24,3,247
1627879046062,11,3,260
1627879046557,3,3,268
1627879046875,2,1,271
1627879047023,1,1,272
1627879047161,0,2,272
1627879047332,0,3,271
1627879047528,0,4,270
1627879047738,4,0,270
1627879048080,0,0,274
1627879048595,0,0,274
1627879049091,0,0,274
1627879050097,0,0,274
1627879050485,0,0,274
1627879050670,0,1,273
1627879050868,0,2,272
1627879051056,0,3,271
1627879051200,0,4,270
1627879051414,0,5,269
1627879051585,0,5,269
1627879051791,1,5,268
1627879052126,1,5,268
1627879052611,0,5,269
1627879053119,0,5,269
1627879053634,0,5,269
1627879054132,0,5,269
1627879054943,0,5,269
1627879055129,0,6,268
1627879055301,0,7,267
1627879055498,0,7,267
1627879055674,0,7,267
1627879055850,1,6,267
1627879056145,0,5,269
1627879056646,0,5,269
1627879057169,0,5,269
1627879057647,0,5,269
1627879058173,0,5,269
1627879058660,0,4,270
1627879059164,2,0,272
1627879059685,0,0,274
1627879060195,0,0,274
1627879060686,0,0,274
1627879060931,0,1,273
1627879061204,1,1,272
1627879061677,0,1,273
1627879062211,0,1,273
1627879062687,0,1,273
1627879062998,0,2,272
1627879063201,1,2,271
1627879063387,0,3,271
1627879063560,0,4,270
1627879063736,1,4,269
1627879063928,1,4,269
1627879064724,1,1,272
1627879064887,0,2,272
1627879065221,0,1,273
1627879065740,0,1,273
1627879066235,0,1,273
1627879066723,0,1,273
1627879067231,0,1,273
1627879067749,0,1,273
1627879068252,0,1,273
1627879068753,0,1,273
1627879069243,0,1,273
1627879069733,0,1,273
1627879070243,0,1,273
1627879070739,0,1,273
1627879071061,0,2,272
1627879071229,0,3,271
1627879071444,0,3,271
1627879071673,0,4,270
1627879071912,0,5,269
1627879072097,4,1,269
1627879072266,1,1,272
1627879073077,0,1,273
1627879073295,0,2,272
1627879073478,0,3,271
1627879073660,0,4,270
1627879073853,1,4,269
1627879074057,3,2,269
1627879074223,1,2,271
1627879074390,0,2,272
1627879074577,1,8,265
1627879074889,1,8,265
1627879075297,0,8,266
1627879075793,0,8,266
1627879076307,0,8,266
1627879076812,0,8,266
1627879077312,0,8,266
1627879077802,0,8,266
1627879078326,0,8,266
1627879078808,0,8,266
1627879079127,0,9,265
1627879079327,0,9,265
1627879079537,0,10,264
1627879079686,0,11,263
1627879079876,1,11,262
1627879080307,3,8,263
1627879080569,1,8,265
1627879080822,0,8,266
1627879081347,0,8,266
1627879081830,0,8,266
1627879082008,0,9,265
1627879082347,0,9,265
1627879082568,0,10,264
1627879082842,1,10,263
1627879083357,0,10,264
1627879083860,0,10,264
1627879084366,0,10,264
1627879084851,0,10,264
1627879085388,0,10,264
1627879085875,0,10,264
1627879086381,0,10,264
1627879086863,0,10,264
1627879087325,1,10,263
1627879087528,0,11,263
1627879088409,0,10,264
1627879088786,0,11,263
1627879089471,0,11,263
1627879089969,0,11,263
1627879090380,0,12,262
1627879090565,0,12,262
1627879090754,1,12,261
1627879090945,0,11,263
1627879091496,0,10,264
1627879092476,0,10,264
1627879092646,0,12,262
1627879093485,0,23,251
1627879094424,0,22,252
1627879094584,0,23,251
1627879095259,0,23,251
1627879096268,0,24,250
1627879096446,0,24,250
1627879096716,0,25,249
1627879096926,0,26,248
1627879097075,0,26,248
1627879097393,2,23,249
1627879097686,0,23,251
1627879098481,0,22,252
1627879098671,0,23,251
1627879099531,0,23,251
1627879100492,0,24,250
1627879100684,0,25,249
1627879101579,0,25,249
1627879102550,0,25,249
1627879103427,0,25,249
1627879103625,0,26,248
1627879103865,1,26,247
1627879104059,0,27,247
1627879104237,0,28,246
1627879104626,2,25,247
1627879104765,0,27,247
1627879105029,1,32,241
1627879105538,0,32,242
1627879105739,0,33,241
1627879106614,0,34,240
1627879107643,0,35,239
1627879108649,1,33,240
1627879109723,0,33,241
1627879110629,0,33,241
1627879111545,0,34,240
1627879111718,0,34,240
1627879111840,0,35,239
1627879112030,1,35,238
1627879112178,0,36,238
1627879112666,0,33,241
1627879113614,0,24,250
1627879113802,0,25,249
1627879114663,0,23,251
1627879115675,0,22,252
1627879116610,0,22,252
1627879116849,0,28,246
1627879117749,1,27,246
1627879118696,0,27,247
1627879119647,0,28,246
1627879119842,1,28,245
1627879120020,0,29,245
1627879120222,0,30,244
1627879120790,1,27,246
1627879121739,0,27,247
1627879122687,3,19,252
1627879122855,0,20,254
1627879123679,0,19,255
1627879123804,0,20,254
1627879125186,0,19,255
1627879125358,0,20,254
1627879126243,0,20,254
1627879127235,0,20,254
1627879128248,0,19,255
1627879128417,0,20,254
1627879129174,0,20,254
1627879129720,0,19,255
1627879129881,0,20,254
1627879130871,0,20,254
1627879131428,0,21,253
1627879131752,0,28,246
1627879131962,0,29,245
1627879132317,0,33,241
1627879132495,0,40,234
1627879132752,0,49,225
1627879132942,0,50,224
