"Time","unused terminations","success termination","immediate termination"
1627870853202,0,0,0
1627870853512,0,0,0
1627870853787,0,0,0
1627870854246,0,0,0
1627870854498,0,0,0
1627870854700,0,0,0
1627870855185,0,0,0
1627870855762,0,0,0
1627870856232,0,0,0
1627870856713,0,0,0
1627870857723,0,0,0
1627870858765,0,0,0
1627870859717,0,0,0
1627870860729,0,0,0
1627870861737,0,0,0
1627870862407,0,0,0
1627870862776,0,0,0
1627870863300,0,0,0
1627870863643,0,0,0
1627870863878,0,0,0
1627870864011,0,0,0
1627870864166,0,0,0
1627870864346,0,0,0
1627870864540,0,0,0
1627870864740,0,0,0
1627870865301,0,0,0
1627870865788,0,0,0
1627870866262,0,0,0
1627870866605,0,0,0
1627870866760,0,0,0
1627870866967,0,0,0
1627870867218,0,0,0
1627870867409,0,0,0
1627870867567,0,0,0
1627870867816,0,0,0
1627870868319,0,0,0
1627870868829,0,0,0
1627870869828,0,0,0
1627870870228,0,0,0
1627870870423,0,0,0
1627870870642,0,0,0
1627870870841,0,0,0
1627870871030,0,0,0
1627870871216,0,0,0
1627870871374,0,0,0
1627870871593,0,0,0
1627870871852,0,0,0
1627870872362,0,0,0
1627870872882,0,0,0
1627870873382,0,0,0
1627870873881,0,0,0
1627870874397,0,0,0
1627870874684,0,0,0
1627870874859,0,0,0
1627870875053,0,0,0
1627870875252,0,0,0
1627870875454,0,0,0
1627870875921,0,0,0
1627870876376,0,0,0
1627870876902,0,0,0
1627870877404,0,0,0
1627870877924,0,0,0
1627870878407,0,0,0
1627870878916,0,0,0
1627870879387,0,0,0
1627870879907,0,0,0
1627870880416,0,0,0
1627870880595,0,0,0
1627870880935,0,0,0
1627870881434,0,0,0
1627870881934,0,0,0
1627870882434,0,0,0
1627870882762,0,0,0
1627870882914,0,0,0
1627870883125,0,0,0
1627870883787,0,0,0
1627870884010,0,0,0
1627870884194,0,0,0
1627870884368,0,0,0
1627870884566,0,0,0
1627870884984,0,0,0
1627870885475,0,0,0
1627870885956,0,0,0
1627870886489,0,0,0
1627870887015,0,0,0
1627870887538,0,0,0
1627870887991,0,0,0
1627870888486,0,0,0
1627870889022,0,0,0
1627870889485,0,0,0
1627870890010,0,0,0
1627870890474,0,0,0
1627870890835,0,0,0
1627870890994,0,0,0
1627870891151,0,0,0
1627870891347,0,0,0
1627870891526,0,0,0
1627870891736,0,0,0
1627870892007,0,0,0
1627870892835,0,0,0
1627870893016,0,0,0
1627870893219,0,0,0
1627870893385,0,0,0
1627870893582,0,0,0
1627870893764,0,0,0
1627870894014,0,0,0
1627870894202,0,0,0
1627870894392,0,0,0
1627870894596,0,0,0
1627870895053,0,0,0
1627870895552,0,0,0
1627870896054,0,0,0
1627870896608,0,0,0
1627870897099,0,0,0
1627870897563,0,0,0
1627870898105,0,0,0
1627870898573,0,0,0
1627870898902,0,0,0
1627870899093,0,0,0
1627870899282,0,0,0
1627870899493,0,0,0
1627870899720,0,0,0
1627870900179,0,0,0
1627870900413,0,0,0
1627870900597,0,0,0
1627870901112,0,0,0
1627870901580,0,0,0
1627870901824,0,0,0
1627870902150,0,0,0
1627870902365,0,0,0
1627870902621,0,0,0
1627870903132,0,0,0
1627870903592,0,0,0
1627870904148,0,0,0
1627870904636,0,0,0
1627870905170,0,0,0
1627870905636,0,0,0
1627870906148,0,0,0
1627870906656,0,0,0
1627870907112,0,0,0
1627870907312,0,0,0
1627870908300,0,0,0
1627870909262,1,1,0
1627870909349,1,1,0
1627870909632,1,1,0
1627870909861,1,1,1
1627870910085,1,1,2
1627870910390,1,3,3
1627870910561,1,3,3
1627870911170,1,5,3
1627870911573,1,5,3
1627870912189,1,7,3
1627870912424,1,7,3
1627870912580,1,7,3
1627870913206,1,9,3
1627870913583,1,9,3
1627870914218,1,11,3
1627870914677,1,11,3
1627870914924,1,11,3
1627870915152,1,11,4
1627870915358,1,11,5
1627870915571,1,11,6
1627870915838,1,13,7
1627870915894,1,13,7
1627870916215,1,15,7
1627870916622,1,15,7
1627870917255,1,16,7
1627870917628,1,16,7
1627870917751,1,16,7
1627870918332,1,18,8
1627870918636,1,18,8
1627870919270,1,20,8
1627870919642,1,20,8
1627870919901,1,20,8
1627870920094,1,20,9
1627870920442,1,22,10
1627870920649,1,22,10
1627870921272,1,24,10
1627870921656,1,24,10
1627870922289,1,26,10
1627870922664,1,26,10
1627870922978,1,26,10
1627870923170,1,26,11
1627870923397,1,26,12
1627870923593,1,26,13
1627870923894,1,28,14
1627870924014,1,28,14
1627870924321,1,30,14
1627870924475,1,30,20
1627870924787,1,30,21
1627870925465,1,32,22
1627870925692,1,32,22
1627870925810,1,32,22
1627870926008,1,32,23
1627870926470,1,34,24
1627870926529,1,34,24
1627870926703,1,34,24
1627870927337,1,37,24
1627870927713,1,37,24
1627870928317,1,39,24
1627870928722,1,39,24
1627870929364,1,41,24
1627870929728,1,41,24
1627870930343,1,43,24
1627870930735,1,43,24
1627870931054,1,43,24
1627870931277,1,43,25
1627870931514,1,43,26
1627870931696,1,43,27
1627870931968,1,45,28
1627870932045,1,45,28
1627870932373,1,47,28
1627870932769,1,47,28
1627870933407,1,49,28
1627870933770,1,49,28
1627870934383,1,51,28
1627870934777,1,51,28
1627870935413,1,53,28
1627870935785,1,53,28
1627870936389,1,53,28
1627870936633,1,55,28
1627870936796,1,55,28
1627870937453,1,57,28
1627870937801,1,57,28
1627870938416,1,59,28
1627870938809,1,59,28
1627870939125,1,59,28
1627870939318,1,59,29
1627870939478,1,59,30
1627870939636,1,59,31
1627870939890,1,61,32
1627870940019,1,61,32
1627870940458,1,63,32
1627870941477,2,64,32
1627870941835,2,64,32
1627870942474,2,66,32
1627870942842,2,66,32
1627870943493,2,67,32
1627870943848,2,67,32
1627870944976,2,69,32
1627870945964,3,70,32
1627870946991,4,71,32
1627870947280,4,71,32
1627870947344,4,71,32
1627870948137,4,72,33
1627870948890,5,73,33
1627870948944,5,73,33
1627870949011,5,73,33
1627870949181,5,73,34
1627870949614,5,75,35
1627870949889,5,75,35
1627870950510,5,77,35
1627870950895,5,77,35
1627870951005,5,77,35
1627870951214,5,77,43
1627870951649,5,79,44
1627870951706,5,79,44
1627870951905,5,79,44
1627870952100,5,79,54
1627870952315,5,79,64
1627870952670,5,81,65
1627870952917,5,81,65
1627870953108,5,81,65
1627870953193,5,81,65
1627870953411,5,81,66
1627870953619,5,81,67
1627870954236,5,84,68
1627870954319,5,84,68
1627870954556,6,86,68
1627870954938,6,86,68
1627870955253,6,86,68
1627870955355,6,86,68
1627870955553,6,86,69
1627870955818,6,86,70
1627870956104,6,89,71
1627870956213,6,89,71
1627870956598,7,91,71
1627870956960,7,91,71
1627870957618,8,93,71
1627870957970,8,93,71
1627870958636,9,95,71
1627870958974,9,95,71
1627870959631,10,97,71
1627870959868,10,97,71
1627870959986,10,97,71
1627870960119,10,97,71
1627870960785,10,99,72
1627870960993,10,99,72
1627870961610,11,101,72
1627870962002,11,101,72
1627870962646,12,103,72
1627870963013,12,103,72
1627870963328,12,103,72
1627870963431,12,103,72
1627870963616,12,103,73
1627870963788,12,103,74
1627870964057,12,106,75
1627870964135,12,106,75
1627870964733,13,108,75
1627870965033,13,108,75
1627870965672,14,110,75
1627870966041,14,110,75
1627870966171,14,110,75
1627870966313,14,110,75
1627870966779,14,113,76
1627870967053,14,113,76
1627870967705,15,115,76
1627870968061,15,115,76
1627870968710,16,117,76
1627870969067,16,117,76
1627870969751,17,119,76
1627870970073,17,119,76
1627870970706,18,121,76
1627870971082,18,121,76
1627870971401,18,121,76
1627870971512,18,121,76
1627870971709,18,121,77
1627870971907,18,121,78
1627870972296,18,124,79
1627870972362,18,124,79
1627870972806,19,126,79
1627870973102,19,126,79
1627870973754,20,128,79
1627870974111,20,128,79
1627870974269,20,128,79
1627870974751,20,131,79
1627870975124,20,131,79
1627870975757,21,133,79
1627870975977,21,133,79
1627870976083,21,133,79
1627870976162,21,133,79
1627870976766,21,133,80
1627870977026,21,136,81
1627870977140,21,136,81
1627870977806,22,138,81
1627870978145,22,138,81
1627870978915,23,140,81
1627870979151,23,140,81
1627870979473,23,140,81
1627870979575,23,140,81
1627870979739,23,140,82
1627870979961,23,140,83
1627870980252,23,143,84
1627870980323,23,143,84
1627870980858,24,145,84
1627870980929,24,145,84
1627870981185,24,145,84
1627870981782,24,148,84
1627870982185,24,148,84
1627870982840,25,150,84
1627870983199,25,150,84
1627870983665,25,150,84
1627870983902,25,153,84
1627870984212,25,153,84
1627870984877,26,155,84
1627870985086,26,155,86
1627870985347,26,155,87
1627870985954,26,158,88
1627870986222,26,158,88
1627870986858,27,160,88
1627870987230,27,160,88
1627870987545,27,160,88
1627870987649,27,160,88
1627870987831,27,160,89
1627870988013,27,160,90
1627870988328,27,163,91
1627870988391,27,163,91
1627870988878,28,165,91
1627870989257,28,165,91
1627870989490,28,165,91
1627870989878,28,167,91
1627870990262,28,167,91
1627870990901,29,169,91
1627870991270,29,169,91
1627870991928,30,171,91
1627870992277,30,171,91
1627870992979,31,173,91
1627870993296,31,173,91
1627870993985,32,175,91
1627870994294,32,175,91
1627870994926,33,177,91
1627870995295,33,177,91
1627870995622,33,177,91
1627870995726,33,177,91
1627870995932,33,177,92
1627870996157,33,177,93
1627870996507,33,180,94
1627870996595,33,180,94
1627870996948,34,182,94
1627870997326,34,182,94
1627870997557,34,182,94
1627870997945,34,185,94
1627870998334,34,185,94
1627870998982,35,187,94
1627870999340,35,187,94
1627871000494,36,189,94
1627871001555,38,190,94
1627871002041,40,191,94
1627871002354,40,191,94
1627871003530,41,193,94
1627871003777,41,193,94
1627871003855,41,193,94
1627871004496,41,196,94
1627871006027,43,197,94
1627871006237,45,198,94
1627871006304,45,198,94
1627871006398,45,198,94
1627871006502,45,198,94
1627871006729,45,198,95
1627871007102,45,201,96
1627871007398,45,201,96
1627871008126,46,203,96
1627871008403,46,203,96
1627871008790,46,203,96
1627871009071,46,206,96
1627871009416,46,206,96
1627871010081,46,208,96
1627871010314,46,208,96
1627871010422,46,208,96
1627871010574,46,208,97
1627871010754,46,208,98
1627871011206,46,210,99
1627871011440,46,210,99
1627871011762,46,210,99
1627871011991,46,210,100
1627871012267,46,210,101
1627871012473,46,210,102
1627871012774,46,212,102
1627871012879,46,212,102
1627871013109,46,214,102
1627871013186,46,214,102
1627871013238,46,214,102
1627871013637,46,214,103
1627871014291,46,216,104
1627871014484,46,216,104
1627871014582,46,216,104
1627871014796,46,216,105
1627871014987,46,216,106
1627871015135,46,216,106
1627871015428,46,218,107
1627871015487,46,218,107
1627871015569,46,218,107
1627871015726,46,218,108
1627871015901,46,218,109
1627871016121,46,218,110
1627871016340,46,218,111
1627871016547,46,218,112
1627871016709,46,218,113
1627871016917,46,218,114
1627871017094,46,218,115
1627871017434,46,220,116
1627871017484,46,220,116
1627871017557,46,220,116
1627871017629,46,220,116
1627871017832,46,220,117
1627871018052,46,220,118
1627871018269,46,220,119
1627871018427,46,220,120
1627871018594,46,220,121
1627871018758,46,220,122
1627871019086,46,223,122
1627871019145,46,223,122
1627871019432,47,225,122
1627871019500,47,225,122
1627871019744,48,227,122
1627871019877,48,227,122
1627871019936,48,227,122
1627871020004,48,227,122
1627871020232,48,227,123
1627871020416,48,227,124
1627871020718,48,228,125
1627871020778,48,228,125
1627871021258,49,230,125
1627871021819,49,230,125
1627871022270,50,232,125
1627871022435,50,232,125
1627871022511,50,232,125
1627871022587,50,232,125
1627871023379,50,235,126
1627871023470,50,235,126
1627871023541,50,235,126
1627871023616,50,235,126
1627871023772,50,235,127
1627871023933,50,235,128
1627871024400,50,238,129
1627871024604,50,238,129
1627871024699,50,238,129
1627871024789,50,238,129
1627871025037,50,238,130
1627871025413,50,241,131
1627871025651,50,241,131
1627871026304,51,243,131
1627871026658,51,243,131
1627871027352,52,245,131
1627871027668,52,245,131
1627871027982,52,245,131
1627871028087,52,245,131
1627871028281,52,245,132
1627871028482,52,245,133
1627871028815,52,248,134
1627871028876,52,248,134
1627871029357,53,250,134
1627871029690,53,250,134
1627871030399,54,252,134
1627871030708,54,252,134
1627871030820,54,252,134
1627871031339,54,255,134
1627871031719,54,255,134
1627871032379,55,257,134
1627871032727,55,257,134
1627871033114,55,257,134
1627871033388,55,260,134
1627871033747,55,260,134
1627871034488,56,262,134
1627871034767,56,262,134
1627871035467,57,264,134
1627871035760,57,264,134
1627871036080,57,264,134
1627871036221,57,264,134
1627871036385,57,264,135
1627871036599,57,264,136
1627871036926,57,267,136
1627871037034,57,267,136
1627871037451,58,269,136
1627871037509,58,269,136
1627871037785,58,269,136
1627871038811,58,271,136
1627871038876,58,271,136
1627871038954,58,271,136
1627871039438,58,274,136
1627871039805,58,274,136
1627871039913,58,274,136
1627871040272,58,274,136
1627871040653,58,277,137
1627871040815,58,277,137
1627871041039,58,277,137
1627871041213,58,277,137
1627871041399,58,277,138
1627871041701,58,280,139
1627871041754,58,280,139
1627871041829,58,280,139
1627871042505,58,283,139
1627871042844,58,283,139
1627871043308,58,283,139
1627871043359,58,283,139
1627871043662,58,286,140
1627871043850,58,286,140
1627871044166,58,286,140
1627871044273,58,286,140
1627871044444,58,286,141
1627871044680,58,286,142
1627871045082,58,289,143
1627871045174,58,289,143
1627871045491,59,291,143
1627871045875,59,291,143
1627871046113,59,291,143
1627871046492,59,294,143
1627871046898,59,294,143
1627871047356,59,294,143
1627871047505,59,297,143
1627871047829,59,297,143
1627871048068,59,297,144
1627871048339,59,297,147
1627871048834,59,300,148
1627871048914,59,300,148
1627871049560,60,302,148
1627871049920,60,302,148
1627871050056,60,302,148
1627871050161,60,302,148
1627871050728,60,304,149
1627871050805,60,304,149
1627871050929,60,304,149
1627871050988,60,304,149
1627871051197,60,304,150
1627871051633,60,307,151
1627871051945,60,307,151
1627871052265,60,307,151
1627871052365,60,307,151
1627871052616,60,307,152
1627871052872,60,307,153
1627871053279,60,310,154
1627871053379,60,310,154
1627871053639,61,312,154
1627871054579,63,312,154
1627871054858,63,312,171
1627871055062,63,312,172
1627871055773,63,315,173
1627871055982,63,315,173
1627871056631,64,317,173
1627871056989,64,317,173
1627871057674,65,319,173
1627871057998,65,319,173
1627871058629,66,321,173
1627871059023,66,321,173
1627871059650,67,323,173
1627871059960,67,323,173
1627871060177,67,323,174
1627871060427,67,323,175
1627871060626,67,323,176
1627871060835,67,323,177
1627871061014,67,323,178
1627871061329,67,326,178
1627871061393,67,326,178
1627871061557,67,326,178
1627871062051,67,326,178
1627871062680,67,330,178
1627871063057,67,330,178
1627871063177,67,330,178
1627871063254,67,330,178
1627871063521,67,330,178
1627871063837,67,334,179
1627871063887,67,334,179
1627871064068,67,334,179
1627871064534,67,334,179
1627871064733,67,338,179
1627871065073,67,338,179
1627871065692,69,340,179
1627871065912,69,340,179
1627871066673,69,342,179
1627871067083,69,342,179
1627871067719,71,344,179
1627871068095,71,344,179
1627871068411,71,344,179
1627871068513,71,344,179
1627871068610,71,344,179
1627871068859,71,344,180
1627871069210,71,348,181
1627871069269,71,348,181
1627871069945,73,350,181
1627871070022,73,350,181
1627871070120,73,350,181
1627871070747,74,353,181
1627871071124,74,353,181
1627871071819,76,355,181
1627871072139,76,355,181
1627871072610,76,355,181
1627871072813,76,358,181
1627871073148,76,358,181
1627871073785,77,360,181
1627871074156,77,360,181
1627871074831,78,362,181
1627871075161,78,362,181
1627871075777,79,364,181
1627871076165,79,364,181
1627871076484,79,364,181
1627871076593,79,364,181
1627871076803,79,364,182
1627871077028,79,364,183
1627871077361,79,367,184
1627871077429,79,367,184
1627871077487,79,367,184
1627871077744,79,367,185
1627871078206,79,370,186
1627871078280,79,370,186
1627871078437,79,370,186
1627871078818,79,373,186
1627871079215,79,373,186
1627871079849,80,375,186
1627871080224,80,375,186
1627871080846,81,376,186
1627871081005,81,376,208
1627871081375,81,376,209
1627871081557,81,376,210
1627871082067,81,378,211
1627871082237,81,378,211
1627871082865,83,380,211
1627871083246,83,380,211
1627871083886,85,382,211
1627871084251,85,382,211
1627871084671,85,382,211
1627871084893,86,383,211
1627871085616,86,383,211
1627871086443,87,385,211
1627871086592,87,385,211
1627871086714,87,385,211
1627871086889,87,388,211
1627871086959,87,388,211
1627871087283,87,388,211
1627871087370,87,388,211
1627871087897,87,392,211
1627871087981,87,392,211
1627871088143,87,392,211
1627871088308,87,392,212
1627871088476,87,392,213
1627871088637,87,392,214
1627871088946,87,392,214
1627871089180,87,392,214
1627871089543,87,396,215
1627871089678,87,396,215
1627871089739,87,396,215
1627871089869,87,396,215
1627871090195,87,400,216
1627871090965,90,401,216
1627871091166,90,401,217
1627871091454,90,401,218
1627871092081,90,405,219
1627871094246,93,406,219
1627871094420,96,407,219
1627871094482,96,407,219
1627871094536,96,407,219
1627871094965,97,410,219
1627871095350,97,410,219
1627871095592,97,410,291
1627871095768,97,410,295
1627871096116,97,414,296
1627871096369,97,414,296
1627871096448,97,414,296
1627871096512,97,414,296
1627871096590,97,414,296
1627871096847,97,414,296
1627871097102,97,419,296
1627871097154,97,419,296
1627871097208,97,419,296
1627871097255,97,419,296
1627871097328,97,419,296
1627871097388,97,419,296
1627871097518,97,419,296
1627871097671,97,419,296
1627871097807,97,419,296
1627871097991,97,419,296
1627871098175,97,419,296
1627871098357,97,419,296
1627871098551,97,419,296
1627871098773,97,419,297
1627871099093,97,419,298
1627871099153,97,419,298
1627871099345,97,419,299
1627871099518,97,419,301
1627871099683,97,419,302
1627871100015,97,424,303
1627871100083,97,424,303
1627871100319,100,426,303
1627871100369,100,426,303
1627871100892,100,426,303
1627871101002,100,426,303
1627871101087,100,426,303
1627871101176,100,426,303
1627871101408,100,426,303
1627871101717,100,426,303
1627871101818,100,426,303
1627871102001,100,426,303
1627871102289,100,426,303
1627871102454,100,426,303
1627871102686,100,426,303
1627871103141,102,429,303
1627871103407,102,429,303
1627871103462,102,429,303
1627871104106,105,431,303
1627871105076,109,432,303
1627871105495,109,432,303
1627871106172,112,433,303
1627871106336,112,433,365
1627871106622,112,433,366
1627871107346,112,438,367
1627871107525,112,438,367
1627871108195,116,440,367
1627871108533,116,440,367
1627871108851,116,440,367
1627871108954,116,440,367
1627871109009,116,440,367
1627871109059,116,440,367
1627871109240,116,444,367
1627871109556,116,444,367
1627871110229,120,446,367
1627871110559,120,446,367
1627871110792,120,446,367
1627871110946,120,446,367
1627871111237,120,446,367
1627871111306,120,446,367
1627871111355,120,446,367
1627871111406,120,446,367
1627871111470,120,446,367
1627871111525,120,446,367
1627871111598,120,446,367
1627871111751,120,446,367
1627871111928,120,446,367
1627871112092,120,446,367
1627871112268,120,446,368
1627871112451,120,446,369
1627871112620,120,446,370
1627871112799,120,446,371
1627871112966,120,446,372
1627871113143,120,446,373
1627871113459,120,446,374
1627871113497,120,446,374
1627871113547,120,446,374
1627871113839,121,451,374
1627871113895,121,451,374
1627871114324,125,453,374
1627871114383,125,453,374
1627871114614,125,453,374
1627871115260,128,456,374
1627871115611,128,456,374
1627871115667,128,456,374
