"Time","unused terminations","success termination","immediate termination"
2021-07-29 14:47:10,,,
2021-07-29 14:47:20,,,
2021-07-29 14:47:30,,,
2021-07-29 14:47:40,,,
2021-07-29 14:47:50,,,
2021-07-29 14:48:00,,,
2021-07-29 14:48:10,,,
2021-07-29 14:48:20,,,
2021-07-29 14:48:30,,,
2021-07-29 14:48:40,,,
2021-07-29 14:48:50,,,
2021-07-29 14:49:00,,,
2021-07-29 14:49:10,,,
2021-07-29 14:49:20,,,
2021-07-29 14:49:30,,,
2021-07-29 14:49:40,,,
2021-07-29 14:49:50,,,
2021-07-29 14:50:00,,,
2021-07-29 14:50:10,,,
2021-07-29 14:50:20,,,
2021-07-29 14:50:30,,,
2021-07-29 14:50:40,,,
2021-07-29 14:50:50,,,
2021-07-29 14:51:00,,,
2021-07-29 14:51:10,,,
2021-07-29 14:51:20,,,
2021-07-29 14:51:30,,,
2021-07-29 14:51:40,,,
2021-07-29 14:51:50,,,
2021-07-29 14:52:00,,,
2021-07-29 14:52:10,,,
2021-07-29 14:52:20,,,
2021-07-29 14:52:30,,,
2021-07-29 14:52:40,,,
2021-07-29 14:52:50,,,
2021-07-29 14:53:00,,,
2021-07-29 14:53:10,,,
2021-07-29 14:53:20,,,
2021-07-29 14:53:30,,,
2021-07-29 14:53:40,,,
2021-07-29 14:53:50,,,
2021-07-29 14:54:00,,,
2021-07-29 14:54:10,,,
2021-07-29 14:54:20,,,
2021-07-29 14:54:30,,,
2021-07-29 14:54:40,,,
2021-07-29 14:54:50,,,
2021-07-29 14:55:00,,,
2021-07-29 14:55:10,,,
2021-07-29 14:55:20,,,
2021-07-29 14:55:30,,,
2021-07-29 14:55:40,,,
2021-07-29 14:55:50,,,
2021-07-29 14:56:00,,,
2021-07-29 14:56:10,,,
2021-07-29 14:56:20,,,
2021-07-29 14:56:30,,,
2021-07-29 14:56:40,,,
2021-07-29 14:56:50,,,
2021-07-29 14:57:00,,,
2021-07-29 14:57:10,,,
2021-07-29 14:57:20,,,
2021-07-29 14:57:30,,,
2021-07-29 14:57:40,,,
2021-07-29 14:57:50,,,
2021-07-29 14:58:00,,,
2021-07-29 14:58:10,,,
2021-07-29 14:58:20,,,
2021-07-29 14:58:30,,,
2021-07-29 14:58:40,,,
2021-07-29 14:58:50,,,
2021-07-29 14:59:00,,,
2021-07-29 14:59:10,,,
2021-07-29 14:59:20,,,
2021-07-29 14:59:30,,,
2021-07-29 14:59:40,,,
2021-07-29 14:59:50,,,
2021-07-29 15:00:00,,,
2021-07-29 15:00:10,,,
2021-07-29 15:00:20,,,
2021-07-29 15:00:30,,,
2021-07-29 15:00:40,,,
2021-07-29 15:00:50,,,
2021-07-29 15:01:00,,,
2021-07-29 15:01:10,,,
2021-07-29 15:01:20,,,
2021-07-29 15:01:30,,,
2021-07-29 15:01:40,,,
2021-07-29 15:01:50,,,
2021-07-29 15:02:00,,,
2021-07-29 15:02:10,,,
2021-07-29 15:02:20,,,
2021-07-29 15:02:30,,,
2021-07-29 15:02:40,,,
2021-07-29 15:02:50,,,
2021-07-29 15:03:00,,,
2021-07-29 15:03:10,,,
2021-07-29 15:03:20,,,
2021-07-29 15:03:30,,,
2021-07-29 15:03:40,,,
2021-07-29 15:03:50,,,
2021-07-29 15:04:00,,,
2021-07-29 15:04:10,,,
2021-07-29 15:04:20,,,
2021-07-29 15:04:30,,,
2021-07-29 15:04:40,,,
2021-07-29 15:04:50,,,
2021-07-29 15:05:00,,,
2021-07-29 15:05:10,,,
2021-07-29 15:05:20,,,
2021-07-29 15:05:30,,,
2021-07-29 15:05:40,,,
2021-07-29 15:05:50,,,
2021-07-29 15:06:00,,,
2021-07-29 15:06:10,,,
2021-07-29 15:06:20,,,
2021-07-29 15:06:30,,,
2021-07-29 15:06:40,,,
2021-07-29 15:06:50,,,
2021-07-29 15:07:00,,,
2021-07-29 15:07:10,,,
2021-07-29 15:07:20,,,
2021-07-29 15:07:30,,,
2021-07-29 15:07:40,,,
2021-07-29 15:07:50,,,
2021-07-29 15:08:00,,,
2021-07-29 15:08:10,,,
2021-07-29 15:08:20,,,
