"Time","Total Util Rate","Chameleon Utl Rate","OSG Utl Rate"
2021-07-29 15:26:45,6.20,1.09,5.11
2021-07-29 15:26:50,35.4,0.730,34.7
2021-07-29 15:26:55,71.5,1.82,70.1
2021-07-29 15:27:00,96.4,0,96.0
2021-07-29 15:27:05,99.6,2.55,98.2
2021-07-29 15:27:10,99.3,0,100
2021-07-29 15:27:15,99.6,1.82,98.2
2021-07-29 15:27:20,99.3,0.365,98.9
2021-07-29 15:27:25,99.3,2.92,96.7
2021-07-29 15:27:30,100,4.38,95.3
2021-07-29 15:27:35,98.9,2.92,96.7
2021-07-29 15:27:40,99.6,4.74,95.3
2021-07-29 15:27:45,99.6,7.66,92.3
2021-07-29 15:27:50,98.9,7.30,92.3
2021-07-29 15:27:55,99.3,10.9,89.1
2021-07-29 15:28:00,99.3,12.0,88.0
2021-07-29 15:28:05,98.5,7.30,92.7
2021-07-29 15:28:10,98.9,8.76,91.2
2021-07-29 15:28:15,99.3,6.93,93.1
2021-07-29 15:28:20,99.3,7.66,92.3
2021-07-29 15:28:25,99.6,19.7,80.3
2021-07-29 15:28:30,99.3,20.1,79.2
2021-07-29 15:28:35,98.9,14.2,85.8
2021-07-29 15:28:40,98.5,14.2,85.8
2021-07-29 15:28:45,99.3,14.2,85.8
2021-07-29 15:28:50,100,14.2,85.4
2021-07-29 15:28:55,99.3,13.5,86.5
2021-07-29 15:29:00,99.6,16.1,83.2
2021-07-29 15:29:05,98.9,14.2,85.8
2021-07-29 15:29:10,99.3,15.7,84.3
2021-07-29 15:29:15,98.2,12.8,87.2
2021-07-29 15:29:20,99.6,11.7,88.3
2021-07-29 15:29:25,99.3,12.8,86.9
2021-07-29 15:29:30,99.6,17.5,82.5
2021-07-29 15:29:35,99.6,17.5,83.2
2021-07-29 15:29:40,99.6,15.0,84.7
2021-07-29 15:29:45,99.6,11.7,88.0
2021-07-29 15:29:50,98.9,4.01,95.3
2021-07-29 15:29:55,96.4,1.82,94.2
2021-07-29 15:30:00,99.3,4.38,95.6
2021-07-29 15:30:05,99.3,5.11,94.5
2021-07-29 15:30:10,98.9,10.9,88.7
2021-07-29 15:30:15,99.6,8.39,91.2
2021-07-29 15:30:20,99.3,12.8,87.2
2021-07-29 15:30:25,99.6,10.6,89.4
2021-07-29 15:30:30,99.6,12.0,86.9
2021-07-29 15:30:35,99.3,20.8,78.8
2021-07-29 15:30:40,100,49.6,50
2021-07-29 15:30:45,99.6,53.6,46.4
2021-07-29 15:30:50,88.7,55.1,33.6
2021-07-29 15:30:55,91.2,36.9,54.4
2021-07-29 15:31:00,98.9,59.5,39.4
2021-07-29 15:31:05,99.3,78.1,21.5
2021-07-29 15:31:10,87.6,47.1,40.5
2021-07-29 15:31:15,86.1,25.2,62.0
2021-07-29 15:31:20,99.6,51.8,47.8
2021-07-29 15:31:25,99.6,58.4,41.6
2021-07-29 15:31:30,85.4,25.9,59.9
2021-07-29 15:31:35,100,20.8,78.1
2021-07-29 15:31:40,99.3,18.2,81.4
2021-07-29 15:31:45,98.5,6.20,93.4
2021-07-29 15:31:50,98.9,23.0,77.0
2021-07-29 15:31:55,98.5,6.57,90.9
2021-07-29 15:32:00,98.9,4.38,95.3
2021-07-29 15:32:05,98.9,2.19,97.8
2021-07-29 15:32:10,98.5,4.01,96.0
2021-07-29 15:32:15,98.5,23.7,76.3
2021-07-29 15:32:20,99.6,24.5,75.2
2021-07-29 15:32:25,99.3,28.5,71.5
2021-07-29 15:32:30,98.9,29.2,70.8
2021-07-29 15:32:35,99.6,34.3,65.7
2021-07-29 15:32:40,98.9,31.4,69.0
2021-07-29 15:32:45,98.9,28.1,71.9
2021-07-29 15:32:50,99.3,51.5,48.5
2021-07-29 15:32:55,98.5,67.5,32.5
2021-07-29 15:33:00,99.3,75.5,24.5
2021-07-29 15:33:05,93.8,46.4,47.4
2021-07-29 15:33:10,99.6,39.1,60.9
2021-07-29 15:33:15,97.1,31.4,67.2
2021-07-29 15:33:20,99.6,27.7,71.9
2021-07-29 15:33:25,99.6,25.2,76.6
2021-07-29 15:33:30,98.5,5.84,96.0
2021-07-29 15:33:35,99.6,21.9,77.7
2021-07-29 15:33:40,98.5,35.0,65.0
2021-07-29 15:33:45,97.4,39.8,56.2
2021-07-29 15:33:50,98.5,36.9,60.2
2021-07-29 15:33:55,98.9,41.6,58.4
2021-07-29 15:34:00,97.4,52.6,46.7
2021-07-29 15:34:05,98.5,61.3,43.1
2021-07-29 15:34:10,96.7,54.4,43.8
2021-07-29 15:34:15,99.6,44.3,55.7
2021-07-29 15:34:20,98.9,59.0,41.0
2021-07-29 15:34:25,99.6,39.6,59.0
2021-07-29 15:34:30,98.9,25.3,71.8
2021-07-29 15:34:35,98.9,37.4,59.3
2021-07-29 15:34:40,97.8,36.6,60.8
2021-07-29 15:34:45,97.4,40.7,57.1
2021-07-29 15:34:50,86.1,20.9,65.2
2021-07-29 15:34:55,99.6,14.3,86.8
2021-07-29 15:35:00,99.6,8.42,91.2
2021-07-29 15:35:05,99.7,7.99,93.1
2021-07-29 15:35:10,99.0,32.6,67.0
2021-07-29 15:35:15,99.7,31.9,68.1
2021-07-29 15:35:20,99.7,29.9,69.8
2021-07-29 15:35:25,99.3,53.1,46.9
2021-07-29 15:35:30,97.2,24.0,73.3
2021-07-29 15:35:35,99.7,6.94,92.0
2021-07-29 15:35:40,99.3,16.7,83.3
2021-07-29 15:35:45,99.3,15.6,84.7
2021-07-29 15:35:50,99.7,61.0,38.7
2021-07-29 15:35:55,99.0,62.0,38.0
2021-07-29 15:36:00,98.6,60.6,39.4
2021-07-29 15:36:05,83.3,28.2,53.3
2021-07-29 15:36:10,99.0,33.8,65.5
2021-07-29 15:36:15,98.3,22.3,76.7
2021-07-29 15:36:20,99.0,22.0,78.4
2021-07-29 15:36:25,98.6,22.3,77.0
2021-07-29 15:36:30,99.3,21.6,77.7
2021-07-29 15:36:35,99.0,17.8,82.2
2021-07-29 15:36:40,95.5,8.71,86.8
2021-07-29 15:36:45,100,7.67,90.9
2021-07-29 15:36:50,97.9,3.48,96.2
2021-07-29 15:36:55,99.3,6.62,93.0
2021-07-29 15:37:00,99.0,7.67,92.3
2021-07-29 15:37:05,99.3,14.3,85.7
2021-07-29 15:37:10,99.6,43.9,56.1
2021-07-29 15:37:15,99.3,46.0,54.0
2021-07-29 15:37:20,97.9,28.8,71.2
2021-07-29 15:37:25,99.6,27.0,73.0
2021-07-29 15:37:30,99.3,27.7,71.6
2021-07-29 15:37:35,99.3,28.4,71.6
2021-07-29 15:37:40,99.6,26.0,74.0
2021-07-29 15:37:45,98.9,37.2,62.8
2021-07-29 15:37:50,98.9,38.2,61.8
2021-07-29 15:37:55,99.3,41.8,58.2
2021-07-29 15:38:00,97.5,33.7,66.3
2021-07-29 15:38:05,98.2,31.9,64.6
2021-07-29 15:38:10,99.6,31.2,69.5
2021-07-29 15:38:15,98.9,31.9,68.1
2021-07-29 15:38:20,96.5,18.9,76.5
2021-07-29 15:38:25,99.6,20.4,79.6
2021-07-29 15:38:30,99.3,26.0,74.0
2021-07-29 15:38:35,99.3,30.2,69.8
2021-07-29 15:38:40,99.6,33.7,66.0
2021-07-29 15:38:45,99.6,34.0,66.0
2021-07-29 15:38:50,98.9,22.8,77.2
2021-07-29 15:38:55,99.3,21.1,77.2
2021-07-29 15:39:00,99.3,25.3,75.8
2021-07-29 15:39:05,99.3,26.3,75.4
2021-07-29 15:39:10,98.9,38.2,61.4
2021-07-29 15:39:15,99.3,23.9,76.1
2021-07-29 15:39:20,99.3,25.3,74.4
2021-07-29 15:39:25,99.3,23.2,76.8
2021-07-29 15:39:30,99.3,24.6,75.4
2021-07-29 15:39:35,99.3,23.2,77.5
2021-07-29 15:39:40,98.9,22.5,77.5
2021-07-29 15:39:45,98.9,21.8,77.5
2021-07-29 15:39:50,99.6,27.4,72.6
2021-07-29 15:39:55,99.3,25.6,72.3
2021-07-29 15:40:00,95.1,30.5,63.5
2021-07-29 15:40:05,98.6,32.3,67.7
2021-07-29 15:40:10,95.1,16.1,78.6
2021-07-29 15:40:15,99.6,23.2,76.8
2021-07-29 15:40:20,99.3,27.4,72.3
2021-07-29 15:40:25,99.3,24.9,75.1
2021-07-29 15:40:30,98.6,26.7,73.3
2021-07-29 15:40:35,99.3,30.2,68.8
2021-07-29 15:40:40,96.8,28.8,71.2
2021-07-29 15:40:45,99.3,31.2,68.4
2021-07-29 15:40:50,98.2,20.4,79.3
2021-07-29 15:40:55,99.3,21.1,79.6
2021-07-29 15:41:00,98.9,45.3,55.8
2021-07-29 15:41:05,98.9,51.6,48.4
2021-07-29 15:41:10,99.6,33.7,66.0
2021-07-29 15:41:15,97.2,20.7,79.3
