"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627870852511,22,0,0
1627870853408,66,1,17
1627870853707,65,2,17
1627870854108,244,1,17
1627870854424,255,2,17
1627870854621,255,2,17
1627870855111,255,2,17
1627870855655,255,2,17
1627870856126,253,2,19
1627870856638,228,2,44
1627870857634,193,2,79
1627870858645,174,2,98
1627870859641,141,2,131
1627870860645,119,1,154
1627870861670,94,1,179
1627870862283,75,1,198
1627870862676,65,0,209
1627870863197,48,0,226
1627870863540,39,0,235
1627870863737,30,1,243
1627870863948,21,2,251
1627870864084,20,3,251
1627870864230,19,4,251
1627870864448,6,6,262
1627870864686,4,3,267
1627870865176,0,3,271
1627870865690,0,3,271
1627870866184,0,3,271
1627870866514,0,1,273
1627870866688,0,2,272
1627870866871,0,2,272
1627870867084,0,3,271
1627870867302,0,4,270
1627870867491,1,3,270
1627870867726,0,0,274
1627870868210,0,0,274
1627870868722,0,0,274
1627870869736,0,0,274
1627870870116,1,0,273
1627870870311,0,1,273
1627870870541,0,2,272
1627870870748,0,3,271
1627870870906,0,4,270
1627870871139,0,5,269
1627870871290,0,5,269
1627870871477,0,6,268
1627870871751,0,5,269
1627870872245,0,5,269
1627870872759,0,5,269
1627870873239,0,5,269
1627870873759,0,5,269
1627870874282,0,5,269
1627870874578,0,6,268
1627870874774,0,7,267
1627870874956,0,7,267
1627870875147,0,7,267
1627870875360,2,6,266
1627870875791,0,5,269
1627870876285,0,5,269
1627870876787,0,5,269
1627870877276,0,5,269
1627870877806,0,5,269
1627870878304,0,4,270
1627870878813,0,0,274
1627870879299,0,0,274
1627870879807,1,0,273
1627870880311,0,0,274
1627870880474,0,1,273
1627870880818,0,1,273
1627870881321,0,1,273
1627870881841,0,1,273
1627870882336,0,1,273
1627870882647,0,2,272
1627870882825,0,3,271
1627870883007,0,3,271
1627870883222,0,4,270
1627870883898,0,5,269
1627870884086,2,3,269
1627870884276,0,2,272
1627870884467,0,2,272
1627870884877,0,1,273
1627870885386,0,1,273
1627870885872,0,1,273
1627870886359,0,1,273
1627870886882,0,1,273
1627870887383,0,1,273
1627870887886,0,1,273
1627870888380,0,1,273
1627870888881,0,1,273
1627870889384,0,1,273
1627870889894,0,1,273
1627870890389,0,1,273
1627870890707,0,2,272
1627870890917,0,3,271
1627870891049,0,3,271
1627870891234,0,4,270
1627870891433,1,4,269
1627870891623,1,2,271
1627870891912,0,1,273
1627870892743,0,1,273
1627870892909,0,2,272
1627870893116,0,3,271
1627870893282,0,4,270
1627870893479,0,5,269
1627870893679,2,3,269
1627870893910,1,2,271
1627870894094,0,2,272
1627870894280,0,9,265
1627870894483,0,9,265
1627870894952,0,8,266
1627870895447,0,8,266
1627870895953,0,8,266
1627870896459,0,8,266
1627870896965,0,8,266
1627870897457,0,8,266
1627870897973,0,8,266
1627870898473,1,8,265
1627870898783,0,9,265
1627870898983,0,10,264
1627870899171,0,10,264
1627870899383,0,11,263
1627870899612,1,11,262
1627870900051,0,9,265
1627870900267,0,9,265
1627870900497,1,8,265
1627870901015,0,8,266
1627870901490,0,8,266
1627870901679,0,9,265
1627870902025,0,9,265
1627870902213,0,10,264
1627870902519,0,10,264
1627870903020,0,10,264
1627870903514,0,10,264
1627870904023,0,10,264
1627870904526,0,10,264
1627870905036,0,10,264
1627870905547,0,10,264
1627870906046,0,10,264
1627870906554,0,10,264
