"Time","unused terminations","success termination","immediate termination"
1627860870323,0,0,0
1627860870626,0,0,0
1627860870825,0,0,0
1627860871194,0,0,0
1627860871580,0,0,0
1627860871814,0,0,0
1627860872225,0,0,0
1627860872739,0,0,0
1627860873236,0,0,0
1627860873733,0,0,0
1627860875243,0,0,0
1627860875755,0,0,0
1627860876783,0,0,0
1627860877781,0,0,0
1627860878795,0,0,0
1627860879423,0,0,0
1627860879790,0,0,0
1627860880295,0,0,0
1627860880637,0,0,0
1627860880788,0,0,0
1627860880943,0,0,0
1627860881082,0,0,0
1627860881243,0,0,0
1627860881417,0,0,0
1627860881812,0,0,0
1627860882297,0,0,0
1627860882845,0,0,0
1627860883304,0,0,0
1627860883636,0,0,0
1627860883782,0,0,0
1627860884065,0,0,0
1627860884283,0,0,0
1627860884460,0,0,0
1627860884660,0,0,0
1627860884849,0,0,0
1627860885353,0,0,0
1627860885849,0,0,0
1627860886867,0,0,0
1627860887246,0,0,0
1627860887528,0,0,0
1627860887763,0,0,0
1627860887996,0,0,0
1627860888203,0,0,0
1627860888396,0,0,0
1627860888556,0,0,0
1627860888724,0,0,0
1627860888892,0,0,0
1627860889431,0,0,0
1627860889952,0,0,0
1627860890386,0,0,0
1627860890935,0,0,0
1627860891437,0,0,0
1627860891739,0,0,0
1627860891936,0,0,0
1627860892170,0,0,0
1627860892363,0,0,0
1627860892512,0,0,0
1627860892949,0,0,0
1627860893396,0,0,0
1627860893948,0,0,0
1627860894505,0,0,0
1627860894938,0,0,0
1627860895449,0,0,0
1627860895952,0,0,0
1627860896452,0,0,0
1627860896950,0,0,0
1627860897454,0,0,0
1627860897649,0,0,0
1627860897969,0,0,0
1627860898441,0,0,0
1627860899018,0,0,0
1627860899469,0,0,0
1627860899822,0,0,0
1627860900058,0,0,0
1627860900253,0,0,0
1627860900447,0,0,0
1627860901039,0,0,0
1627860901235,0,0,0
1627860901380,0,0,0
1627860901588,0,0,0
1627860902011,0,0,0
1627860902519,0,0,0
1627860903016,0,0,0
1627860903460,0,0,0
1627860904018,0,0,0
1627860904514,0,0,0
1627860905041,0,0,0
1627860905513,0,0,0
1627860906149,0,0,0
1627860906535,0,0,0
1627860907015,0,0,0
1627860907535,0,0,0
1627860907798,0,0,0
1627860907963,0,0,0
1627860908154,0,0,0
1627860908330,0,0,0
1627860908522,0,0,0
1627860908719,0,0,0
1627860909045,0,0,0
1627860909871,0,0,0
1627860910087,0,0,0
1627860910206,0,0,0
1627860910380,0,0,0
1627860910572,0,0,0
1627860910796,0,0,0
1627860911093,0,0,0
1627860911382,0,0,0
1627860911570,0,0,0
1627860911766,0,0,0
1627860912085,0,0,0
1627860912577,0,0,0
1627860913087,0,0,0
1627860913579,0,0,0
1627860914089,0,0,0
1627860914607,0,0,0
1627860915149,0,0,0
1627860915602,0,0,0
1627860915909,0,0,0
1627860916109,0,0,0
1627860916314,0,0,0
1627860916514,0,0,0
1627860916718,0,0,0
1627860916946,0,0,0
1627860917207,0,0,0
1627860917675,0,0,0
1627860918107,0,0,0
1627860918649,0,0,0
1627860918825,0,0,0
1627860919126,0,0,0
1627860919365,0,0,0
1627860919667,0,0,0
1627860920243,0,0,0
1627860920642,0,0,0
1627860921146,0,0,0
1627860921644,0,0,0
1627860922172,0,0,0
1627860922666,0,0,0
1627860923190,0,0,0
1627860923683,0,0,0
1627860924113,0,0,0
1627860924278,0,0,0
1627860925297,0,0,0
1627860926206,1,1,0
1627860926363,1,1,0
1627860926647,1,1,0
1627860926848,1,1,1
1627860927086,1,1,2
1627860927444,1,3,3
1627860927574,1,3,3
1627860928210,1,5,3
1627860928582,1,5,3
1627860929194,1,7,3
1627860929377,1,7,3
1627860929590,1,7,3
1627860930221,1,9,3
1627860930597,1,9,3
1627860931224,1,11,3
1627860931599,1,11,3
1627860932107,1,11,3
1627860932292,1,11,4
1627860932494,1,11,5
1627860932685,1,11,6
1627860933004,1,13,7
1627860933254,1,13,7
1627860933493,1,15,7
1627860933625,1,15,7
1627860934291,1,16,7
1627860934634,1,16,7
1627860934754,1,16,7
1627860935462,1,18,8
1627860935642,1,18,8
1627860936290,1,20,8
1627860936649,1,20,8
1627860936909,1,20,8
1627860937077,1,20,9
1627860937591,1,22,10
1627860937656,1,22,10
1627860938305,1,24,10
1627860938666,1,24,10
1627860939322,1,26,10
1627860939669,1,26,10
1627860939986,1,26,10
1627860940236,1,26,11
1627860940433,1,26,12
1627860940668,1,26,13
1627860941001,1,28,14
1627860941077,1,28,14
1627860941366,1,30,14
1627860941535,1,30,20
1627860941832,1,30,21
1627860942478,1,32,22
1627860942699,1,32,22
1627860942817,1,32,22
1627860943060,1,32,23
1627860943464,1,34,24
1627860943531,1,34,24
1627860943710,1,34,24
1627860944362,1,37,24
1627860944715,1,37,24
1627860945318,1,39,24
1627860945723,1,39,24
1627860946421,1,40,24
1627860946731,1,40,24
1627860947381,1,42,24
1627860947737,1,42,24
1627860948061,1,42,24
1627860948252,1,42,24
1627860948423,1,42,25
1627860948584,1,42,26
1627860948850,1,44,26
1627860948935,1,44,26
1627860949417,1,46,26
1627860949763,1,46,26
1627860950380,1,48,26
1627860950771,1,48,26
1627860951424,1,50,26
1627860951782,1,50,26
1627860952428,1,52,26
1627860952788,1,52,26
1627860953388,1,52,26
1627860953536,1,54,26
1627860953800,1,54,26
1627860954398,1,56,26
