"Time","running","pending","completed"
1627860869988,11,361,1
1627860870355,25,700,2
1627860870366,24,700,3
1627860870368,23,700,5
1627860870380,22,700,6
1627860870381,22,722,7
1627860870382,21,722,8
1627860870386,20,731,10
1627860870389,19,734,10
1627860870394,16,742,12
1627860870395,18,737,12
1627860870480,23,812,15
1627860870483,22,815,15
1627860870489,21,819,17
1627860870491,21,819,17
1627860870493,20,819,18
1627860870569,25,888,20
1627860870572,24,891,21
1627860870580,22,900,22
1627860870582,23,891,22
1627860870586,21,903,24
1627860870587,20,903,24
1627860870594,20,911,25
1627860870692,27,991,26
1627860870696,26,998,31
1627860870703,25,1005,34
1627860870704,24,1005,34
1627860870708,23,1008,34
1627860870710,20,1011,34
1627860870711,21,1008,34
1627860870829,20,1108,36
1627860870842,19,1111,36
1627860870846,18,1123,40
1627860870852,17,1123,40
1627860870854,16,1123,40
1627860870855,15,1123,40
1627860870857,14,1123,43
1627860870860,12,1123,43
1627860870868,11,1146,46
1627860870871,9,1149,46
1627860870957,8,1240,47
1627860871215,7,1488,48
1627860871359,6,1617,49
1627860871368,5,1622,53
1627860871372,2,1624,53
1627860871373,4,1624,53
1627860871375,1,1629,54
1627860871573,0,1814,55
1627860873702,30,3624,56
1627860873845,50,3773,57
1627860873943,65,3865,59
1627860873950,66,3865,60
1627860873959,66,3879,60
1627860873963,66,3881,61
1627860873985,67,3913,62
1627860874085,81,3885,66
1627860874087,79,3885,63
1627860874093,81,3885,66
1627860874104,82,3886,66
1627860874120,82,3940,67
1627860874250,98,4051,69
1627860874266,98,4072,70
1627860874314,101,4073,74
1627860874327,100,4073,75
1627860874335,99,4073,75
1627860874346,101,4073,77
1627860874353,101,4073,77
1627860874381,106,4161,79
1627860874414,108,4211,81
1627860874527,123,4313,82
1627860874540,122,4331,83
1627860874546,121,4331,84
1627860874557,120,4344,85
1627860874558,119,4348,87
1627860874563,118,4347,87
1627860874575,117,4355,89
1627860874590,115,4363,91
1627860874595,117,4373,93
1627860874599,116,4361,92
1627860874614,117,4372,93
1627860874642,118,4293,94
1627860874669,125,4293,96
1627860874674,126,4293,96
1627860874693,127,4293,98
1627860874702,126,4293,100
1627860874708,125,4293,100
1627860874712,126,4293,100
1627860874742,129,4293,104
1627860874743,129,4293,104
1627860874760,130,4294,105
1627860874771,130,4293,104
1627860874777,129,4295,105
1627860874943,157,4599,106
1627860875276,202,4842,108
1627860875277,201,4842,109
1627860875286,200,4842,109
1627860875296,198,4842,113
1627860875299,197,4842,113
1627860875303,199,4842,113
1627860875318,196,4872,116
1627860875319,195,4872,116
1627860875320,194,4872,116
1627860875345,196,4892,117
1627860875363,202,4896,118
1627860875401,207,4940,119
1627860875425,210,4940,121
1627860875439,209,4987,122
1627860875449,210,4987,126
1627860875451,208,4987,126
1627860875454,208,4987,126
1627860875512,210,5068,127
1627860875518,210,5073,128
1627860875634,221,5184,130
1627860875636,220,5190,130
1627860875641,219,5194,132
1627860875650,217,5201,133
1627860875658,218,5193,133
1627860875664,216,5203,135
1627860875665,215,5203,135
1627860875724,220,5219,137
1627860875734,219,5219,136
1627860875736,220,5216,140
1627860875737,219,5216,140
1627860875739,218,5216,140
1627860875763,220,5132,141
1627860875779,220,5214,143
1627860875789,223,5238,147
1627860875794,222,5238,147
1627860875800,222,5238,147
1627860875815,221,5238,147
1627860875855,229,5285,149
1627860875867,229,5285,152
1627860875869,229,5285,152
1627860875878,229,5285,153
1627860875885,230,5285,155
1627860875894,231,5285,155
1627860875901,232,5285,155
1627860875922,234,5360,158
1627860875933,234,5360,158
1627860875936,235,5360,158
1627860875981,237,5360,160
1627860876008,236,5360,160
1627860876016,240,5441,163
1627860876041,240,5442,163
1627860876048,238,5477,167
1627860876051,239,5442,163
1627860876053,239,5477,167
1627860876055,240,5477,168
1627860876056,239,5477,169
1627860876062,239,5477,170
1627860876070,237,5477,167
1627860876080,241,5509,170
1627860876120,244,5548,171
1627860876134,244,5575,173
1627860876163,244,5577,175
1627860876168,243,5577,176
1627860876169,242,5577,177
1627860876173,244,5577,173
1627860876191,244,5577,177
1627860876199,244,5577,180
1627860876209,244,5577,180
1627860876222,245,5653,182
1627860876228,247,5660,182
1627860876230,247,5660,182
1627860876264,249,5684,184
1627860876278,249,5703,184
1627860876293,255,5703,187
1627860876296,255,5702,188
1627860876298,254,5702,189
1627860876299,253,5702,189
1627860876302,252,5701,189
1627860876310,251,5700,191
1627860876313,250,5741,191
1627860876483,254,5739,193
1627860876493,253,5739,194
1627860876494,252,5739,194
1627860876497,252,5739,195
1627860876509,252,5913,196
1627860876522,251,5907,198
1627860876528,251,5907,200
1627860876533,250,5907,200
1627860876536,251,5907,200
1627860876548,251,5907,202
1627860876554,250,5902,202
1627860876578,249,5824,203
1627860876612,257,5824,205
1627860876621,257,5824,206
1627860876642,257,5935,207
1627860876656,257,5936,209
1627860876662,257,5958,209
1627860876671,257,5959,210
1627860876674,257,5958,209
1627860876693,258,5959,213
1627860876700,258,5996,213
1627860876701,257,5959,213
1627860876829,270,6084,215
1627860876843,272,6084,215
1627860876865,273,6084,217
1627860876881,277,6084,220
1627860876887,277,6084,220
1627860876926,282,6204,222
1627860876929,281,6204,222
1627860876947,282,6229,226
1627860876951,282,6229,227
1627860876955,283,6229,225
1627860876965,283,6229,227
1627860876968,282,6230,228
1627860876974,283,6266,228
1627860876977,282,6271,228
1627860876990,281,6276,229
1627860877010,283,6287,231
1627860877017,285,6287,231
1627860877041,286,6330,233
1627860877053,288,6341,234
1627860877055,287,6341,237
1627860877059,286,6341,237
1627860877065,285,6341,237
1627860877105,287,6388,241
1627860877112,286,6388,242
1627860877116,285,6388,242
1627860877117,286,6388,242
1627860877163,286,6382,245
1627860877170,285,6379,248
1627860877174,284,6379,250
1627860877182,283,6378,250
1627860877190,283,6377,250
1627860877192,281,6377,250
1627860877202,282,6377,250
1627860877216,285,6382,251
1627860877237,286,6400,253
1627860877252,288,6421,254
1627860877279,290,6443,254
1627860877309,295,6444,257
1627860877313,295,6477,260
1627860877323,293,6477,261
1627860877324,291,6477,261
1627860877328,290,6477,261
1627860877341,292,6503,263
1627860877363,292,6504,264
1627860877369,292,6503,263
1627860877397,294,6537,266
1627860877398,295,6537,266
1627860877429,295,6539,267
1627860877449,295,6539,268
1627860877451,296,6539,269
1627860877453,296,6539,272
1627860877478,298,6539,275
1627860877479,298,6539,275
1627860877487,297,6539,275
1627860877494,297,6539,275
1627860877534,302,6644,279
1627860877546,300,6678,280
1627860877550,301,6678,280
1627860877569,304,6683,282
1627860877584,304,6683,283
1627860877586,305,6683,284
1627860877588,305,6683,284
1627860877599,304,6683,285
1627860877630,307,6687,287
1627860877653,305,6690,288
1627860877711,310,6814,292
