EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",6106c68d7a3360919df1c725,"[{""GlobalJobId"":""login05_osgconnect_net#11324620_144#1624939308_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9861324635,""CompletionDate"":1624945603,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5989.050614,""JobPrio"":0,""JobStartDate"":1624991199,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1344736,""MemoryUsage"":1314.2177734375,""JobSimSubmitDate"":1627834059.294984,""JobSimStartDate"":1627835068.60028,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11324620_773#1624939309_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9947442907,""CompletionDate"":1624946063,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5728.566591,""JobPrio"":0,""JobStartDate"":1624991898,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1315404,""MemoryUsage"":1285.5732421875,""JobSimSubmitDate"":1627834059.295266,""JobSimStartDate"":1627835068.699488,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627834960.802487,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",6106c68d7a3360919df1c726,"[{""GlobalJobId"":""login05_osgconnect_net#11324620_774#1624939309_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1140880645,""CompletionDate"":1624945762,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5649.298236,""JobPrio"":0,""JobStartDate"":1624991697,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1351420,""MemoryUsage"":1320.7451171875,""JobSimSubmitDate"":1627834059.295223,""JobSimStartDate"":1627835068.656029,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11324620_377#1624939309_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.992889986,""CompletionDate"":1624945351,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5594.816557,""JobPrio"":0,""JobStartDate"":1624991341,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1435152,""MemoryUsage"":1402.5146484375,""JobSimSubmitDate"":1627834059.295183,""JobSimStartDate"":1627835068.691427,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627834960.4918199,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",6106c68d46c8ef6af3b86403,"[{""GlobalJobId"":""login05_osgconnect_net#11324361_8518#1624935083_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9929463033,""CompletionDate"":1624942258,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5349.74281,""JobPrio"":0,""JobStartDate"":1624988493,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1321884,""MemoryUsage"":1291.9013671875,""JobSimSubmitDate"":1627834059.194908,""JobSimStartDate"":1627835064.020495,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11324620_988#1624939309_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1100276321,""CompletionDate"":1624946637,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5743.750021,""JobPrio"":0,""JobStartDate"":1624992478,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1326616,""MemoryUsage"":1296.5224609375,""JobSimSubmitDate"":1627834059.295575,""JobSimStartDate"":1627835067.623598,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627834958.3980234,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",6106c68d46c8ef6af3b86404,"[{""GlobalJobId"":""login04_osgconnect_net#12257726_0#1624930785_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1658768532,""CompletionDate"":1624951953,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3332713,""DiskUsage_RAW"":43,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11040.564322,""JobPrio"":608,""JobStartDate"":1624992496,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1696668,""MemoryUsage"":1657.9013671875,""JobSimSubmitDate"":1627834059.295644,""JobSimStartDate"":1627835067.617216,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11324682_3374#1624956199_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9939453794,""CompletionDate"":1624957303,""CpusProvisioned"":1,""DiskProvisioned"":15986730,""DiskUsage"":24,""DiskUsage_RAW"":231268,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":73.525306,""JobPrio"":0,""JobStartDate"":1625008814,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":73980,""MemoryUsage"":73.2451171875,""JobSimSubmitDate"":1627834059.567494,""JobSimStartDate"":1627835072.729357,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125440,131072,compute_haswell,osg,1627834958.4396713,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",6106c68d7a3360919df1c727,"[{""GlobalJobId"":""login05_osgconnect_net#11326624_78#1624958668_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9839881458,""CompletionDate"":1624964774,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5851.096793,""JobPrio"":0,""JobStartDate"":1625010508,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1451480,""MemoryUsage"":1418.4599609375,""JobSimSubmitDate"":1627834059.568401,""JobSimStartDate"":1627835073.22925,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11326624_60#1624958668_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9957013308,""CompletionDate"":1624964759,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5512.373732,""JobPrio"":0,""JobStartDate"":1625010831,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1357412,""MemoryUsage"":1326.5966796875,""JobSimSubmitDate"":1627834059.662545,""JobSimStartDate"":1627835073.358163,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627834958.478826,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6106c68d46c8ef6af3b86405,"[{""GlobalJobId"":""login05_osgconnect_net#11326624_44#1624958668_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9784880461,""CompletionDate"":1624964776,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5865.639072,""JobPrio"":0,""JobStartDate"":1625010495,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1360680,""MemoryUsage"":1329.7880859375,""JobSimSubmitDate"":1627834059.567941,""JobSimStartDate"":1627835073.041343,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,1,128000,131072,compute_haswell,osg,1627834826.3264306,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",6106c68d7a3360919df1c728,"[{""GlobalJobId"":""login04_osgconnect_net#12257730_0#1624930785_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0880690268,""CompletionDate"":1624952523,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3344057,""DiskUsage_RAW"":43,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11041.675093,""JobPrio"":608,""JobStartDate"":1624993065,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1467064,""MemoryUsage"":1433.6787109375,""JobSimSubmitDate"":1627834059.295805,""JobSimStartDate"":1627835067.707929,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,1,129536,131072,compute_haswell,osg,1627834689.9124866,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",6106c68d7a3360919df1c729,"[{""GlobalJobId"":""login05_osgconnect_net#11323992_171#1624931450_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1696919241,""CompletionDate"":1624937072,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5023.571556,""JobPrio"":0,""JobStartDate"":1624983633,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1323568,""MemoryUsage"":1293.5458984375,""JobSimSubmitDate"":1627834059.134614,""JobSimStartDate"":1627835063.479111,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11324682_3062#1624952532_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0398155477,""CompletionDate"":1624973805,""CpusProvisioned"":1,""DiskProvisioned"":15986747,""DiskUsage"":37,""DiskUsage_RAW"":246,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":18918.774305,""JobPrio"":0,""JobStartDate"":1625006471,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":257736,""MemoryUsage"":252.6943359375,""JobSimSubmitDate"":1627834059.505531,""JobSimStartDate"":1627835072.556493,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627834657.7136042,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",6106c68d46c8ef6af3b86406,"[{""GlobalJobId"":""login04_osgconnect_net#12257735_0#1624930786_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9952386428,""CompletionDate"":1624952794,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3340345,""DiskUsage_RAW"":43,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11177.339178,""JobPrio"":608,""JobStartDate"":1624993181,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1661852,""MemoryUsage"":1623.9013671875,""JobSimSubmitDate"":1627834059.295841,""JobSimStartDate"":1627835067.971779,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11324620_113#1624939308_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9959030634,""CompletionDate"":1624945087,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5680.43442,""JobPrio"":0,""JobStartDate"":1624990990,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1352748,""MemoryUsage"":1322.0419921875,""JobSimSubmitDate"":1627834059.195244,""JobSimStartDate"":1627835068.252994,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627834949.7939873,inuse
UPDATE,2018-03-14 11:40:07,86528407,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",6106c68d7a3360919df1c72a,"[{""GlobalJobId"":""login04_osgconnect_net#12257657_0#1624930677_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.1831013582,""CompletionDate"":1624952720,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3339070,""DiskUsage_RAW"":45,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10887.282498,""JobPrio"":608,""JobStartDate"":1624993413,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1635144,""MemoryUsage"":1597.8193359375,""JobSimSubmitDate"":1627834059.295932,""JobSimStartDate"":1627835068.774311,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11325838_48#1624945940_round_6"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9976678669,""CompletionDate"":1624952137,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5852.888187,""JobPrio"":0,""JobStartDate"":1624997841,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1318928,""MemoryUsage"":1289.0146484375,""JobSimSubmitDate"":1627834059.381015,""JobSimStartDate"":1627835070.004129,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627834500.945749,inuse
