"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627833997257,20,0,0
1627833998175,67,1,16
1627833998417,67,1,16
1627833998852,238,1,16
1627833999172,256,2,16
1627833999368,256,2,16
1627833999861,256,2,16
1627834000374,256,2,16
1627834000874,256,2,16
1627834001383,232,2,40
1627834002389,195,2,77
1627834003398,172,2,100
1627834004399,139,2,133
1627834005392,118,1,155
1627834006403,92,1,181
1627834007028,73,1,200
1627834007406,67,0,207
1627834007969,52,0,222
1627834008273,40,1,233
1627834008446,38,1,235
1627834008595,36,2,236
1627834008775,30,3,241
1627834008939,25,4,245
1627834009106,19,7,248
1627834009431,15,3,256
1627834009918,7,3,264
1627834010428,0,3,271
1627834010924,0,3,271
1627834011250,0,1,273
1627834011449,1,1,272
1627834011615,0,2,272
1627834011797,0,3,271
1627834011991,0,4,270
1627834012170,2,2,270
1627834012471,0,0,274
1627834012946,0,0,274
1627834013464,0,0,274
1627834014469,0,0,274
1627834014851,1,0,273
1627834015050,0,1,273
1627834015268,0,2,272
1627834015496,0,3,271
1627834015649,0,4,270
1627834015845,0,5,269
1627834016013,0,5,269
1627834016186,0,6,268
1627834016490,0,5,269
1627834016976,0,5,269
1627834017516,0,5,269
1627834017982,0,5,269
1627834018505,0,5,269
1627834019000,0,5,269
1627834019312,0,6,268
1627834019510,1,6,267
1627834019703,0,7,267
1627834019885,0,7,267
1627834020136,3,5,266
1627834020522,0,5,269
1627834021015,0,5,269
1627834021534,0,5,269
1627834022027,0,5,269
1627834022536,0,5,269
1627834023032,0,4,270
1627834023554,1,0,273
1627834024048,0,0,274
1627834024565,0,0,274
1627834025070,0,0,274
1627834025266,0,1,273
1627834025575,0,1,273
1627834026062,0,1,273
1627834026583,0,1,273
1627834027071,1,1,272
1627834027392,0,2,272
1627834027585,0,3,271
1627834027767,0,3,271
1627834027943,0,4,270
1627834028162,0,5,269
1627834028373,3,2,269
1627834028616,1,1,272
1627834029098,0,1,273
1627834029605,0,1,273
1627834030113,1,1,272
1627834030622,0,1,273
1627834031105,0,1,273
1627834031636,0,1,273
1627834032122,0,1,273
1627834032632,0,1,273
1627834033116,0,1,273
1627834033642,0,1,273
1627834034134,0,1,273
1627834034639,0,1,273
1627834035132,0,1,273
1627834035453,0,2,272
1627834035658,0,3,271
1627834035842,0,3,271
1627834036050,0,4,270
1627834036226,0,5,269
1627834036470,1,2,271
1627834036663,0,1,273
1627834037470,0,1,273
1627834037722,0,2,272
1627834037887,0,3,271
1627834038060,0,4,270
1627834038243,0,5,269
1627834038475,0,4,270
1627834038610,1,3,270
1627834038774,2,2,270
1627834039001,0,9,265
1627834039182,0,8,266
1627834039700,0,8,266
1627834040197,0,8,266
1627834040702,0,8,266
1627834041191,0,8,266
1627834041718,0,8,266
1627834042198,0,8,266
1627834042715,0,8,266
1627834043193,0,8,266
1627834043522,0,9,265
1627834043701,0,10,264
1627834043922,0,10,264
1627834044155,0,11,263
1627834044342,1,11,262
1627834044657,2,8,264
1627834044843,1,8,265
1627834045230,0,8,266
1627834045742,0,8,266
1627834046232,0,8,266
1627834046393,0,9,265
1627834046774,0,9,265
1627834046969,0,10,264
1627834047237,1,10,263
1627834047772,0,10,264
1627834048242,0,10,264
1627834048765,1,10,263
1627834049246,0,10,264
1627834049783,0,10,264
1627834050261,0,10,264
1627834050772,0,10,264
1627834051266,0,10,264
1627834051728,0,10,264
1627834051962,0,11,263
1627834052793,0,10,264
1627834052977,0,11,263
1627834053809,1,11,262
1627834054469,0,11,263
1627834054679,0,12,262
1627834054847,2,11,261
1627834054962,0,11,263
1627834055841,0,10,264
1627834056838,0,10,264
1627834056982,0,12,262
1627834057859,0,23,251
1627834058846,0,23,251
1627834059747,0,24,250
1627834059966,0,24,250
1627834060201,0,25,249
1627834060366,0,26,248
1627834060506,0,26,248
1627834060875,1,23,250
1627834061892,0,23,251
1627834062859,0,22,252
1627834062991,0,23,251
1627834063889,0,23,251
1627834064705,0,24,250
1627834064937,0,25,249
1627834065078,0,25,249
1627834065908,0,25,249
1627834066924,0,25,249
1627834067814,1,25,248
1627834067963,0,26,248
1627834068154,0,27,247
1627834068324,0,27,247
1627834068481,0,28,246
1627834068933,0,25,249
1627834069083,0,27,247
1627834069398,0,32,242
1627834069915,0,32,242
1627834070051,0,33,241
1627834070591,0,34,240
1627834070939,0,33,241
1627834071143,0,34,240
1627834071957,0,34,240
1627834072145,0,35,239
1627834072970,1,33,240
1627834073959,0,33,241
1627834074978,0,33,241
1627834075872,1,33,240
1627834076033,0,34,240
1627834076214,0,35,239
1627834076378,0,36,238
1627834076499,0,36,238
1627834076999,0,33,241
1627834077995,0,25,249
1627834079025,0,23,251
1627834080030,0,22,252
1627834080999,0,22,252
1627834081226,0,28,246
1627834082045,0,27,247
1627834083046,0,27,247
1627834083957,0,27,247
1627834084165,0,28,246
1627834084399,1,28,245
1627834084571,0,29,245
1627834084749,0,30,244
1627834085086,0,27,247
1627834086088,1,27,246
1627834087089,0,20,254
1627834088152,0,20,254
1627834089645,0,20,254
1627834090598,1,20,253
1627834091612,1,20,253
1627834092594,0,19,255
1627834092718,0,20,254
1627834093542,1,20,253
1627834093862,0,22,252
1627834094141,2,19,253
1627834094245,0,20,254
1627834095144,0,20,254
1627834095811,0,21,253
1627834096135,0,28,246
1627834096230,0,29,245
1627834096739,0,30,244
1627834096928,0,40,234
1627834097145,0,49,225
1627834097246,0,50,224
1627834097897,0,51,223
1627834098031,0,52,222
1627834098173,0,53,221
1627834098334,0,54,220
1627834098445,0,54,220
1627834099175,0,54,220
1627834100073,1,54,219
1627834100254,0,55,219
1627834100427,0,56,218
1627834100649,0,57,217
1627834100729,0,57,217
1627834101191,0,54,220
1627834102203,0,54,220
1627834103208,0,54,220
1627834104228,0,46,228
1627834104837,5,37,232
1627834105215,0,37,237
1627834105354,0,38,236
1627834106234,0,38,236
1627834107252,0,38,236
1627834108146,0,38,236
1627834108294,0,39,235
1627834108475,0,40,234
1627834108682,0,41,233
1627834108840,0,41,233
1627834109271,0,38,236
1627834110263,0,38,236
1627834111016,0,39,235
1627834111258,0,39,235
1627834111366,0,40,234
1627834112290,0,40,234
1627834113311,0,38,236
1627834114297,0,38,236
1627834115335,0,38,236
1627834116219,0,38,236
1627834116433,0,39,235
1627834116600,0,40,234
1627834116786,0,41,233
1627834116889,0,41,233
1627834117335,0,38,236
1627834118354,0,38,236
1627834119334,0,36,238
1627834119468,0,37,237
1627834120384,0,37,237
1627834120840,0,38,236
1627834121009,0,39,235
1627834121357,0,39,235
1627834121513,0,40,234
1627834122375,0,40,234
1627834123390,0,40,234
1627834124291,0,40,234
1627834124466,0,41,233
1627834124672,0,42,232
1627834124866,0,43,231
1627834124999,0,43,231
1627834125424,0,40,234
1627834126417,0,40,234
1627834126591,0,41,233
1627834127436,0,40,234
1627834128449,0,40,234
1627834128562,0,41,233
1627834129448,0,38,236
1627834129641,0,40,234
1627834129938,0,42,232
1627834130441,0,42,232
1627834130602,0,43,231
1627834131475,0,43,231
1627834132385,1,43,230
1627834132582,0,44,230
1627834132764,0,45,229
1627834132991,0,46,228
1627834133092,0,46,228
1627834133500,1,43,230
1627834134479,0,42,232
1627834134579,0,43,231
1627834135502,0,43,231
1627834136538,1,42,231
1627834137541,0,42,232
1627834138550,0,42,232
1627834139568,0,42,232
1627834140430,1,42,231
1627834140647,0,43,231
1627834140862,0,44,230
1627834141233,0,44,230
1627834141403,0,45,229
1627834141721,2,42,230
1627834142561,0,41,233
1627834142726,0,42,232
1627834143594,0,42,232
1627834145076,0,42,232
1627834146099,0,42,232
1627834146616,0,37,237
1627834148090,0,37,237
1627834149095,0,36,238
1627834149246,0,37,237
1627834150628,1,36,237
1627834150871,0,37,237
1627834151531,2,36,236
1627834151717,0,36,238
1627834151948,1,36,237
1627834152112,0,36,238
1627834152655,0,35,239
1627834153645,0,34,240
1627834153793,0,35,239
1627834154679,0,30,244
1627834155216,0,31,243
1627834155441,0,32,242
1627834155696,0,33,241
1627834155872,0,33,241
1627834156761,1,33,240
1627834156961,0,34,240
1627834157137,0,35,239
1627834157337,0,35,239
1627834157484,0,36,238
1627834157775,1,33,240
1627834158214,0,34,240
