"Time","unused terminations","success termination","immediate termination"
1627835322040,0,0,0
1627835322297,0,0,0
1627835322665,0,0,0
1627835323118,0,0,0
1627835323432,0,0,0
1627835323663,0,0,0
1627835324148,0,0,0
1627835324669,0,0,0
1627835325167,0,0,0
1627835325654,0,0,0
1627835326657,0,0,0
1627835327673,0,0,0
1627835328662,0,0,0
1627835329677,0,0,0
1627835330725,0,0,0
1627835331330,0,0,0
1627835331711,0,0,0
1627835332257,0,0,0
1627835332580,0,0,0
1627835332748,0,0,0
1627835332895,0,0,0
1627835333070,0,0,0
1627835333196,0,0,0
1627835333344,0,0,0
1627835333751,0,0,0
1627835334218,0,0,0
1627835334745,0,0,0
1627835335243,0,0,0
1627835335567,0,0,0
1627835335793,0,0,0
1627835336038,0,0,0
1627835336242,0,0,0
1627835336428,0,0,0
1627835336646,0,0,0
1627835336850,0,0,0
1627835337295,0,0,0
1627835337801,0,0,0
1627835338801,0,0,0
1627835339188,0,0,0
1627835339355,0,0,0
1627835339550,0,0,0
1627835339753,0,0,0
1627835339906,0,0,0
1627835340154,0,0,0
1627835340372,0,0,0
1627835340556,0,0,0
1627835340811,0,0,0
1627835341341,0,0,0
1627835341811,0,0,0
1627835342292,0,0,0
1627835342851,0,0,0
1627835343312,0,0,0
1627835343671,0,0,0
1627835343867,0,0,0
1627835344037,0,0,0
1627835344220,0,0,0
1627835344387,0,0,0
1627835344839,0,0,0
1627835345353,0,0,0
1627835345847,0,0,0
1627835346354,0,0,0
1627835346844,0,0,0
1627835347370,0,0,0
1627835347886,0,0,0
1627835348375,0,0,0
1627835348867,0,0,0
1627835349348,0,0,0
1627835349525,0,0,0
1627835349882,0,0,0
1627835350368,0,0,0
1627835350891,0,0,0
1627835351420,0,0,0
1627835352474,0,0,0
1627835352796,0,0,0
1627835352978,0,0,0
1627835353165,0,0,0
1627835353369,0,0,0
1627835353743,0,0,0
1627835353901,0,0,0
1627835354044,0,0,0
1627835354254,0,0,0
1627835354410,0,0,0
1627835354926,0,0,0
1627835355457,0,0,0
1627835355916,0,0,0
1627835356465,0,0,0
1627835356934,0,0,0
1627835357412,0,0,0
1627835357936,0,0,0
1627835358447,0,0,0
1627835358963,0,0,0
1627835359443,0,0,0
1627835359736,0,0,0
1627835359922,0,0,0
1627835360132,0,0,0
1627835360359,0,0,0
1627835360536,0,0,0
1627835360728,0,0,0
1627835360966,0,0,0
1627835361775,0,0,0
1627835361940,0,0,0
1627835362191,0,0,0
1627835362369,0,0,0
1627835362668,0,0,0
1627835362842,0,0,0
1627835363030,0,0,0
1627835363230,0,0,0
1627835363464,0,0,0
1627835363641,0,0,0
1627835363971,0,0,0
1627835364493,0,0,0
1627835365002,0,0,0
1627835365511,0,0,0
1627835366004,0,0,0
1627835366474,0,0,0
1627835367041,0,0,0
1627835367532,0,0,0
1627835367852,0,0,0
1627835368079,0,0,0
1627835368279,0,0,0
1627835368531,0,0,0
1627835368743,0,0,0
1627835369167,0,0,0
1627835369405,0,0,0
1627835369602,0,0,0
1627835370023,0,0,0
1627835370533,0,0,0
1627835370764,0,0,0
1627835371055,0,0,0
1627835371301,0,0,0
1627835371521,0,0,0
1627835372067,0,0,0
1627835372547,0,0,0
1627835373094,0,0,0
1627835373543,0,0,0
1627835374087,0,0,0
1627835374588,0,0,0
1627835375152,0,0,0
1627835375600,0,0,0
1627835376006,0,0,0
1627835376184,0,0,0
1627835377247,0,0,0
1627835378101,1,1,0
1627835378287,1,1,0
1627835378566,1,1,0
1627835378798,1,1,1
1627835378976,1,1,2
1627835379259,1,3,3
1627835379499,1,3,3
1627835380179,1,5,3
1627835380503,1,5,3
1627835381153,1,7,3
1627835381308,1,7,3
1627835381510,1,7,3
1627835382118,1,9,3
1627835382519,1,9,3
1627835383860,1,11,3
1627835384118,1,11,3
1627835384214,1,11,3
1627835384384,1,11,4
1627835384578,1,11,5
1627835384810,1,11,6
1627835385089,1,13,7
1627835385190,1,13,7
1627835385411,1,15,7
1627835385549,1,15,7
1627835386158,1,16,7
1627835386562,1,16,7
1627835386681,1,16,7
1627835387371,1,18,8
1627835387566,1,18,8
1627835388271,1,20,8
1627835388574,1,20,8
1627835388833,1,20,8
1627835389058,1,20,9
1627835389391,1,22,10
1627835389578,1,22,10
1627835390220,1,24,10
1627835390584,1,24,10
1627835391197,1,26,10
1627835391592,1,26,10
1627835391911,1,26,10
1627835392136,1,26,11
1627835392325,1,26,12
1627835392531,1,26,13
1627835392860,1,28,14
1627835392946,1,28,14
1627835393240,1,30,14
1627835393461,1,30,20
1627835393783,1,30,21
1627835394383,1,32,22
1627835394627,1,32,22
1627835394744,1,32,22
1627835394962,1,32,23
1627835395348,1,34,24
1627835395469,1,34,24
1627835395641,1,34,24
1627835396402,1,36,25
1627835396643,1,36,25
1627835397267,1,38,25
1627835397659,1,38,25
1627835398326,1,40,25
1627835398662,1,40,25
1627835399312,1,42,25
1627835399669,1,42,25
1627835399987,1,42,25
1627835400195,1,42,26
1627835400344,1,42,27
1627835400492,1,42,28
1627835400826,1,44,29
1627835400916,1,44,29
1627835401291,1,46,29
1627835401708,1,46,29
1627835402333,1,48,29
1627835402712,1,48,29
1627835403351,1,50,29
1627835403711,1,50,29
1627835404337,1,52,29
1627835404722,1,52,29
1627835405301,1,52,29
1627835405477,1,54,29
1627835405730,1,54,29
1627835406351,1,56,29
1627835406739,1,56,29
1627835407372,1,58,29
1627835407746,1,58,29
1627835408062,1,58,29
1627835408281,1,58,30
1627835408469,1,58,31
1627835408782,1,58,32
1627835409093,1,60,33
1627835409225,1,60,33
1627835409417,1,62,33
1627835410415,2,62,33
1627835410770,2,62,33
1627835411426,2,64,33
