"Time","running","pending","completed"
1627835322279,11,712,1
1627835322475,10,909,3
1627835322487,9,912,6
1627835322490,8,926,7
1627835322495,7,926,9
1627835322499,6,926,10
1627835322506,5,940,11
1627835322519,2,947,11
1627835322522,3,947,11
1627835322619,0,1050,12
1627835323253,6,1624,13
1627835323325,10,1690,14
1627835323390,15,1759,15
1627835323489,22,1851,19
1627835323491,21,1857,19
1627835323495,21,1860,19
1627835323501,20,1866,21
1627835323505,19,1868,22
1627835323507,18,1870,22
1627835323622,26,1972,24
1627835323623,25,1972,25
1627835323633,25,1980,27
1627835323634,24,1980,27
1627835323636,23,1986,28
1627835323717,30,2058,29
1627835323732,30,2074,32
1627835323734,29,2074,33
1627835323739,27,2074,33
1627835323740,28,2074,33
1627835323744,25,2074,36
1627835323745,26,2074,36
1627835323749,24,2087,37
1627835323750,23,2087,38
1627835323756,23,2093,38
1627835323842,26,2162,41
1627835323847,25,2162,42
1627835323848,24,2162,43
1627835323852,23,2178,45
1627835323859,21,2178,45
1627835323861,20,2178,45
1627835323863,19,2187,47
1627835323865,18,2192,47
1627835324241,17,2578,48
1627835324284,16,2621,50
1627835324285,15,2624,50
1627835324289,14,2627,51
1627835324441,13,2769,52
1627835324451,12,2769,53
1627835324462,9,2785,57
1627835324463,10,2785,56
1627835324466,8,2791,57
1627835324473,7,2798,58
1627835324475,6,2802,59
1627835324483,5,2808,63
1627835324486,4,2808,63
1627835324488,3,2808,63
1627835324489,2,2815,63
1627835324524,1,2852,64
1627835324613,0,2934,65
1627835325657,26,3684,66
1627835325790,45,3926,68
1627835325806,47,3926,68
1627835325826,48,3978,69
1627835325835,48,3994,70
1627835325989,71,4163,71
1627835325997,70,4162,74
1627835326001,68,4172,76
1627835326003,69,4162,74
1627835326004,67,4172,76
1627835326020,65,4181,77
1627835326128,77,4186,79
1627835326129,79,4186,79
1627835326166,82,4225,81
1627835326176,81,4225,82
1627835326179,82,4244,83
1627835326194,82,4250,83
1627835326322,103,4372,84
1627835326362,105,4377,86
1627835326373,104,4377,88
1627835326386,104,4377,88
1627835326390,105,4377,89
1627835326410,108,4492,92
1627835326415,108,4492,92
1627835326430,107,4492,93
1627835326432,108,4492,93
1627835326436,106,4492,93
1627835326455,108,4492,95
1627835326456,108,4492,95
1627835326498,111,4553,96
1627835326516,114,4588,98
1627835326641,131,4624,99
1627835326666,132,4657,100
1627835326679,132,4657,102
1627835326687,131,4678,103
1627835326728,138,4681,106
1627835326736,138,4681,106
1627835326748,138,4681,106
1627835326764,140,4738,108
1627835326794,141,4738,110
1627835326795,140,4738,110
1627835326807,143,4793,111
1627835326819,141,4793,113
1627835326820,142,4793,113
1627835326829,143,4809,116
1627835326847,144,4809,116
1627835326855,145,4810,118
1627835326857,144,4810,118
1627835326861,145,4845,118
1627835326883,146,4845,120
1627835326886,145,4845,120
1627835326924,150,4873,122
1627835326934,148,4873,125
1627835326939,146,4873,125
1627835326952,147,4920,127
1627835326955,146,4920,127
1627835326969,147,4946,129
1627835326977,146,4946,129
1627835326992,147,4966,131
1627835327025,150,4982,131
1627835327039,155,5004,133
1627835327061,154,5021,134
1627835327073,153,5021,134
1627835327090,157,5047,140
1627835327096,156,5047,140
1627835327119,156,5047,141
1627835327121,155,5047,141
1627835327127,156,5047,141
1627835327129,156,5047,141
1627835327130,156,5101,142
1627835327133,156,5112,143
1627835327137,155,5112,143
1627835327150,156,5115,146
1627835327158,155,5136,146
1627835327159,154,5141,146
1627835327191,153,5153,148
1627835327195,154,5153,148
1627835327231,156,5188,149
1627835327238,159,5200,151
1627835327241,158,5200,152
1627835327242,157,5200,152
1627835327353,164,5214,154
1627835327362,163,5214,154
1627835327431,165,5293,156
1627835327432,164,5293,156
1627835327448,167,5293,158
1627835327452,166,5293,158
1627835327473,168,5338,161
1627835327475,167,5347,161
1627835327481,166,5355,165
1627835327489,165,5355,165
1627835327490,165,5355,165
1627835327491,163,5355,165
1627835327496,164,5355,165
1627835327520,170,5382,166
1627835327554,177,5384,167
1627835327580,180,5384,168
1627835327626,181,5490,170
1627835327630,182,5458,170
1627835327632,181,5492,171
1627835327638,181,5493,173
1627835327650,180,5528,173
1627835327664,179,5540,176
1627835327671,180,5540,175
1627835327674,179,5540,176
1627835327687,180,5540,177
1627835327701,180,5580,179
1627835327707,182,5580,180
1627835327724,182,5580,180
1627835327728,184,5580,182
1627835327733,183,5580,182
1627835327767,193,5630,183
1627835327894,205,5622,184
1627835327974,207,5672,186
1627835327991,208,5672,188
1627835328003,206,5672,189
1627835328013,207,5672,189
1627835328049,209,5672,191
1627835328059,211,5804,193
1627835328080,212,5804,195
1627835328099,215,5804,197
1627835328106,216,5804,198
1627835328118,216,5863,199
1627835328123,215,5863,199
1627835328126,214,5863,200
1627835328162,216,5900,203
1627835328176,214,5902,204
1627835328177,215,5902,203
1627835328184,213,5902,204
1627835328219,214,5902,206
1627835328223,214,5966,207
1627835328228,214,5966,207
1627835328253,217,5994,210
1627835328266,217,5999,211
1627835328272,217,5999,213
1627835328277,216,5999,213
1627835328278,217,5999,213
1627835328286,215,6019,214
1627835328288,216,6019,215
1627835328308,217,6019,215
1627835328315,220,6019,217
1627835328331,220,6061,217
1627835328368,224,6082,219
1627835328370,223,6061,218
1627835328387,228,6116,220
1627835328413,231,6133,223
1627835328417,231,6133,224
1627835328419,233,6141,225
1627835328425,231,6141,225
1627835328535,237,6242,228
1627835328541,236,6242,228
1627835328558,237,6250,229
1627835328572,238,6248,231
1627835328573,237,6248,231
1627835328583,236,6166,232
1627835328588,237,6166,232
1627835328603,238,6166,233
1627835328628,242,6236,234
1627835328654,246,6264,237
1627835328671,243,6236,236
1627835328674,247,6264,237
1627835328686,247,6276,238
1627835328688,246,6276,240
1627835328702,244,6276,241
1627835328708,245,6276,241
1627835328712,244,6276,242
1627835328731,248,6276,245
1627835328734,249,6276,245
1627835328750,248,6276,247
1627835328751,247,6276,246
1627835328752,248,6276,246
1627835328792,253,6387,249
1627835328812,252,6387,249
1627835328841,253,6409,251
1627835328844,252,6409,251
1627835328853,251,6410,254
1627835328860,250,6410,257
1627835328862,249,6410,257
1627835328873,248,6410,257
1627835328893,250,6410,260
1627835328896,249,6410,260
1627835328899,249,6410,259
1627835328903,248,6410,260
1627835328917,247,6410,260
1627835328969,254,6548,261
1627835328982,258,6548,265
1627835328985,256,6548,263
1627835328987,257,6548,265
1627835328993,256,6548,267
1627835328997,255,6548,268
1627835329009,256,6597,268
1627835329016,257,6597,269
1627835329046,262,6597,270
1627835329054,265,6634,272
1627835329066,264,6634,273
1627835329076,266,6649,273
1627835329096,265,6653,274
1627835329107,268,6684,278
1627835329112,267,6684,278
1627835329113,265,6694,278
1627835329115,266,6684,278
1627835329117,264,6694,279
1627835329124,263,6694,280
1627835329131,262,6710,282
1627835329136,260,6712,283
1627835329290,277,6723,285
1627835329291,276,6723,285
1627835329308,277,6723,286
1627835329328,281,6723,288
1627835329338,283,6723,288
1627835329363,285,6723,290
1627835329377,285,6723,290
1627835329391,288,6850,292
1627835329397,287,6850,292
1627835329406,289,6850,293
1627835329410,290,6877,294
1627835329433,293,6877,296
1627835329453,293,6880,298
1627835329459,294,6880,297
1627835329474,294,6880,299
1627835329479,293,6880,300
1627835329481,294,6880,300
1627835329482,292,6880,301
1627835329507,297,6880,302
1627835329531,298,6880,306
1627835329533,297,6880,306
1627835329537,299,7006,306
1627835329551,299,7014,306
1627835329620,302,7050,307
1627835329639,302,7050,310
1627835329646,302,7106,313
1627835329649,301,7106,313
1627835329650,300,7106,313
1627835329654,299,7106,313
1627835329656,298,7106,313
1627835329674,300,7135,316
1627835329678,299,7106,314
1627835329684,299,7135,317
1627835329688,298,7135,317
1627835329701,303,7169,318
1627835329806,318,7105,322
1627835329809,318,7105,321
1627835329814,317,7106,323
1627835329824,317,7105,322
1627835329841,317,7107,325
1627835329843,318,7107,325
1627835329859,320,7110,326
1627835329860,318,7110,328
1627835329867,319,7110,327
1627835329875,319,7110,330
1627835329881,319,7231,330
1627835329888,320,7231,330
1627835329979,329,7293,331
1627835329999,330,7345,335
1627835330001,328,7351,337
1627835330005,327,7351,338
1627835330006,329,7351,336
1627835330011,328,7351,336
1627835330014,325,7351,340
1627835330018,326,7351,338
1627835330023,324,7351,340
1627835330033,323,7351,341
1627835330056,327,7351,342
1627835330096,339,7428,343
1627835330162,350,7496,346
1627835330169,349,7496,346
1627835330188,351,7496,350
1627835330191,350,7496,350
1627835330195,349,7541,353
1627835330199,348,7541,354
1627835330203,349,7541,354
1627835330205,346,7541,354
1627835330211,346,7541,354
1627835330219,347,7541,354
1627835330224,347,7558,355
1627835330229,347,7577,355
1627835330233,347,7582,356
1627835330266,346,7604,357
1627835330280,344,7618,360
1627835330292,345,7618,360
1627835330296,345,7618,360
1627835330358,350,7552,366
1627835330365,350,7552,366
1627835330368,349,7552,366
1627835330369,350,7552,367
1627835330374,351,7552,368
1627835330378,350,7552,369
1627835330388,349,7552,369
1627835330392,350,7552,368
1627835330435,356,7555,371
1627835330443,355,7555,371
1627835330468,358,7557,373
1627835330471,357,7557,374
1627835330480,356,7557,375
1627835330491,357,7711,377
1627835330504,357,7727,377
1627835330505,357,7727,377
1627835330526,359,7743,379
1627835330531,358,7754,379
1627835330533,358,7754,381
1627835330538,358,7754,381
1627835330563,362,7770,382
1627835330572,365,7787,383
1627835330597,367,7805,385
1627835330603,364,7805,389
1627835330610,366,7805,388
1627835330614,365,7812,389
1627835330622,366,7812,389
1627835330651,371,7846,391
1627835330671,371,7846,392
1627835330678,372,7865,393
1627835330716,372,7904,394
1627835330740,372,7926,395
1627835330757,372,7929,399
1627835330763,370,7948,401
1627835330765,368,7948,401
