"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627835321482,40,0,0
1627835322227,76,1,7
1627835322572,76,1,7
1627835323065,236,1,7
1627835323386,264,2,8
1627835323575,259,2,13
1627835324069,256,2,16
1627835324585,256,2,16
1627835325078,256,2,16
1627835325591,256,2,16
1627835326604,206,2,66
1627835327599,181,2,91
1627835328601,148,2,124
1627835329608,120,1,153
1627835330611,88,1,185
1627835331243,63,1,210
1627835331620,54,0,220
1627835332152,43,0,231
1627835332493,31,0,243
1627835332654,25,1,248
1627835332806,24,2,248
1627835332971,15,3,256
1627835333124,13,4,257
1627835333273,1,7,266
1627835333641,4,3,267
1627835334139,0,3,271
1627835334648,0,3,271
1627835335141,0,3,271
1627835335461,0,1,273
1627835335635,0,2,272
1627835335886,0,2,272
1627835336138,0,3,271
1627835336335,1,3,270
1627835336536,1,2,271
1627835336728,0,1,273
1627835337184,0,0,274
1627835337677,0,0,274
1627835338685,0,0,274
1627835339069,0,0,274
1627835339250,0,1,273
1627835339427,0,2,272
1627835339644,0,3,271
1627835339809,0,4,270
1627835340029,0,5,269
1627835340252,0,5,269
1627835340441,0,6,268
1627835340717,0,5,269
1627835341191,0,5,269
1627835341715,0,5,269
1627835342198,0,5,269
1627835342735,1,5,268
1627835343220,0,5,269
1627835343541,0,6,268
1627835343743,1,6,267
1627835343929,0,7,267
1627835344106,0,7,267
1627835344303,1,6,267
1627835344728,0,5,269
1627835345237,0,5,269
1627835345754,0,5,269
1627835346239,0,5,269
1627835346764,0,5,269
1627835347257,0,4,270
1627835347761,0,0,274
1627835348253,0,0,274
1627835348762,0,0,274
1627835349255,0,0,274
1627835349423,0,1,273
1627835349768,0,1,273
1627835350265,0,1,273
1627835350777,0,1,273
1627835351276,0,1,273
1627835351593,0,2,272
1627835352588,0,3,271
1627835352878,0,3,271
1627835353070,0,4,270
1627835353238,0,5,269
1627835353558,4,1,269
1627835353811,1,1,272
1627835353977,0,2,272
1627835354121,0,2,272
1627835354318,0,1,273
1627835354807,1,1,272
1627835355296,0,1,273
1627835355809,0,1,273
1627835356323,0,1,273
1627835356819,0,1,273
1627835357307,0,1,273
1627835357821,0,1,273
1627835358333,0,1,273
1627835358837,0,1,273
1627835359347,0,1,273
1627835359638,0,2,272
1627835359824,0,3,271
1627835360000,0,3,271
1627835360229,0,4,270
1627835360442,0,5,269
1627835360631,3,2,269
1627835360852,0,1,273
1627835361677,0,1,273
1627835361841,0,2,272
1627835362042,0,3,271
1627835362265,0,4,270
1627835362483,1,4,269
1627835362745,2,3,269
1627835362918,1,2,271
1627835363121,0,2,272
1627835363346,0,9,265
1627835363544,0,8,266
1627835363880,0,8,266
1627835364382,0,8,266
1627835364892,0,8,266
1627835365381,0,8,266
1627835365891,0,8,266
1627835366389,0,8,266
1627835366905,0,8,266
1627835367399,0,8,266
1627835367724,0,9,265
1627835367945,1,9,264
1627835368153,0,10,264
1627835368369,0,11,263
1627835368593,0,12,262
1627835369031,1,8,265
1627835369281,0,9,265
1627835369514,0,9,265
1627835369937,0,8,266
1627835370426,0,8,266
1627835370618,0,9,265
1627835370942,0,9,265
1627835371186,0,10,264
1627835371438,0,10,264
1627835371956,0,10,264
1627835372442,0,10,264
1627835372966,0,10,264
1627835373446,1,10,263
1627835373973,0,10,264
1627835374473,0,10,264
1627835374995,0,10,264
1627835375482,0,10,264
1627835375923,0,10,264
1627835376081,0,11,263
1627835376992,0,10,264
1627835377142,0,11,263
1627835378010,1,11,262
1627835378697,0,11,263
1627835378865,0,12,262
1627835379060,1,12,261
1627835379161,0,11,263
1627835380047,0,10,264
1627835381039,0,10,264
1627835381229,0,12,262
1627835382044,0,23,251
1627835383047,0,23,251
1627835384288,0,24,250
1627835384476,0,24,250
1627835384707,0,25,249
1627835384881,1,25,248
1627835384985,0,26,248
1627835385308,1,23,250
1627835386073,0,23,251
1627835387069,0,22,252
1627835387230,0,23,251
1627835388104,0,23,251
1627835388893,0,24,250
