"Time","unused terminations","success termination","immediate termination"
1627864131684,0,0,0
1627864131950,0,0,0
1627864132190,0,0,0
1627864132636,0,0,0
1627864132972,0,0,0
1627864133196,0,0,0
1627864133639,0,0,0
1627864134159,0,0,0
1627864134650,0,0,0
1627864135210,0,0,0
1627864136315,0,0,0
1627864137175,0,0,0
1627864138185,0,0,0
1627864139204,0,0,0
1627864140206,0,0,0
1627864140823,0,0,0
1627864141236,0,0,0
1627864141769,0,0,0
1627864142064,0,0,0
1627864142550,0,0,0
1627864142690,0,0,0
1627864142866,0,0,0
1627864143092,0,0,0
1627864143238,0,0,0
1627864143559,0,0,0
1627864143753,0,0,0
1627864144283,0,0,0
1627864144731,0,0,0
1627864145067,0,0,0
1627864145240,0,0,0
1627864145384,0,0,0
1627864145513,0,0,0
1627864145650,0,0,0
1627864145861,0,0,0
1627864146308,0,0,0
1627864146765,0,0,0
1627864147280,0,0,0
1627864148326,0,0,0
1627864148683,0,0,0
1627864148891,0,0,0
1627864149109,0,0,0
1627864149296,0,0,0
1627864149458,0,0,0
1627864149613,0,0,0
1627864149787,0,0,0
1627864149964,0,0,0
1627864150329,0,0,0
1627864150829,0,0,0
1627864151352,0,0,0
1627864151807,0,0,0
1627864152345,0,0,0
1627864152809,0,0,0
1627864153163,0,0,0
1627864153371,0,0,0
1627864153547,0,0,0
1627864153780,0,0,0
1627864153997,0,0,0
1627864154342,0,0,0
1627864154851,0,0,0
1627864155386,0,0,0
1627864155858,0,0,0
1627864156362,0,0,0
1627864156875,0,0,0
1627864157403,0,0,0
1627864157856,0,0,0
1627864158370,0,0,0
1627864158872,0,0,0
1627864159079,0,0,0
1627864159375,0,0,0
1627864159887,0,0,0
1627864160453,0,0,0
1627864160885,0,0,0
1627864162069,0,0,0
1627864162302,0,0,0
1627864162544,0,0,0
1627864162712,0,0,0
1627864162898,0,0,0
1627864163086,0,0,0
1627864163311,0,0,0
1627864163484,0,0,0
1627864163679,0,0,0
1627864163927,0,0,0
1627864164421,0,0,0
1627864164925,0,0,0
1627864165470,0,0,0
1627864165947,0,0,0
1627864166529,0,0,0
1627864166931,0,0,0
1627864167461,0,0,0
1627864167924,0,0,0
1627864168475,0,0,0
1627864168947,0,0,0
1627864169324,0,0,0
1627864169484,0,0,0
1627864169653,0,0,0
1627864169838,0,0,0
1627864170022,0,0,0
1627864170294,0,0,0
1627864170527,0,0,0
1627864171349,0,0,0
1627864171536,0,0,0
1627864171714,0,0,0
1627864171913,0,0,0
1627864172118,0,0,0
1627864172369,0,0,0
1627864172531,0,0,0
1627864172742,0,0,0
1627864172913,0,0,0
1627864173058,0,0,0
1627864173519,0,0,0
1627864174011,0,0,0
1627864174548,0,0,0
1627864175015,0,0,0
1627864175558,0,0,0
1627864176031,0,0,0
1627864176560,0,0,0
1627864177050,0,0,0
1627864177353,0,0,0
1627864177487,0,0,0
1627864177706,0,0,0
1627864177899,0,0,0
1627864178135,0,0,0
1627864178292,0,0,0
1627864178558,0,0,0
1627864179072,0,0,0
1627864179581,0,0,0
1627864180142,0,0,0
1627864180385,0,0,0
1627864180585,0,0,0
1627864180790,0,0,0
1627864181078,0,0,0
1627864181590,0,0,0
1627864182058,0,0,0
1627864182639,0,0,0
1627864183104,0,0,0
1627864183611,0,0,0
1627864184105,0,0,0
1627864184625,0,0,0
1627864185192,0,0,0
1627864185631,0,0,0
1627864185842,0,0,0
1627864186781,0,0,0
1627864187646,1,1,0
1627864187817,1,1,0
1627864188105,1,1,0
1627864188323,1,1,1
1627864188514,1,1,2
1627864188805,1,3,3
