EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",61073c424089e145ef527cb5,"[{""GlobalJobId"":""login05_osgconnect_net#11335227_8656#1625168391_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9953578239,""CompletionDate"":1625181653,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5054.140463,""JobPrio"":0,""JobStartDate"":1625248818,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1308300,""MemoryUsage"":1278.6357421875,""JobSimSubmitDate"":1627864222.871402,""JobSimStartDate"":1627865428.724052,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11335227_9297#1625168392_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9951541958,""CompletionDate"":1625181769,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":60,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5129.957809,""JobPrio"":0,""JobStartDate"":1625248858,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1323624,""MemoryUsage"":1293.6005859375,""JobSimSubmitDate"":1627864222.871499,""JobSimStartDate"":1627865428.748635,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627865097.216756,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",61073c424089e145ef527cb6,"[{""GlobalJobId"":""login05_osgconnect_net#11334341_3175#1625151847_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9948740928,""CompletionDate"":1625161217,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5577.985299,""JobPrio"":0,""JobStartDate"":1625227858,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1441712,""MemoryUsage"":1408.9208984375,""JobSimSubmitDate"":1627864222.521566,""JobSimStartDate"":1627865421.694321,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11334057_409#1625149933_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9945082248,""CompletionDate"":1625163639,""CpusProvisioned"":1,""DiskProvisioned"":1278940,""DiskUsage"":15977483,""DiskUsage_RAW"":15477157,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":7267.235299,""JobPrio"":0,""JobStartDate"":1625228574,""JobState"":""Exited"",""MemoryProvisioned"":512,""ResidentSetSize"":170116,""MemoryUsage"":167.1279296875,""JobSimSubmitDate"":1627864222.52172,""JobSimStartDate"":1627865421.763975,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,127488,131072,compute_haswell,osg,1627865074.1079102,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",61073c424089e145ef527cb7,"[{""GlobalJobId"":""login04_osgconnect_net#12345222_0#1625149746_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9981877336,""CompletionDate"":1625163947,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5150.642393,""JobPrio"":0,""JobStartDate"":1625231013,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":196072,""MemoryUsage"":192.4755859375,""JobSimSubmitDate"":1627864222.522758,""JobSimStartDate"":1627865422.579888,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11335203_60#1625167772_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0496974426,""CompletionDate"":1625173321,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":62,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5020.737105,""JobPrio"":0,""JobStartDate"":1625240518,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1449380,""MemoryUsage"":1416.4091796875,""JobSimSubmitDate"":1627864222.772447,""JobSimStartDate"":1627865426.270905,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627864967.1837864,inuse
UPDATE,2018-03-14 11:40:05,86528405,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",61073c424089e145ef527cb8,"[{""GlobalJobId"":""login05_osgconnect_net#11335203_6768#1625167776_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9954626764,""CompletionDate"":1625177151,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4581.335997,""JobPrio"":0,""JobStartDate"":1625244789,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1420024,""MemoryUsage"":1387.7412109375,""JobSimSubmitDate"":1627864222.773582,""JobSimStartDate"":1627865427.441443,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11335203_6279#1625167776_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9963144221,""CompletionDate"":1625177773,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":71,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5149.207985,""JobPrio"":0,""JobStartDate"":1625244843,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1320464,""MemoryUsage"":1290.5146484375,""JobSimSubmitDate"":1627864222.773608,""JobSimStartDate"":1627865427.470215,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627865080.6962392,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",61073c4297302d930892ec03,"[{""GlobalJobId"":""login05_osgconnect_net#11334341_2788#1625151847_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9954484839,""CompletionDate"":1625160360,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5431.280428,""JobPrio"":0,""JobStartDate"":1625227148,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1317224,""MemoryUsage"":1287.3505859375,""JobSimSubmitDate"":1627864222.412498,""JobSimStartDate"":1627865421.292292,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11335005_1575#1625164552_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0605545641,""CompletionDate"":1625170985,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":32,""DiskUsage_RAW"":1,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3432.410978,""JobPrio"":0,""JobStartDate"":1625239771,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":146868,""MemoryUsage"":144.4248046875,""JobSimSubmitDate"":1627864222.655453,""JobSimStartDate"":1627865425.85794,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627865077.1561987,inuse
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",61073c424089e145ef527cb9,"[{""GlobalJobId"":""login05_osgconnect_net#11334341_6524#1625151850_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.997338437,""CompletionDate"":1625163156,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5589.442154,""JobPrio"":0,""JobStartDate"":1625229784,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1357440,""MemoryUsage"":1326.6240234375,""JobSimSubmitDate"":1627864222.522215,""JobSimStartDate"":1627865422.325027,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12349217_0#1625157227_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9862279949,""CompletionDate"":1625168908,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5540.516691,""JobPrio"":0,""JobStartDate"":1625235585,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":198368,""MemoryUsage"":194.7177734375,""JobSimSubmitDate"":1627864222.562228,""JobSimStartDate"":1627865424.10895,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,125952,131072,compute_haswell,osg,1627865070.9494367,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",61073c4297302d930892ec04,"[{""GlobalJobId"":""login05_osgconnect_net#11335005_2803#1625164552_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0475718869,""CompletionDate"":1625172583,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":32,""DiskUsage_RAW"":1,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3409.14409,""JobPrio"":0,""JobStartDate"":1625241393,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":146776,""MemoryUsage"":144.3349609375,""JobSimSubmitDate"":1627864222.772621,""JobSimStartDate"":1627865426.498537,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login-el7_xenon_ci-connect_net#7061120_0#1625172677_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0,""CompletionDate"":1625173338,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":10618,""DiskUsage_RAW"":10548,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":638.83627,""JobPrio"":624934367,""JobStartDate"":1625244918,""JobState"":""Exited"",""MemoryProvisioned"":15104,""ResidentSetSize"":78860,""MemoryUsage"":78.0107421875,""JobSimSubmitDate"":1627864222.773658,""JobSimStartDate"":1627865427.515451,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,111872,131072,compute_haswell,osg,1627865002.062677,inuse
DISABLE,2018-08-22 17:53:20,100461200,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",61073c424089e145ef527cba,[],2,2,131072,131072,compute_haswell,chameleon,0,inactive
UPDATE,2018-03-14 11:40:08,86528408,9877ba81c06fe4ce59e306f089d09448,"{'placement.rack': 1, 'architecture.smp_size': '2', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48'}",61073c424089e145ef527cbb,"[{""GlobalJobId"":""login05_osgconnect_net#11334341_2056#1625151847_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9956569959,""CompletionDate"":1625159716,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":71,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4902.462722,""JobPrio"":0,""JobStartDate"":1625227032,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1328540,""MemoryUsage"":1298.4013671875,""JobSimSubmitDate"":1627864222.412483,""JobSimStartDate"":1627865421.266845,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11335005_1582#1625164552_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0004984198,""CompletionDate"":1625171061,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":32,""DiskUsage_RAW"":1,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":3507.532283,""JobPrio"":0,""JobStartDate"":1625239772,""JobState"":""Exited"",""MemoryProvisioned"":4096,""ResidentSetSize"":149508,""MemoryUsage"":147.0029296875,""JobSimSubmitDate"":1627864222.664291,""JobSimStartDate"":1627865425.891157,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,123904,131072,compute_haswell,osg,1627865067.8830469,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",61073c4297302d930892ec05,"[{""GlobalJobId"":""login04_osgconnect_net#12349234_0#1625157234_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9708733469,""CompletionDate"":1625169099,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":94005,""DiskUsage_RAW"":93979,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5700.994557,""JobPrio"":0,""JobStartDate"":1625235614,""JobState"":""Exited"",""MemoryProvisioned"":2048,""ResidentSetSize"":200728,""MemoryUsage"":197.0224609375,""JobSimSubmitDate"":1627864222.624924,""JobSimStartDate"":1627865424.205549,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login-el7_xenon_ci-connect_net#7061139_0#1625172845_round_8"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0,""CompletionDate"":1625173456,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":10618,""DiskUsage_RAW"":10548,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":606.57025,""JobPrio"":624934367,""JobStartDate"":1625245069,""JobState"":""Exited"",""MemoryProvisioned"":15000,""ResidentSetSize"":76992,""MemoryUsage"":76.1865234375,""JobSimSubmitDate"":1627864222.773672,""JobSimStartDate"":1627865427.522965,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,114024,131072,compute_haswell,osg,1627865081.3567553,inuse
