"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627864130977,22,0,0
1627864131858,68,1,15
1627864132082,66,1,17
1627864132574,241,1,19
1627864132890,253,2,19
1627864133092,253,2,19
1627864133579,253,2,19
1627864134092,253,2,19
1627864134587,253,2,19
1627864135102,230,2,42
1627864136111,193,2,79
1627864137107,172,2,100
1627864138117,144,2,128
1627864139112,123,1,150
1627864140130,90,1,183
1627864140750,81,1,192
1627864141152,73,0,201
1627864141655,57,0,217
1627864142000,47,0,227
1627864142462,19,1,254
1627864142607,11,2,261
1627864142760,10,3,261
1627864142957,2,4,268
1627864143143,0,7,267
1627864143423,2,4,268
1627864143665,0,4,270
1627864144165,0,3,271
1627864144651,0,3,271
1627864144976,0,1,273
1627864145158,0,2,272
1627864145296,0,2,272
1627864145430,0,3,271
1627864145578,1,3,270
1627864145745,3,1,270
1627864146197,0,0,274
1627864146679,0,0,274
1627864147192,0,0,274
1627864148190,0,0,274
1627864148582,1,0,273
1627864148795,0,1,273
1627864148976,0,2,272
1627864149180,0,3,271
1627864149363,0,4,270
1627864149548,0,5,269
1627864149687,0,5,269
1627864149866,0,6,268
1627864150210,0,5,269
1627864150715,0,5,269
1627864151219,0,5,269
1627864151706,0,5,269
1627864152239,0,5,269
1627864152714,0,5,269
1627864153030,0,6,268
1627864153273,0,7,267
1627864153478,0,7,267
1627864153681,0,7,267
1627864153880,2,5,267
1627864154238,0,5,269
1627864154740,0,5,269
1627864155256,0,5,269
1627864155740,0,5,269
1627864156254,0,5,269
1627864156765,0,4,270
1627864157315,0,0,274
1627864157763,0,0,274
1627864158293,0,0,274
1627864158770,0,0,274
1627864158974,0,1,273
1627864159289,0,1,273
1627864159783,0,1,273
1627864160299,0,1,273
1627864160782,0,1,273
1627864161104,0,2,272
1627864162138,0,3,271
1627864162427,0,3,271
1627864162632,0,4,270
1627864162810,0,5,269
1627864162976,1,4,269
1627864163200,1,1,272
1627864163401,0,2,272
1627864163573,0,2,272
1627864163814,1,1,272
1627864164337,0,1,273
1627864164819,0,1,273
1627864165340,1,1,272
1627864165825,0,1,273
1627864166343,0,1,273
1627864166841,0,1,273
1627864167363,0,1,273
1627864167842,0,1,273
1627864168357,0,1,273
1627864168846,0,1,273
1627864169206,0,2,272
1627864169401,0,3,271
1627864169557,0,3,271
1627864169742,0,4,270
1627864169909,0,5,269
1627864170128,0,3,271
1627864170389,0,1,273
1627864171219,0,1,273
1627864171427,0,2,272
1627864171628,0,3,271
1627864171800,0,4,270
1627864171995,1,4,269
1627864172203,3,2,269
1627864172451,1,2,271
1627864172629,0,2,272
1627864172810,0,9,265
1627864172987,1,8,265
1627864173419,0,8,266
1627864173909,0,8,266
1627864174464,0,8,266
1627864174919,0,8,266
1627864175455,0,8,266
1627864175927,0,8,266
1627864176447,0,8,266
