"Time","unused terminations","success termination","immediate termination"
1627937262233,0,0,0
1627937262507,0,0,0
1627937262610,0,0,0
1627937263024,0,0,0
1627937263362,0,0,0
1627937263554,0,0,0
1627937264059,0,0,0
1627937264559,0,0,0
1627937265065,0,0,0
1627937265579,0,0,0
1627937266603,0,0,0
1627937267586,0,0,0
1627937268588,0,0,0
1627937269617,0,0,0
1627937270619,0,0,0
1627937271304,0,0,0
1627937271634,0,0,0
1627937272155,0,0,0
1627937272472,0,0,0
1627937272694,0,0,0
1627937272838,0,0,0
1627937272989,0,0,0
1627937273136,0,0,0
1627937273264,0,0,0
1627937273623,0,0,0
1627937274195,0,0,0
1627937274659,0,0,0
1627937275188,0,0,0
1627937275512,0,0,0
1627937275693,0,0,0
1627937275890,0,0,0
1627937276108,0,0,0
1627937276275,0,0,0
1627937276445,0,0,0
1627937276702,0,0,0
1627937277223,0,0,0
1627937277697,0,0,0
1627937278712,0,0,0
1627937279089,0,0,0
1627937279277,0,0,0
1627937279491,0,0,0
1627937279661,0,0,0
1627937279888,0,0,0
1627937280099,0,0,0
1627937280301,0,0,0
1627937280528,0,0,0
1627937280751,0,0,0
1627937281227,0,0,0
1627937281747,0,0,0
1627937282218,0,0,0
1627937282762,0,0,0
1627937283266,0,0,0
1627937283576,0,0,0
1627937283768,0,0,0
1627937284009,0,0,0
1627937284199,0,0,0
1627937284396,0,0,0
1627937284772,0,0,0
1627937285262,0,0,0
1627937285780,0,0,0
1627937286295,0,0,0
1627937286795,0,0,0
1627937287264,0,0,0
1627937287808,0,0,0
1627937288311,0,0,0
1627937288803,0,0,0
1627937290142,0,0,0
1627937290310,0,0,0
1627937290492,0,0,0
1627937290686,0,0,0
1627937290862,0,0,0
1627937291322,0,0,0
1627937291630,0,0,0
1627937291836,0,0,0
1627937292024,0,0,0
1627937292191,0,0,0
1627937292415,0,0,0
1627937292599,0,0,0
1627937292798,0,0,0
1627937293497,0,0,0
1627937293912,0,0,0
1627937294338,0,0,0
1627937294880,0,0,0
1627937295350,0,0,0
1627937295960,0,0,0
1627937296390,0,0,0
1627937296841,0,0,0
1627937297383,0,0,0
1627937297906,0,0,0
1627937298366,0,0,0
1627937298879,0,0,0
1627937299382,0,0,0
1627937299714,0,0,0
1627937299887,0,0,0
1627937300086,0,0,0
1627937300273,0,0,0
1627937300542,0,0,0
1627937300742,0,0,0
1627937300972,0,0,0
1627937301733,0,0,0
1627937301914,0,0,0
1627937302151,0,0,0
1627937302362,0,0,0
1627937302520,0,0,0
1627937302701,0,0,0
1627937302918,0,0,0
1627937303117,0,0,0
1627937303377,0,0,0
1627937303549,0,0,0
1627937303933,0,0,0
1627937304469,0,0,0
1627937304969,0,0,0
1627937305459,0,0,0
1627937305989,0,0,0
1627937306464,0,0,0
1627937306954,0,0,0
1627937307453,0,0,0
1627937307802,0,0,0
1627937308011,0,0,0
1627937308192,0,0,0
1627937308364,0,0,0
1627937308545,0,0,0
1627937308803,0,0,0
1627937309044,0,0,0
1627937309474,0,0,0
1627937309994,0,0,0
1627937310484,0,0,0
1627937310695,0,0,0
1627937311001,0,0,0
1627937311254,0,0,0
1627937311494,0,0,0
1627937312021,0,0,0
1627937312531,0,0,0
1627937313016,0,0,0
1627937313521,0,0,0
1627937314007,0,0,0
1627937314521,0,0,0
1627937315049,0,0,0
1627937315553,0,0,0
1627937315982,0,0,0
1627937316149,0,0,0
1627937317239,0,0,0
1627937318077,1,1,0
1627937318236,1,1,0
1627937318521,1,1,0
1627937318745,1,1,1
1627937318931,1,1,2
1627937319255,1,3,3
1627937319457,1,3,3
1627937320107,1,5,3
1627937320459,1,5,3
1627937321292,1,7,3
1627937321463,1,7,3
1627937321552,1,7,3
1627937322133,1,9,3
1627937322480,1,9,3
1627937323119,1,11,3
1627937323483,1,11,3
1627937323813,1,11,3
1627937324028,1,11,4
1627937324160,1,11,5
1627937324316,1,11,6
1627937324684,1,13,7
1627937324811,1,13,7
1627937325110,1,15,7
1627937325513,1,15,7
1627937326189,1,16,7
1627937326521,1,16,7
1627937326646,1,16,7
1627937327243,1,18,8
1627937327533,1,18,8
1627937328183,1,20,8
1627937328540,1,20,8
1627937328797,1,20,8
1627937329045,1,20,9
1627937329399,1,22,10
1627937329549,1,22,10
1627937330221,1,24,10
1627937330554,1,24,10
1627937331185,1,26,10
1627937331559,1,26,10
1627937331876,1,26,10
1627937332099,1,26,11
1627937332271,1,26,12
1627937332502,1,26,13
1627937332790,1,28,14
1627937332867,1,28,14
1627937333208,1,30,14
1627937333435,1,30,20
1627937333674,1,30,21
1627937334401,1,32,22
1627937334590,1,32,22
1627937334707,1,32,22
1627937334889,1,32,23
1627937335447,1,34,24
1627937335502,1,34,24
1627937335604,1,34,24
1627937336363,1,36,25
1627937336615,1,36,25
1627937337219,1,38,25
1627937337627,1,38,25
1627937338278,1,40,25
1627937338624,1,40,25
1627937339269,1,42,25
1627937339631,1,42,25
1627937339949,1,42,25
1627937340174,1,42,26
1627937340351,1,42,27
1627937340510,1,42,28
1627937340722,1,44,28
1627937340783,1,44,28
1627937341265,1,46,28
1627937341659,1,46,28
1627937342277,1,48,28
1627937342665,1,48,28
1627937343286,1,50,28
1627937343677,1,50,28
1627937344308,1,52,28
1627937344680,1,52,28
1627937345274,1,52,28
1627937345446,1,54,28
1627937345688,1,54,28
1627937346289,1,56,28
1627937346695,1,56,28
1627937347331,1,58,28
1627937347710,1,58,28
1627937348021,1,58,28
1627937348231,1,58,29
1627937348403,1,58,30
1627937348598,1,58,31
1627937348926,1,60,32
1627937349052,1,60,32
1627937349346,1,62,32
1627937350385,2,62,32
1627937350734,2,62,32
1627937351355,2,64,32
1627937351749,2,64,32
1627937353158,2,66,32
1627937353247,2,66,32
1627937353880,2,68,32
1627937354883,3,69,32
1627937355931,4,70,32
1627937356179,4,70,32
1627937356279,4,70,32
1627937357136,4,71,33
1627937357814,5,72,33
1627937357875,5,72,33
1627937357939,5,72,33
1627937358103,5,72,34
1627937358576,5,74,35
1627937358785,5,74,35
1627937359450,5,76,35
1627937359790,5,76,35
1627937359901,5,76,35
1627937360120,5,76,43
1627937360544,5,78,44
1627937360614,5,78,44
1627937360810,5,78,44
1627937361026,5,78,54
1627937361229,5,78,64
1627937361582,5,80,65
1627937361825,5,80,65
1627937362013,5,80,65
1627937362239,5,80,66
1627937362443,5,80,67
1627937362605,5,80,68
1627937362895,5,82,69
1627937363019,5,82,69
1627937363459,5,84,69
1627937363856,5,84,69
1627937364160,5,84,69
1627937364369,5,84,70
1627937364567,5,84,71
1627937364728,5,84,72
1627937365036,5,86,73
1627937365112,5,86,73
1627937365508,5,88,73
1627937365883,5,88,73
1627937366507,5,90,73
1627937366892,5,90,73
1627937367510,5,92,73
1627937367897,5,92,73
1627937368536,5,94,73
1627937368789,5,94,73
1627937368904,5,94,73
1627937369119,5,94,73
1627937369645,5,96,74
1627937369921,5,96,74
1627937370519,5,98,74
1627937370922,5,98,74
1627937371582,5,100,74
1627937371926,5,100,74
1627937372245,5,100,74
1627937372466,5,100,75
1627937372647,5,100,76
1627937372836,5,100,77
1627937373119,5,102,78
1627937373216,5,102,78
1627937373549,5,104,78
1627937373948,5,104,78
1627937374569,5,106,78
1627937374955,5,106,78
1627937375083,5,106,78
1627937375312,5,106,79
1627937375662,5,108,80
1627937375963,5,108,80
1627937376599,5,110,80
1627937376977,5,110,80
1627937377631,5,112,80
1627937377980,5,112,80
1627937378608,5,114,80
1627937378987,5,114,80
1627937379674,5,116,80
1627937379997,5,116,80
1627937380315,5,116,80
1627937380520,5,116,81
1627937380717,5,116,82
1627937380929,5,116,83
1627937381186,5,118,84
1627937381280,5,118,84
1627937381648,5,120,84
1627937382023,5,120,84
1627937382653,5,122,84
1627937383032,5,122,84
1627937383188,5,122,84
1627937384785,5,124,85
1627937384867,5,124,85
1627937385141,5,126,85
1627937385207,5,126,85
1627937385292,5,126,85
1627937385496,5,126,86
1627937385657,5,126,87
1627937385934,5,128,88
1627937386056,5,128,88
1627937386666,5,130,88
1627937387069,5,130,88
1627937387735,5,132,88
1627937388074,5,132,88
1627937388393,5,132,88
1627937388664,5,132,89
1627937388888,5,132,90
1627937389077,5,132,91
1627937389391,5,134,92
1627937389492,5,134,92
1627937389746,5,136,92
1627937389848,5,136,92
1627937390102,5,136,92
1627937390954,5,137,93
1627937391108,5,137,93
1627937391745,5,139,93
1627937392118,5,139,93
1627937392590,5,139,93
1627937392894,5,141,94
1627937393126,5,141,94
1627937393751,5,143,94
1627937393937,5,143,97
1627937394262,5,143,98
1627937394869,5,145,99
1627937395141,5,145,99
1627937395784,5,147,99
1627937396148,5,147,99
1627937396475,5,147,99
1627937396734,5,147,100
1627937396972,5,147,101
1627937397210,5,147,102
1627937397490,5,149,103
1627937397597,5,149,103
1627937397796,5,151,103
1627937398173,5,151,103
1627937398408,5,151,103
1627937398932,5,153,104
1627937399183,5,153,104
1627937399818,5,155,104
1627937400190,5,155,104
1627937400813,5,157,104
1627937401205,5,157,104
1627937401847,5,159,104
1627937402203,5,159,104
1627937402858,5,161,104
1627937403209,5,161,104
1627937403838,5,163,104
1627937404216,5,163,104
1627937404535,5,163,104
1627937404744,5,163,104
1627937404955,5,163,105
1627937405189,5,163,106
1627937405488,5,165,107
1627937405580,5,165,107
1627937405860,5,167,107
1627937406240,5,167,107
1627937406481,5,167,107
1627937406987,5,167,108
1627937407251,5,167,108
1627937407895,5,169,108
1627937408260,5,169,108
1627937409363,5,171,108
1627937410459,6,172,108
1627937410956,7,173,108
1627937411277,7,173,108
1627937412376,7,175,108
1627937412697,7,175,108
1627937412772,7,175,108
1627937413539,7,177,109
1627937414933,8,178,109
1627937415181,9,179,109
1627937415255,9,179,109
1627937415340,9,179,109
1627937416677,9,179,110
1627937416862,9,179,111
1627937417173,9,181,111
1627937417277,9,181,111
1627937417522,9,183,111
1627937417703,9,183,111
1627937417805,9,183,111
1627937418159,9,185,112
1627937418334,9,185,112
1627937418985,9,187,112
1627937419228,9,187,112
1627937419333,9,187,112
1627937419548,9,187,113
1627937419760,9,187,114
1627937420170,9,189,115
1627937420354,9,189,115
1627937420674,9,189,115
1627937420888,9,189,116
1627937421094,9,189,117
1627937421265,9,189,118
1627937421639,9,191,119
1627937421702,9,191,119
1627937421995,9,193,119
1627937422085,9,193,119
1627937422175,9,193,119
1627937422474,9,193,120
1627937423173,9,195,121
1627937423390,9,195,121
1627937423481,9,195,121
1627937423683,9,195,122
1627937423862,9,195,123
1627937424034,9,195,124
1627937424309,9,197,125
1627937424355,9,197,125
1627937424428,9,197,125
1627937424609,9,197,126
1627937424785,9,197,127
1627937424989,9,197,128
1627937425313,9,197,129
1627937425508,9,197,130
1627937425675,9,197,131
1627937425862,9,197,132
1627937426020,9,197,133
1627937426323,9,199,134
1627937426418,9,199,134
1627937426466,9,199,134
1627937426658,9,199,135
1627937426840,9,199,136
1627937427003,9,199,137
1627937427204,9,199,138
1627937427441,9,199,139
1627937427632,9,199,140
1627937427798,9,199,141
1627937428075,9,201,141
1627937428159,9,201,141
1627937428421,9,201,141
1627937428473,9,201,141
1627937428670,9,203,141
1627937428737,9,203,141
1627937428801,9,203,141
1627937429037,9,203,142
1627937429204,9,203,143
1627937429431,9,203,144
1627937429876,9,205,145
1627937429934,9,205,145
1627937430165,9,207,145
1627937430744,9,207,145
1627937431112,9,209,145
1627937431359,9,209,145
1627937431578,9,209,145
1627937431786,9,209,146
1627937432220,9,211,146
1627937432280,9,211,146
1627937432377,9,211,146
1627937432622,9,211,146
1627937432809,9,211,147
1627937433062,9,211,148
1627937433391,9,213,148
1627937433536,9,213,148
1627937433592,9,213,148
1627937433791,9,213,148
1627937433982,9,213,149
1627937434373,9,215,150
1627937434588,9,215,150
1627937435247,9,217,150
1627937435595,9,217,150
1627937436245,9,219,150
1627937436601,9,219,150
1627937436921,9,219,150
1627937437142,9,219,151
1627937437373,9,219,152
1627937437530,9,219,153
1627937437912,9,221,154
1627937438005,9,221,154
1627937438302,9,223,154
1627937438623,9,223,154
1627937439263,9,224,154
1627937439639,9,224,154
1627937439751,9,224,154
1627937440368,9,226,155
1627937440658,9,226,155
1627937441316,9,228,155
1627937441668,9,228,155
1627937442050,9,228,155
1627937442437,9,230,156
1627937442680,9,230,156
1627937443317,9,232,156
1627937443697,9,232,156
1627937444336,9,234,156
1627937444704,9,234,156
1627937445018,9,234,156
1627937445229,9,234,157
1627937445404,9,234,158
1627937445632,9,234,159
1627937446025,9,236,159
1627937446106,9,236,159
1627937446360,9,238,159
1627937446422,9,238,159
1627937446725,9,238,159
1627937448351,9,239,160
1627937448453,9,239,160
1627937448513,9,239,160
1627937448816,9,241,161
1627937448900,9,241,161
1627937448966,9,241,161
1627937449362,9,241,162
1627937449762,9,243,163
1627937449832,9,243,163
1627937449966,9,243,163
1627937450247,9,243,163
1627937450407,9,243,164
1627937450708,9,245,165
1627937450762,9,245,165
1627937450839,9,245,165
1627937451499,9,247,166
1627937451770,9,247,166
1627937452220,9,247,166
1627937452417,9,247,167
1627937452778,9,249,168
1627937452858,9,249,168
1627937453099,9,249,168
1627937453333,9,249,169
1627937453505,9,249,170
1627937453690,9,249,171
1627937454021,9,251,172
1627937454116,9,251,172
1627937454483,9,253,172
1627937454810,9,253,172
1627937455044,9,253,172
1627937455681,9,255,173
1627937455819,9,255,173
1627937456291,9,255,173
1627937456558,9,257,174
1627937456903,9,257,175
1627937457132,9,257,176
1627937457309,9,257,179
1627937457669,9,259,180
1627937457847,9,259,180
1627937458460,10,261,180
1627937458851,10,261,180
1627937458926,10,261,180
1627937459086,10,261,180
1627937459698,10,264,181
1627937459761,10,264,181
1627937459870,10,264,181
1627937459929,10,264,181
1627937460145,10,264,182
1627937460688,10,267,183
1627937460877,10,267,183
1627937461196,10,267,183
1627937461303,10,267,183
1627937461510,10,267,184
1627937461681,10,267,185
1627937461973,10,270,186
1627937462041,10,270,186
1627937462511,11,272,186
1627937463554,13,273,186
1627937463864,13,273,203
1627937464107,13,273,204
1627937464664,13,275,205
1627937464920,13,275,205
1627937465598,14,277,205
1627937465926,14,277,205
1627937466531,15,279,205
1627937466933,15,279,205
1627937467575,16,280,205
1627937467943,16,280,205
1627937468568,17,282,205
1627937468890,17,282,205
1627937469151,17,282,206
1627937469376,17,282,207
1627937469597,17,282,208
1627937469772,17,282,209
1627937469947,17,282,210
1627937470297,17,285,211
1627937470398,17,285,211
1627937470494,17,285,211
1627937470982,17,285,211
1627937471744,17,288,212
1627937471985,17,288,212
1627937472106,17,288,212
1627937472192,17,288,212
1627937472585,17,288,213
1627937472935,17,291,214
1627937472992,17,291,214
1627937473081,17,291,214
1627937473463,17,291,214
1627937473831,17,294,215
1627937474013,17,294,215
1627937474677,18,296,215
1627937474854,18,296,215
1627937475791,18,299,216
1627937476022,18,299,216
1627937476676,19,301,216
1627937477027,19,301,216
1627937477347,19,301,216
1627937477446,19,301,216
1627937477705,19,301,217
1627937477927,19,301,218
1627937478537,19,304,219
1627937478606,19,304,219
1627937479945,20,306,219
1627937480017,20,306,219
1627937480109,20,306,219
1627937480305,20,309,219
1627937480393,20,309,219
1627937480759,21,310,219
1627937481078,21,310,219
1627937481550,21,310,219
1627937481772,21,311,219
1627937482087,21,311,219
1627937482764,22,313,219
1627937483101,22,313,219
1627937483810,23,315,219
1627937484105,23,315,219
1627937484720,24,317,219
1627937485105,24,317,219
1627937485431,24,317,219
1627937485528,24,317,219
1627937485754,24,317,220
1627937485960,24,317,221
1627937486370,24,319,222
1627937486448,24,319,222
1627937486540,24,319,222
1627937486723,24,319,222
1627937487125,24,322,223
1627937487180,24,322,223
1627937487369,24,322,223
1627937487746,24,325,223
1627937488147,24,325,223
1627937488909,25,327,223
1627937489151,25,327,223
1627937489783,26,328,223
1627937489953,26,328,245
1627937490304,26,328,246
1627937490511,26,328,247
1627937490892,26,331,248
1627937491167,26,331,248
1627937491886,27,333,248
1627937492173,27,333,248
1627937492815,28,335,248
1627937493181,28,335,248
1627937493599,28,335,248
1627937493796,28,338,248
1627937494537,28,338,248
1627937495296,29,340,248
1627937495521,29,340,248
1627937495642,29,340,248
1627937495844,29,343,248
1627937495926,29,343,248
1627937496216,29,343,248
1627937496272,29,343,248
1627937497086,29,346,249
1627937497133,29,346,249
1627937497349,29,346,250
1627937497577,29,346,251
1627937497756,29,346,252
1627937497966,29,346,253
1627937498151,29,346,253
1627937498329,29,346,253
1627937498586,29,349,254
1627937498647,29,349,254
1627937498707,29,349,254
1627937498943,29,349,255
1627937499309,29,352,256
1627937499959,31,353,256
1627937500162,31,353,258
1627937500425,31,353,259
1627937500963,31,356,260
1627937503181,33,357,260
1627937503406,34,357,260
1627937503456,34,357,260
1627937503548,34,357,260
1627937503933,34,359,260
1627937504291,34,359,260
1627937504548,34,359,333
1627937504750,34,359,337
1627937505078,34,362,337
1627937505304,34,362,337
1627937505382,34,362,337
1627937505453,34,362,337
1627937505679,34,362,338
1627937505891,34,362,339
1627937506219,34,365,339
1627937506315,34,365,339
1627937506401,34,365,339
1627937506485,34,365,339
1627937506658,34,365,339
1627937506791,34,365,339
1627937506930,34,365,339
1627937507085,34,365,339
1627937507224,34,365,339
1627937507432,34,365,339
1627937507630,34,365,339
1627937507802,34,365,339
1627937507992,34,365,339
1627937508231,34,365,339
1627937508600,34,365,340
1627937508669,34,365,340
1627937508868,34,365,343
1627937509091,34,365,345
1627937509262,34,365,346
1627937509565,34,368,346
1627937509637,34,368,346
1627937509839,35,370,346
1627937509932,35,370,346
1627937509986,35,370,346
1627937510073,35,370,346
1627937510209,35,370,346
1627937511411,35,370,347
1627937511610,35,370,348
1627937511997,35,370,349
1627937512081,35,370,349
1627937512281,35,370,349
1627937512479,36,372,349
1627937512538,36,372,349
