EVENT,EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),PROPERTIES,_id,backfill,cpus,free_cpus,free_memory,memory,node_type,pool,ready_for_osg,status
UPDATE,2018-03-14 11:40:04,86528404,fa9dc77d7da1a9517f2a7fc1b5141824,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",610859edfa7fc2ab4b57fa70,"[{""GlobalJobId"":""login05_osgconnect_net#11322693_293#1624915783_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9969058472,""CompletionDate"":1624922062,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5573.611806,""JobPrio"":0,""JobStartDate"":1625009337,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1346492,""MemoryUsage"":1315.9326171875,""JobSimSubmitDate"":1627937370.430496,""JobSimStartDate"":1627938961.677142,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11324620_156#1624939308_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9943546519,""CompletionDate"":1624945241,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5827.046006,""JobPrio"":0,""JobStartDate"":1625032267,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1323072,""MemoryUsage"":1293.0615234375,""JobSimSubmitDate"":1627937370.725622,""JobSimStartDate"":1627938970.165151,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627937261.5868587,inuse
UPDATE,2018-03-14 11:40:05,86528405,3a9800c4b261fdc8595ed40da7568ccc,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",610859edfa7fc2ab4b57fa71,"[{""GlobalJobId"":""login05_osgconnect_net#11322693_7759#1624915788_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9964889908,""CompletionDate"":1624922897,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":73,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5865.793841,""JobPrio"":0,""JobStartDate"":1625009880,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1356340,""MemoryUsage"":1325.5498046875,""JobSimSubmitDate"":1627937370.431803,""JobSimStartDate"":1627938962.171431,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11323992_154#1624931450_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9838330233,""CompletionDate"":1624936745,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":4700.577259,""JobPrio"":0,""JobStartDate"":1625024897,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1344744,""MemoryUsage"":1314.2255859375,""JobSimSubmitDate"":1627937370.64117,""JobSimStartDate"":1627938968.22196,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627937261.6236942,inuse
UPDATE,2018-03-14 11:40:05,86528405,38f89d8426232fb9b11f73b96e401286,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",610859ed4df04a02d9d8f23a,"[{""GlobalJobId"":""login05_osgconnect_net#11323341_126#1624923617_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.93988156,""CompletionDate"":1624929898,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5731.822397,""JobPrio"":0,""JobStartDate"":1625017019,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1349872,""MemoryUsage"":1319.2333984375,""JobSimSubmitDate"":1627937370.524224,""JobSimStartDate"":1627938965.833104,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11324620_772#1624939309_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9940464197,""CompletionDate"":1624946005,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5693.904325,""JobPrio"":0,""JobStartDate"":1625033164,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1349088,""MemoryUsage"":1318.4677734375,""JobSimSubmitDate"":1627937370.782295,""JobSimStartDate"":1627938971.015048,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627937261.640508,inuse
UPDATE,2018-03-14 11:40:05,86528405,eed618d03d23adb31c37870d8f291e79,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",610859ed4df04a02d9d8f23b,"[{""GlobalJobId"":""login05_osgconnect_net#11324361_177#1624935078_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9913869903,""CompletionDate"":1624940814,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5185.969629,""JobPrio"":0,""JobStartDate"":1625028481,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1325732,""MemoryUsage"":1295.6591796875,""JobSimSubmitDate"":1627937370.695612,""JobSimStartDate"":1627938969.557081,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11324361_179#1624935078_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9964033921,""CompletionDate"":1624940776,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":61,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5145.945043,""JobPrio"":0,""JobStartDate"":1625028483,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1323052,""MemoryUsage"":1293.0419921875,""JobSimSubmitDate"":1627937370.695651,""JobSimStartDate"":1627938969.580604,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627937261.7108676,inuse
UPDATE,2018-03-14 11:40:05,86528405,ef87ce346581cc2449c4c827bd3844b9,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",610859edfa7fc2ab4b57fa72,"[{""GlobalJobId"":""login05_osgconnect_net#11322693_5649#1624915787_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9969505603,""CompletionDate"":1624922483,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5763.601288,""JobPrio"":0,""JobStartDate"":1625009566,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1327828,""MemoryUsage"":1297.7060546875,""JobSimSubmitDate"":1627937370.431173,""JobSimStartDate"":1627938961.635766,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login05_osgconnect_net#11323341_9675#1624923624_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9965321429,""CompletionDate"":1624931185,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":62,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5428.027505,""JobPrio"":0,""JobStartDate"":1625018610,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1447416,""MemoryUsage"":1414.4912109375,""JobSimSubmitDate"":1627937370.524311,""JobSimStartDate"":1627938965.926216,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,124928,131072,compute_haswell,osg,1627937261.7309203,inuse
UPDATE,2018-03-14 11:40:05,86528405,0ed6dfffde40e09b10221d02f6dc6410,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610859ed4df04a02d9d8f23c,"[{""GlobalJobId"":""login05_osgconnect_net#11322693_6820#1624915788_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9976354554,""CompletionDate"":1624922942,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":62,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5538.863281,""JobPrio"":0,""JobStartDate"":1625010255,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1357532,""MemoryUsage"":1326.7138671875,""JobSimSubmitDate"":1627937370.431891,""JobSimStartDate"":1627938962.21908,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""scott_grid_uchicago_edu#2691206_0#1624935223_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0989105814,""CompletionDate"":1624941587,""CpusProvisioned"":1,""DiskProvisioned"":8526265,""DiskUsage"":298051,""DiskUsage_RAW"":44,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5611.755622,""JobPrio"":0,""JobStartDate"":1625028829,""JobState"":""Exited"",""MemoryProvisioned"":8192,""ResidentSetSize"":2935900,""MemoryUsage"":2868.0888671875,""JobSimSubmitDate"":1627937370.695671,""JobSimStartDate"":1627938969.632784,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,119808,131072,compute_haswell,osg,1627937261.7543712,inuse
DISABLE,2018-09-17 18:16:10,102708970,8418f33a9b838bb7292b0e17c01adfb1,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",610859edfa7fc2ab4b57fa73,[],2,2,131072,131072,compute_haswell,chameleon,0,inactive
UPDATE,2018-03-14 11:40:05,86528405,499f63a8e3cc20ed6a4cd8ddb0a4dba9,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",610859edfa7fc2ab4b57fa74,"[{""GlobalJobId"":""login04_osgconnect_net#12246354_0#1624905221_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0761081197,""CompletionDate"":1624930050,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3330837,""DiskUsage_RAW"":305274,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11017.655233,""JobPrio"":609,""JobStartDate"":1625011885,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1617640,""MemoryUsage"":1580.7255859375,""JobSimSubmitDate"":1627937370.432665,""JobSimStartDate"":1627938962.694859,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12251010_0#1624908111_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9926362145,""CompletionDate"":1624936897,""CpusProvisioned"":1,""DiskProvisioned"":7460482,""DiskUsage"":3355389,""DiskUsage_RAW"":12,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":10571.236266,""JobPrio"":608,""JobStartDate"":1625019177,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1676408,""MemoryUsage"":1638.1162109375,""JobSimSubmitDate"":1627937370.534047,""JobSimStartDate"":1627938965.947941,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,128000,131072,compute_haswell,osg,1627937261.8226922,inuse
UPDATE,2018-03-14 11:40:05,86528405,d376db654397449f49f3a5c77df35b04,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",610859ed4df04a02d9d8f23d,"[{""GlobalJobId"":""login05_osgconnect_net#11322693_3279#1624915785_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":0.9968096094,""CompletionDate"":1624922280,""CpusProvisioned"":1,""DiskProvisioned"":213157,""DiskUsage"":72,""DiskUsage_RAW"":11,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":5664.146388,""JobPrio"":0,""JobStartDate"":1625009465,""JobState"":""Exited"",""MemoryProvisioned"":3072,""ResidentSetSize"":1349900,""MemoryUsage"":1319.2607421875,""JobSimSubmitDate"":1627937370.431153,""JobSimStartDate"":1627938961.655788,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null},{""GlobalJobId"":""login04_osgconnect_net#12255919_0#1624928152_round_10"",""BlockReadKbytes"":0,""BlockWriteKbytes"":0,""CPUsUsage"":1.0584155528,""CompletionDate"":1624948281,""CpusProvisioned"":1,""DiskProvisioned"":7460474,""DiskUsage"":3322938,""DiskUsage_RAW"":1451560,""GpusProvisioned"":0,""JOBGLIDEIN_ResourceName"":""chameleon-uc-dev-backfill"",""JobDuration"":11057.841096,""JobPrio"":608,""JobStartDate"":1625030074,""JobState"":""Exited"",""MemoryProvisioned"":1536,""ResidentSetSize"":1452096,""MemoryUsage"":1419.0615234375,""JobSimSubmitDate"":1627937370.699978,""JobSimStartDate"":1627938970.51976,""JobExpectEndDate"":null,""JobSimCompleteDate"":null,""ResubmitCount"":0,""TotalCost"":0,""WastedCost"":0,""Machine"":null}]",2,0,126464,131072,compute_haswell,osg,1627937263.5488992,inuse
DISABLE,2018-08-22 17:53:20,100461200,a64ca09fb7c53126cbb4dd579f972482,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",610859edfa7fc2ab4b57fa75,[],2,2,131072,131072,compute_haswell,chameleon,0,inactive
