"Time","Chameleon Free","Chameleon Inuse","OSG Inuse"
1627937261394,28,0,0
1627937262457,75,1,8
1627937262556,74,2,8
1627937262974,256,1,8
1627937263288,262,2,10
1627937263489,258,2,14
1627937263982,253,2,19
1627937264496,253,2,19
1627937264985,253,2,19
1627937265514,253,2,19
1627937266504,208,2,64
1627937267517,166,2,106
1627937268530,146,2,126
1627937269521,117,1,156
1627937270534,89,1,184
1627937271190,72,1,201
1627937271533,61,0,213
1627937272079,51,0,223
1627937272402,44,0,230
1627937272597,36,1,237
1627937272766,29,2,243
1627937272907,28,3,243
1627937273064,27,4,243
1627937273208,16,6,252
1627937273558,10,3,261
1627937274062,0,3,271
1627937274563,0,3,271
1627937275059,0,3,271
1627937275405,0,1,273
1627937275592,1,1,272
1627937275804,0,2,272
1627937275999,0,3,271
1627937276196,1,3,270
1627937276349,3,1,270
1627937276595,0,0,274
1627937277092,0,0,274
1627937277618,0,0,274
1627937278599,0,0,274
1627937278995,0,0,274
1627937279146,0,1,273
1627937279374,0,2,272
1627937279564,0,3,271
1627937279754,0,4,270
1627937279966,0,5,269
1627937280200,0,5,269
1627937280417,1,5,268
1627937280622,0,5,269
1627937281125,0,5,269
1627937281647,0,5,269
1627937282118,0,5,269
1627937282635,0,5,269
1627937283136,0,5,269
1627937283471,0,6,268
1627937283650,0,7,267
1627937283907,0,6,268
1627937284091,0,7,267
1627937284286,1,7,266
1627937284674,0,5,269
1627937285154,1,5,268
1627937285689,0,5,269
1627937286165,0,5,269
1627937286680,0,5,269
1627937287169,0,4,270
1627937287692,0,0,274
1627937288191,0,0,274
1627937288707,0,0,274
1627937289207,0,0,274
1627937290226,0,1,273
1627937290368,0,2,272
1627937290602,0,2,272
1627937290767,0,2,272
1627937291206,0,1,273
1627937291535,0,2,272
1627937291720,0,3,271
1627937291915,0,3,271
1627937292103,0,4,270
1627937292287,0,4,270
1627937292503,2,3,269
1627937292738,1,1,272
1627937293259,0,1,273
1627937293760,0,1,273
1627937294255,0,1,273
1627937294758,0,1,273
1627937295250,0,1,273
1627937295761,0,1,273
1627937296249,0,1,273
1627937296764,0,1,273
1627937297275,0,1,273
1627937297797,0,1,273
1627937298264,0,1,273
1627937298790,0,1,273
1627937299271,0,1,273
1627937299589,0,2,272
1627937299800,1,2,271
1627937299961,0,3,271
1627937300138,0,4,270
1627937300381,1,4,269
1627937300666,2,3,269
