,ch-free,chi-inuse,imp(%),osg-inuse
2021-07-16 16:42:36.014540+00:00,273,1,0.0,0
2021-07-16 16:42:36.102643+00:00,273,1,0.0,0
2021-07-16 16:42:36.176667+00:00,273,1,0.0,0
2021-07-16 16:42:36.252358+00:00,273,1,0.0,0
2021-07-16 16:42:36.318253+00:00,273,1,0.0,0
2021-07-16 16:42:36.387534+00:00,273,1,0.0,0
2021-07-16 16:42:36.458957+00:00,273,1,0.0,0
2021-07-16 16:42:36.538059+00:00,273,1,0.0,0
2021-07-16 16:42:36.613955+00:00,273,1,0.0,0
2021-07-16 16:42:36.690193+00:00,273,1,0.0,0
2021-07-16 16:42:36.766328+00:00,273,1,0.0,0
2021-07-16 16:42:36.846271+00:00,272,2,0.0,0
2021-07-16 16:42:36.903975+00:00,273,1,0.0,0
2021-07-16 16:42:36.974517+00:00,273,1,0.0,0
2021-07-16 16:42:37.044096+00:00,273,1,0.0,0
2021-07-16 16:42:37.116749+00:00,273,1,0.0,0
2021-07-16 16:42:37.179222+00:00,272,2,0.0,0
2021-07-16 16:42:37.216823+00:00,273,1,0.0,0
2021-07-16 16:42:37.284241+00:00,273,1,0.0,0
2021-07-16 16:42:37.359712+00:00,273,1,0.0,0
2021-07-16 16:42:37.434364+00:00,273,1,0.0,0
2021-07-16 16:42:37.507211+00:00,273,1,0.0,0
2021-07-16 16:42:37.597524+00:00,270,4,0.0,0
2021-07-16 16:42:37.651209+00:00,273,1,0.0,0
2021-07-16 16:42:37.720513+00:00,273,1,0.0,0
2021-07-16 16:42:37.791090+00:00,273,1,0.0,0
2021-07-16 16:42:37.872365+00:00,273,1,0.0,0
2021-07-16 16:42:37.939354+00:00,273,1,0.0,0
2021-07-16 16:42:38.013921+00:00,273,1,0.0,0
2021-07-16 16:42:38.091899+00:00,273,1,0.0,0
2021-07-16 16:42:38.170283+00:00,273,1,0.0,0
2021-07-16 16:42:38.241292+00:00,273,1,0.0,0
2021-07-16 16:42:38.312791+00:00,273,1,0.0,0
2021-07-16 16:42:38.368483+00:00,273,1,0.0,0
2021-07-16 16:42:38.445504+00:00,273,1,0.0,0
2021-07-16 16:42:38.516522+00:00,273,1,0.0,0
2021-07-16 16:42:38.592728+00:00,273,1,0.0,0
2021-07-16 16:42:38.670896+00:00,273,1,0.0,0
2021-07-16 16:42:38.743079+00:00,273,1,0.0,0
2021-07-16 16:42:38.817978+00:00,273,1,0.0,0
2021-07-16 16:42:38.967529+00:00,273,1,0.0,0
2021-07-16 16:42:39.040983+00:00,273,1,0.0,0
2021-07-16 16:42:39.111442+00:00,273,1,0.0,0
2021-07-16 16:42:39.182880+00:00,273,1,0.0,0
2021-07-16 16:42:39.252029+00:00,273,1,0.0,0
2021-07-16 16:42:39.319192+00:00,273,1,0.0,0
2021-07-16 16:42:39.386463+00:00,273,1,0.0,0
2021-07-16 16:42:39.462575+00:00,273,1,0.0,0
2021-07-16 16:42:39.540246+00:00,273,1,0.0,0
2021-07-16 16:42:39.612009+00:00,273,1,0.0,0
2021-07-16 16:42:39.689341+00:00,273,1,0.0,0
2021-07-16 16:42:39.762170+00:00,273,1,0.0,0
2021-07-16 16:42:39.834846+00:00,273,1,0.0,0
2021-07-16 16:42:39.913027+00:00,273,1,0.0,0
2021-07-16 16:42:39.989768+00:00,273,1,0.0,0
2021-07-16 16:42:40.061363+00:00,273,1,0.0,0
2021-07-16 16:42:40.132018+00:00,273,1,0.0,0
2021-07-16 16:42:40.211682+00:00,273,1,0.0,0
2021-07-16 16:42:40.282128+00:00,273,1,0.0,0
2021-07-16 16:42:40.362016+00:00,273,1,0.0,0
2021-07-16 16:42:40.431725+00:00,273,1,0.0,0
2021-07-16 16:42:40.499890+00:00,273,1,0.0,0
2021-07-16 16:42:40.574221+00:00,273,1,0.0,0
2021-07-16 16:42:40.640415+00:00,273,1,0.0,0
2021-07-16 16:42:40.706384+00:00,273,1,0.0,0
2021-07-16 16:42:40.776315+00:00,273,1,0.0,0
2021-07-16 16:42:40.846698+00:00,273,1,0.0,0
2021-07-16 16:42:40.921898+00:00,273,1,0.0,0
2021-07-16 16:42:40.987547+00:00,273,1,0.0,0
2021-07-16 16:42:41.060667+00:00,273,1,0.0,0
2021-07-16 16:42:41.128230+00:00,273,1,0.0,0
2021-07-16 16:42:41.204835+00:00,273,1,0.0,0
2021-07-16 16:42:41.281979+00:00,273,1,0.0,0
2021-07-16 16:42:41.354280+00:00,273,1,0.0,0
2021-07-16 16:42:41.432199+00:00,273,1,0.0,0
2021-07-16 16:42:41.501178+00:00,273,1,0.0,0
2021-07-16 16:42:41.576349+00:00,273,1,0.0,0
2021-07-16 16:42:41.637815+00:00,273,1,0.0,0
2021-07-16 16:42:41.709490+00:00,273,1,0.0,0
2021-07-16 16:42:41.784599+00:00,273,1,0.0,0
2021-07-16 16:42:41.855819+00:00,273,1,0.0,0
2021-07-16 16:42:41.930923+00:00,273,1,0.0,0
2021-07-16 16:42:42.005758+00:00,273,1,0.0,0
2021-07-16 16:42:42.081645+00:00,273,1,0.0,0
2021-07-16 16:42:42.176761+00:00,273,1,0.0,0
2021-07-16 16:42:42.247862+00:00,273,1,0.0,0
2021-07-16 16:42:42.318778+00:00,273,1,0.0,0
2021-07-16 16:42:42.401763+00:00,273,1,0.0,0
2021-07-16 16:42:42.477612+00:00,273,1,0.0,0
2021-07-16 16:42:42.555784+00:00,273,1,0.0,0
2021-07-16 16:42:42.625515+00:00,273,1,0.0,0
2021-07-16 16:42:42.704207+00:00,273,1,0.0,0
2021-07-16 16:42:42.776837+00:00,272,2,0.0,0
2021-07-16 16:42:42.812969+00:00,272,2,0.0,0
2021-07-16 16:42:42.850841+00:00,272,2,0.0,0
2021-07-16 16:42:42.895718+00:00,273,1,0.0,0
2021-07-16 16:42:42.972671+00:00,273,1,0.0,0
2021-07-16 16:42:43.045837+00:00,273,1,0.0,0
2021-07-16 16:42:43.122244+00:00,273,1,0.0,0
2021-07-16 16:42:43.193095+00:00,273,1,0.0,0
2021-07-16 16:42:43.264738+00:00,273,1,0.0,0
2021-07-16 16:42:43.328627+00:00,273,1,0.0,0
2021-07-16 16:42:43.400407+00:00,273,1,0.0,0
2021-07-16 16:42:43.463161+00:00,273,1,0.0,0
2021-07-16 16:42:43.530871+00:00,273,1,0.0,0
2021-07-16 16:42:43.599766+00:00,273,1,0.0,0
2021-07-16 16:42:43.666963+00:00,267,7,0.0,0
2021-07-16 16:42:43.737930+00:00,273,1,0.0,0
2021-07-16 16:42:43.804955+00:00,273,1,0.0,0
2021-07-16 16:42:43.870687+00:00,272,2,0.0,0
2021-07-16 16:42:43.922510+00:00,273,1,0.0,0
2021-07-16 16:42:43.988882+00:00,273,1,0.0,0
2021-07-16 16:42:44.052948+00:00,273,1,0.0,0
2021-07-16 16:42:44.130524+00:00,273,1,0.0,0
2021-07-16 16:42:44.208204+00:00,273,1,0.0,0
2021-07-16 16:42:44.284654+00:00,273,1,0.0,0
2021-07-16 16:42:44.352801+00:00,273,1,0.0,0
2021-07-16 16:42:44.425179+00:00,273,1,0.0,0
2021-07-16 16:42:44.489877+00:00,272,2,0.0,0
2021-07-16 16:42:44.540710+00:00,273,1,0.0,0
2021-07-16 16:42:44.611298+00:00,273,1,0.0,0
2021-07-16 16:42:44.688532+00:00,273,1,0.0,0
2021-07-16 16:42:44.761000+00:00,273,1,0.0,0
2021-07-16 16:42:44.841985+00:00,273,1,0.0,0
2021-07-16 16:42:44.907754+00:00,273,1,0.0,0
2021-07-16 16:42:44.978732+00:00,273,1,0.0,0
2021-07-16 16:42:45.055781+00:00,273,1,0.0,0
2021-07-16 16:42:45.125204+00:00,273,1,0.0,0
2021-07-16 16:42:45.192809+00:00,273,1,0.0,0
