,ch-free,chi-inuse,imp(%),osg-inuse
2021-07-16 17:46:43.523093+00:00,273,1,0.0,0
2021-07-16 17:46:43.626384+00:00,273,1,0.0,0
2021-07-16 17:46:43.701226+00:00,273,1,0.0,0
2021-07-16 17:46:43.782337+00:00,273,1,0.0,0
2021-07-16 17:46:43.857321+00:00,273,1,0.0,0
2021-07-16 17:46:43.932734+00:00,273,1,0.0,0
2021-07-16 17:46:44.003514+00:00,273,1,0.0,0
2021-07-16 17:46:44.074349+00:00,273,1,0.0,0
2021-07-16 17:46:44.151195+00:00,273,1,0.0,0
2021-07-16 17:46:44.218047+00:00,273,1,0.0,0
2021-07-16 17:46:44.286128+00:00,273,1,0.0,0
2021-07-16 17:46:44.357500+00:00,273,1,0.0,0
2021-07-16 17:46:44.425698+00:00,273,1,0.0,0
2021-07-16 17:46:44.500171+00:00,273,1,0.0,0
2021-07-16 17:46:44.533200+00:00,272,2,0.0,0
2021-07-16 17:46:44.585403+00:00,272,2,0.0,0
2021-07-16 17:46:44.630892+00:00,272,2,0.0,0
2021-07-16 17:46:44.689075+00:00,273,1,0.0,0
2021-07-16 17:46:44.761522+00:00,273,1,0.0,0
2021-07-16 17:46:44.842682+00:00,273,1,0.0,0
2021-07-16 17:46:44.919089+00:00,273,1,0.0,0
2021-07-16 17:46:44.997639+00:00,273,1,0.0,0
2021-07-16 17:46:45.074252+00:00,271,3,0.0,0
2021-07-16 17:46:45.152436+00:00,272,1,0.36496350364963503,1
2021-07-16 17:46:45.159315+00:00,272,1,0.36496350364963503,1
2021-07-16 17:46:45.246470+00:00,272,1,0.36496350364963503,1
2021-07-16 17:46:45.325430+00:00,272,1,0.36496350364963503,1
2021-07-16 17:46:45.388809+00:00,272,1,0.36496350364963503,1
2021-07-16 17:46:45.486198+00:00,272,1,0.36496350364963503,1
2021-07-16 17:46:45.560494+00:00,271,2,0.36496350364963503,1
2021-07-16 17:46:45.608682+00:00,272,1,0.36496350364963503,1
2021-07-16 17:46:45.679286+00:00,272,1,0.36496350364963503,1
2021-07-16 17:46:45.761259+00:00,272,1,0.36496350364963503,1
2021-07-16 17:46:45.831101+00:00,271,2,0.36496350364963503,1
2021-07-16 17:46:45.921423+00:00,272,1,0.36496350364963503,1
2021-07-16 17:46:45.994081+00:00,272,1,0.36496350364963503,1
2021-07-16 17:46:46.071295+00:00,272,1,0.36496350364963503,1
