EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),EVENT,PROPERTIES,node_type
2018-03-14 11:40:04,86528404.0,fa9dc77d7da1a9517f2a7fc1b5141824,UPDATE,"{'architecture.smt_size': '48', 'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392'}",compute_haswell
2018-03-14 11:40:05,86528405.0,38f89d8426232fb9b11f73b96e401286,UPDATE,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64'}",compute_haswell
2018-03-14 11:40:05,86528405.0,3a9800c4b261fdc8595ed40da7568ccc,UPDATE,"{'node_type': 'compute_haswell', 'placement.rack': 1, 'main_memory.ram_size': '134956859392', 'architecture.smt_size': '48', 'storage_devices.0.size': '250059350016', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}",compute_haswell
2018-03-14 11:40:05,86528405.0,eed618d03d23adb31c37870d8f291e79,UPDATE,"{'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392'}",compute_haswell
2018-03-14 11:40:05,86528405.0,ef87ce346581cc2449c4c827bd3844b9,UPDATE,"{'placement.rack': 1, 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956859392', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64'}",compute_haswell
2018-03-14 11:40:05,86528405.0,0ed6dfffde40e09b10221d02f6dc6410,UPDATE,"{'node_type': 'compute_haswell', 'placement.rack': 0, 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'architecture.smt_size': '48'}",compute_haswell
2018-03-14 11:40:05,86528405.0,8418f33a9b838bb7292b0e17c01adfb1,UPDATE,"{'node_type': 'compute_haswell', 'architecture.smp_size': '2', 'placement.rack': 1, 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'architecture.smt_size': '48', 'main_memory.ram_size': '134956859392'}",compute_haswell
2018-03-14 11:40:05,86528405.0,d376db654397449f49f3a5c77df35b04,UPDATE,"{'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016', 'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'architecture.smt_size': '48', 'placement.rack': 1}",compute_haswell
2018-03-14 11:40:05,86528405.0,499f63a8e3cc20ed6a4cd8ddb0a4dba9,UPDATE,"{'node_type': 'compute_haswell', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'storage_devices.0.size': '250059350016', 'placement.rack': 0, 'architecture.smt_size': '48', 'architecture.smp_size': '2'}",compute_haswell
2018-03-14 11:40:05,86528405.0,f24c33849e73a2cdb6e3e76480a36253,UPDATE,"{'main_memory.ram_size': '134956859392', 'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'placement.rack': 1, 'storage_devices.0.size': '250059350016', 'architecture.platform_type': 'x86_64'}",compute_haswell
